Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
1,Jannik Sinner,9,88.9,69.7,10.7,2.6,6.3,58.8,79.2,56.1,59.9,90.7,36.2,9.5,2.2,28.4,50.4,21.4,40.3,62,0.53,2.7,6.9,1.09,2.8,76.1,0.39,2.0,5.1,0.48,1.2,52.6,83.3,82.6,56.2
2,Alexander Zverev,5,60.0,69.0,8.0,2.3,8.3,71.6,75.4,52.9,57.7,86.3,38.8,5.3,2.7,29.8,53.3,19.2,20.9,67,0.92,4.5,13.4,0.93,2.8,50.0,0.27,1.3,4.0,0.67,2.0,52.0,33.3,60.0,52.7
3,Carlos Alcaraz,5,80.0,65.0,3.4,3.0,7.8,61.6,72.5,52.9,57.4,86.7,40.2,4.9,3.6,32.9,54.7,27.0,31.7,63,0.85,4.2,12.6,1.33,4.0,75.0,0.53,2.7,8.0,0.67,2.0,52.6,50.0,66.7,57.0
4,Taylor Fritz,5,40.0,64.3,11.7,2.9,7.8,62.6,72.4,50.8,55.1,76.8,33.8,9.3,3.6,21.5,50.0,17.3,37.5,24,0.46,2.2,4.8,0.82,1.8,63.9,0.64,3.3,7.2,1.18,2.6,50.0,-,36.4,48.1
5,Jack Draper,3,66.7,70.9,11.2,2.7,7.4,63.7,80.3,54.3,58.7,87.5,32.8,10.9,2.7,24.6,49.4,14.3,30.0,20,0.48,2.5,6.7,0.75,2.0,64.3,0.35,1.8,4.7,0.63,1.7,50.5,100.0,62.5,50.0
6,Novak Djokovic,3,33.3,65.9,5.2,2.4,8.1,70.6,73.0,48.6,52.9,83.3,31.5,5.4,2.7,22.8,45.9,2.7,11.1,9,0.24,1.3,3.0,0.14,0.3,75.0,0.67,3.4,8.0,0.86,2.0,48.4,50.0,28.6,42.5
7,Casper Ruud,5,40.0,61.3,2.1,1.8,5.6,67.7,66.1,51.4,54.5,76.5,36.3,5.6,3.5,33.2,39.9,18.4,25.7,35,0.71,3.5,7.0,0.9,1.8,33.3,0.35,1.8,3.6,1.2,2.4,48.6,0.0,40.0,48.0
8,Alex De Minaur,3,66.7,62.2,8.0,4.8,11.0,56.4,67.9,54.9,61.6,76.7,45.3,3.4,2.1,38.6,56.2,33.3,41.7,24,0.8,4.0,8.0,1.67,3.3,61.1,0.6,3.0,6.0,1.17,2.3,52.8,-,66.7,55.0
9,Lorenzo Musetti,3,0.0,60.9,3.3,0.5,1.6,70.2,64.2,53.1,54.0,72.7,36.3,4.5,1.9,31.0,48.8,17.1,35.3,17,0.49,2.4,5.7,0.86,2.0,35.7,0.42,2.0,4.7,1.29,3.0,47.3,0.0,14.3,44.1
10,Holger Rune,1,0.0,63.2,9.5,3.2,8.1,61.1,75.9,43.2,47.1,90.9,28.4,10.8,2.7,23.1,40.9,0.0,0.0,3,0.27,1.5,3.0,0.0,0.0,88.9,0.82,4.5,9.0,0.5,1.0,47.9,0.0,0.0,45.5
11,Daniil Medvedev,2,0.0,62.4,6.4,2.8,8.0,65.6,71.3,45.3,49.3,78.1,32.0,8.3,2.9,25.8,42.3,14.7,35.7,14,0.41,2.0,7.0,0.71,2.5,63.2,0.59,2.7,9.5,1.0,3.5,47.6,0.0,28.6,45.5
12,Tommy Paul,4,75.0,67.0,7.5,2.0,5.8,64.6,70.0,61.5,65.3,82.2,36.6,3.5,3.2,33.0,43.4,20.9,42.9,21,0.49,2.3,5.3,1.0,2.3,55.6,0.4,2.0,4.5,0.89,2.0,52.1,100.0,66.7,52.3
13,Ben Shelton,2,50.0,70.4,13.0,6.2,17.5,64.8,79.0,54.4,66.0,92.6,27.8,16.6,3.3,24.5,33.3,7.7,66.7,3,0.12,0.6,1.5,0.4,1.0,60.0,0.19,1.0,2.5,0.4,1.0,49.8,0.0,40.0,50.9
14,Arthur Fils,2,100.0,64.9,4.1,2.4,6.5,62.0,73.0,51.6,55.2,90.6,38.3,8.8,2.1,31.6,51.2,9.7,23.1,13,0.42,2.2,6.5,0.5,1.5,88.9,0.84,4.5,13.5,0.5,1.5,51.8,100.0,66.7,50.8
15,Grigor Dimitrov,4,25.0,61.5,9.2,3.8,10.7,64.9,70.3,45.2,50.7,73.0,30.5,11.3,2.3,22.5,43.8,7.7,18.8,16,0.41,2.0,4.0,0.38,0.8,56.5,0.62,2.9,5.8,1.25,2.5,45.5,100.0,25.0,39.5
16,Frances Tiafoe,2,0.0,63.2,4.7,2.9,7.1,59.1,69.3,54.3,58.5,84.0,24.7,16.4,6.8,16.1,37.3,3.8,20.0,5,0.19,1.0,2.5,0.2,0.5,63.6,0.44,2.2,5.5,0.8,2.0,45.4,0.0,20.0,43.1
17,Andrey Rublev,3,66.7,65.9,7.6,4.7,12.0,60.7,72.7,55.4,63.0,83.3,38.6,11.6,4.8,26.7,60.2,16.7,25.0,24,0.67,3.4,8.0,0.86,2.0,57.1,0.39,2.0,4.7,0.86,2.0,51.1,-,57.1,50.0
18,Francisco Cerundolo,1,100.0,57.9,0.8,3.2,11.4,72.2,62.6,45.7,51.6,73.3,39.8,3.1,1.0,33.9,50.0,20.0,60.0,5,0.33,1.7,5.0,1.0,3.0,63.6,0.73,3.7,11.0,1.33,4.0,50.0,100.0,66.7,46.7
19,Stefanos Tsitsipas,2,50.0,61.2,4.5,3.7,7.8,52.2,61.4,60.9,66.1,83.3,34.2,3.6,2.7,27.2,53.3,25.0,50.0,10,0.5,2.5,5.0,1.25,2.5,78.6,0.78,3.5,7.0,0.75,1.5,49.0,-,50.0,52.6
20,Tomas Machac,1,0.0,57.7,4.2,4.2,9.1,53.5,60.5,54.5,60.0,70.0,36.5,2.7,0.0,31.3,46.2,9.1,100.0,1,0.09,0.5,1.0,0.5,1.0,25.0,0.4,2.0,4.0,1.5,3.0,46.9,-,0.0,38.1
21,Jakub Mensik,1,0.0,72.0,21.3,4.0,15.0,73.3,74.5,65.0,76.5,90.9,21.1,12.7,1.4,17.3,31.6,0.0,-,0,0.0,0.0,0.0,0.0,0.0,50.0,0.18,1.0,2.0,0.5,1.0,47.3,0.0,0.0,45.5
22,Ugo Humbert,4,50.0,64.4,11.7,2.7,7.7,65.1,73.2,48.1,52.1,86.4,31.0,11.0,4.7,21.9,45.0,14.0,40.0,15,0.35,1.7,3.8,0.67,1.5,68.4,0.43,2.1,4.8,0.67,1.5,49.0,0.0,55.6,50.6
23,Sebastian Korda,2,50.0,60.7,7.4,3.0,8.0,63.0,68.2,48.0,52.2,71.4,44.4,6.0,5.3,29.2,62.3,33.3,38.9,18,0.86,3.6,9.0,1.4,3.5,64.7,0.81,3.4,8.5,1.2,3.0,52.6,-,40.0,52.4
24,Karen Khachanov,3,66.7,67.1,9.6,2.3,7.8,70.8,72.3,54.7,59.3,80.6,36.5,11.9,2.0,28.3,56.3,24.3,34.6,26,0.7,3.7,8.7,1.29,3.0,50.0,0.39,2.0,4.7,1.0,2.3,51.0,100.0,57.1,52.1
25,Alexei Popyrin,1,100.0,64.1,15.6,4.7,11.5,59.4,84.2,34.6,39.1,88.9,50.0,6.5,8.1,37.0,60.0,44.4,44.4,9,1.0,4.5,9.0,2.0,4.0,83.3,0.67,3.0,6.0,0.5,1.0,57.1,-,100.0,66.7
27,Felix Auger Aliassime,1,0.0,60.2,11.4,4.1,12.8,68.3,71.4,35.9,41.2,82.4,28.6,7.7,5.5,23.0,40.0,11.8,50.0,4,0.24,1.3,4.0,0.67,2.0,72.7,0.65,3.7,11.0,1.0,3.0,46.7,-,33.3,47.1
28,Denis Shapovalov,1,100.0,75.9,24.1,5.6,15.0,63.0,82.4,65.0,76.5,100.0,37.7,4.9,3.3,34.8,46.7,20.0,100.0,2,0.2,1.0,2.0,1.0,2.0,100.0,0.2,1.0,2.0,0.0,0.0,55.7,-,100.0,60.0
30,Matteo Berrettini,4,75.0,73.3,11.0,2.0,6.9,71.8,81.4,52.8,56.7,93.2,37.6,7.6,2.4,30.6,49.5,29.5,61.9,21,0.48,2.3,5.3,1.44,3.3,82.4,0.39,1.9,4.3,0.33,0.8,55.6,0.0,77.8,61.4
31,Hubert Hurkacz,3,33.3,70.3,18.1,0.4,1.1,66.0,78.9,53.4,54.0,97.4,25.4,7.6,2.1,17.5,44.3,5.3,33.3,6,0.16,0.9,2.0,0.29,0.7,90.0,0.26,1.4,3.3,0.14,0.3,48.9,25.0,42.9,51.9
32,Alex Michelsen,2,0.0,57.2,0.6,1.8,5.7,68.1,61.9,47.2,50.0,69.6,29.1,11.5,2.7,16.3,54.0,4.0,11.1,9,0.36,1.8,4.5,0.2,0.5,66.7,0.91,4.2,10.5,1.4,3.5,43.9,100.0,20.0,35.4
33,Sebastian Baez,2,100.0,65.9,5.6,1.6,5.3,69.8,69.3,57.9,61.1,80.0,51.6,2.6,1.9,47.7,60.9,55.0,36.7,30,1.5,6.0,15.0,2.2,5.5,69.2,0.65,2.6,6.5,0.8,2.0,58.0,-,80.0,67.5
34,Flavio Cobolli,1,0.0,53.9,7.9,5.3,11.8,55.3,66.7,38.2,43.3,58.3,23.8,11.1,0.0,17.1,36.4,8.3,33.3,3,0.25,1.0,3.0,0.33,1.0,58.3,1.0,4.0,12.0,1.67,5.0,40.3,-,33.3,33.3
36,Giovanni Mpetshi Perricard,2,100.0,68.0,19.5,2.4,7.3,67.5,73.7,56.4,60.8,80.8,33.9,8.8,2.3,30.8,40.7,16.0,44.4,9,0.36,1.8,4.5,0.8,2.0,64.3,0.54,2.8,7.0,1.0,2.5,50.9,100.0,80.0,49.0
38,Jiri Lehecka,2,50.0,62.4,13.4,2.0,6.3,67.8,69.3,47.9,51.1,79.2,28.5,6.2,2.3,24.4,36.4,12.5,42.9,7,0.29,1.4,3.5,0.6,1.5,66.7,0.63,3.0,7.5,1.0,2.5,46.6,-,40.0,45.8
40,Nuno Borges,1,100.0,64.2,3.8,1.9,5.0,62.3,66.7,60.0,63.2,77.8,55.4,0.0,5.4,47.4,72.2,62.5,41.7,12,1.5,6.0,12.0,2.5,5.0,60.0,0.56,2.5,5.0,1.0,2.0,59.6,-,100.0,70.6
41,Jordan Thompson,2,50.0,68.7,13.9,0.6,1.7,64.5,78.5,50.8,51.7,84.6,35.4,0.6,2.3,29.2,46.8,16.0,28.6,14,0.56,2.8,7.0,0.8,2.0,78.9,0.73,3.8,9.5,0.8,2.0,51.6,50.0,60.0,51.0
42,Alejandro Tabilo,3,66.7,61.5,8.2,2.2,6.0,63.6,69.4,47.6,50.6,84.8,37.5,4.7,3.1,25.7,54.4,22.6,35.0,20,0.65,2.9,6.7,1.0,2.3,77.3,0.67,3.1,7.3,0.71,1.7,50.6,-,71.4,54.7
44,Lorenzo Sonego,1,100.0,78.0,9.8,4.9,20.0,75.6,87.1,50.0,62.5,100.0,51.2,2.3,2.3,55.6,43.8,57.1,50.0,8,1.14,4.0,8.0,2.0,4.0,-,0.0,0.0,0.0,0.0,0.0,64.3,-,100.0,80.0
45,Marcos Giron,2,50.0,68.0,6.9,2.5,7.1,65.5,75.2,54.3,58.5,90.9,35.3,3.0,0.9,30.7,46.4,15.2,26.3,19,0.58,3.2,9.5,0.83,2.5,72.7,0.33,1.8,5.5,0.5,1.5,50.6,0.0,50.0,53.0
46,Luciano Darderi,1,100.0,70.0,16.0,0.0,0.0,54.0,77.8,60.9,60.9,88.9,51.7,1.7,1.7,48.6,56.5,50.0,40.0,10,1.25,5.0,10.0,2.0,4.0,50.0,0.22,1.0,2.0,0.5,1.0,60.0,-,100.0,70.6
49,Pedro Martinez,1,0.0,57.4,0.0,4.4,14.3,69.1,66.0,38.1,44.4,77.8,21.6,29.4,0.0,17.1,31.3,0.0,-,0,0.0,0.0,0.0,0.0,0.0,60.0,0.56,2.5,5.0,1.0,2.0,42.0,-,0.0,36.8
51,Tomas Martin Etcheverry,1,0.0,63.9,5.2,2.1,6.5,68.0,65.2,61.3,65.5,78.6,39.0,10.5,1.9,32.0,56.7,33.3,35.7,14,0.93,4.7,14.0,1.67,5.0,50.0,0.43,2.0,6.0,1.0,3.0,51.0,0.0,33.3,55.2
52,Quentin Halys,1,0.0,51.2,9.3,2.3,4.2,44.2,68.4,37.5,39.1,50.0,10.8,2.7,2.7,10.3,12.5,0.0,0.0,3,0.38,1.5,3.0,0.0,0.0,33.3,0.75,3.0,6.0,2.0,4.0,32.5,-,0.0,25.0
53,Nicolas Jarry,2,0.0,63.5,4.0,2.4,7.5,68.3,74.4,40.0,43.2,80.0,21.8,6.7,2.5,17.6,35.7,0.0,0.0,6,0.29,1.5,3.0,0.0,0.0,71.4,0.7,3.5,7.0,1.0,2.0,43.3,-,0.0,39.0
54,Gabriel Diallo,1,0.0,55.9,6.3,0.0,0.0,70.3,65.4,33.3,33.3,60.0,34.6,7.4,1.2,31.0,43.5,21.4,50.0,6,0.43,2.0,6.0,1.0,3.0,68.4,1.27,6.3,19.0,2.0,6.0,46.9,-,33.3,41.4
55,Zhizhen Zhang,1,0.0,76.9,17.9,2.6,8.7,70.5,81.8,65.2,71.4,100.0,22.9,21.7,2.4,16.0,33.3,0.0,0.0,2,0.17,1.0,2.0,0.0,0.0,100.0,0.17,1.0,2.0,0.0,0.0,49.1,0.0,0.0,50.0
56,Roberto Bautista Agut,1,100.0,78.0,2.0,2.0,8.3,76.0,78.9,75.0,81.8,90.0,47.4,21.1,3.5,39.0,68.8,44.4,66.7,6,0.67,3.0,6.0,2.0,4.0,50.0,0.2,1.0,2.0,0.5,1.0,61.7,-,100.0,68.4
58,Benjamin Bonzi,1,100.0,67.4,11.2,0.0,0.0,67.4,75.0,51.7,51.7,90.9,30.9,7.4,2.9,27.7,38.1,18.2,33.3,6,0.55,3.0,6.0,1.0,2.0,92.9,1.27,7.0,14.0,0.5,1.0,51.6,100.0,100.0,54.5
59,Roberto Carballes Baena,1,0.0,57.4,0.0,1.6,5.9,72.1,54.5,64.7,68.8,60.0,33.3,7.6,1.5,25.5,52.6,10.0,12.5,8,0.8,4.0,8.0,0.5,1.0,42.9,0.7,3.5,7.0,2.0,4.0,44.9,-,0.0,35.0
65,Joao Fonseca,1,100.0,77.8,12.7,0.0,0.0,65.1,82.9,68.2,68.2,90.9,40.3,5.6,1.4,35.3,52.4,27.3,33.3,9,0.82,2.3,9.0,0.75,3.0,66.7,0.27,0.8,3.0,0.25,1.0,57.8,100.0,75.0,59.1
67,Juncheng Shang,1,100.0,66.7,6.9,0.0,0.0,68.1,73.5,52.2,52.2,90.0,41.0,3.3,0.0,39.1,46.7,33.3,60.0,5,0.56,2.5,5.0,1.5,3.0,66.7,0.3,1.5,3.0,0.5,1.0,54.9,100.0,100.0,63.2
70,Learner Tien,1,0.0,59.7,5.6,1.4,4.8,70.8,64.7,47.6,50.0,72.7,22.2,12.7,0.0,17.1,31.8,9.1,33.3,3,0.27,0.8,3.0,0.25,1.0,66.7,0.82,2.3,9.0,0.75,3.0,42.2,0.0,25.0,40.9
72,Hamad Medjedovic,1,0.0,62.3,4.9,3.3,13.3,75.4,65.2,53.3,61.5,80.0,24.1,24.1,5.6,17.6,35.0,0.0,0.0,2,0.2,1.0,2.0,0.0,0.0,0.0,0.2,1.0,2.0,1.0,2.0,44.3,-,0.0,40.0
74,Yoshihito Nishioka,1,100.0,68.2,0.9,0.9,2.8,67.3,73.0,58.3,60.0,93.3,31.4,18.6,0.0,23.0,52.0,13.3,33.3,6,0.4,2.0,6.0,0.67,2.0,90.9,0.73,3.7,11.0,0.33,1.0,52.0,100.0,66.7,53.3
76,Alexander Bublik,2,50.0,63.4,17.6,7.8,20.3,61.4,74.5,45.8,57.4,83.3,36.3,9.6,0.7,35.0,39.1,16.7,36.4,11,0.46,2.2,5.5,0.8,2.0,69.2,0.54,2.6,6.5,0.8,2.0,50.2,-,40.0,50.0
78,Hugo Gaston,1,0.0,55.7,4.9,3.3,9.5,65.6,62.5,42.9,47.4,63.6,29.1,14.5,0.0,19.5,57.1,10.0,33.3,3,0.3,1.5,3.0,0.5,1.0,0.0,0.36,2.0,4.0,2.0,4.0,43.1,-,0.0,38.1
84,Borna Coric,1,0.0,58.3,6.0,1.2,3.4,65.5,58.2,58.6,60.7,71.4,34.4,21.1,6.7,20.0,57.1,13.3,28.6,7,0.47,2.3,7.0,0.67,2.0,55.6,0.64,3.0,9.0,1.33,4.0,46.0,-,33.3,41.4
87,Jan Lennard Struff,1,100.0,65.5,3.4,0.0,0.0,56.9,78.8,48.0,48.0,80.0,46.9,12.5,3.1,32.4,66.7,45.5,45.5,11,1.0,5.5,11.0,2.5,5.0,66.7,0.6,3.0,6.0,1.0,2.0,55.7,-,100.0,61.9
91,Cameron Norrie,1,0.0,69.1,7.4,2.9,9.5,69.1,72.3,61.9,68.4,81.8,32.6,11.2,0.0,25.0,48.3,9.1,7.1,14,1.27,7.0,14.0,0.5,1.0,66.7,0.55,3.0,6.0,1.0,2.0,48.4,0.0,0.0,45.5
99,Mariano Navone,2,0.0,47.4,1.5,1.5,4.9,70.1,50.0,41.5,43.6,38.9,36.4,2.7,5.5,35.1,38.9,26.3,50.0,10,0.53,2.5,5.0,1.25,2.5,50.0,1.22,5.5,11.0,2.75,5.5,42.5,-,0.0,32.4
