Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
1,Jannik Sinner,14,100.0,74.3,11.9,2.2,6.0,63.0,81.3,62.2,66.2,96.4,42.7,6.5,2.1,32.2,59.8,33.7,42.6,129,0.79,3.6,9.2,1.53,3.9,87.0,0.28,1.3,3.3,0.17,0.4,57.3,0.0,88.9,65.5
2,Alexander Zverev,18,94.4,71.8,12.3,2.4,8.5,71.4,78.1,56.1,61.3,90.7,40.1,6.3,2.9,32.1,54.7,26.6,40.7,145,0.65,3.2,8.1,1.28,3.3,67.2,0.28,1.4,3.6,0.46,1.2,55.3,90.0,84.8,58.8
3,Carlos Alcaraz,13,84.6,71.2,8.0,2.7,8.1,66.1,75.6,62.6,68.1,92.0,41.8,6.1,5.8,31.6,56.2,31.3,52.5,80,0.6,2.7,6.2,1.4,3.2,73.2,0.3,1.4,3.2,0.37,0.8,55.9,80.0,86.7,62.1
4,Taylor Fritz,14,71.4,71.5,14.3,3.2,8.5,63.0,79.0,58.6,64.1,92.7,36.9,7.7,3.1,32.3,44.9,22.4,38.0,108,0.59,2.8,7.7,1.05,2.9,77.8,0.33,1.6,4.5,0.36,1.0,53.9,20.0,69.2,58.3
5,Jack Draper,13,76.9,69.6,10.3,4.0,10.2,60.6,80.8,52.5,58.5,86.5,37.8,8.0,4.1,30.5,49.6,24.7,44.3,88,0.56,2.8,6.8,1.22,3.0,56.3,0.31,1.5,3.7,0.66,1.6,52.7,71.4,71.9,55.4
6,Novak Djokovic,9,66.7,68.7,9.7,3.8,10.2,62.7,77.9,53.3,59.3,84.0,41.3,7.8,3.1,33.1,56.5,27.6,37.8,90,0.73,3.3,10.0,1.26,3.8,50.0,0.32,1.5,4.4,0.74,2.2,54.3,66.7,63.0,56.0
7,Casper Ruud,15,66.7,66.2,7.7,3.4,10.4,67.1,73.0,52.3,58.3,83.1,38.3,8.0,3.2,30.4,51.0,26.5,39.7,131,0.67,3.1,8.7,1.24,3.5,62.9,0.46,2.1,5.9,0.79,2.2,52.1,16.7,59.5,54.7
8,Alex De Minaur,13,92.3,65.8,5.6,3.4,7.1,52.9,74.7,55.9,60.2,86.1,44.6,5.9,5.5,33.7,59.0,38.0,43.2,139,0.88,4.0,10.7,1.71,4.6,69.0,0.45,2.0,5.5,0.63,1.7,54.7,50.0,80.0,62.0
9,Lorenzo Musetti,18,55.6,64.6,3.9,2.2,5.9,62.7,70.3,55.2,58.7,81.0,35.7,7.6,2.5,27.8,50.0,18.8,32.8,128,0.57,2.8,7.1,0.91,2.3,60.0,0.47,2.4,6.1,0.96,2.4,50.2,46.2,54.3,50.5
10,Holger Rune,17,82.4,69.3,8.0,3.3,8.6,61.3,75.4,59.6,65.2,89.4,36.6,7.8,4.6,27.8,51.3,23.0,42.6,115,0.54,2.6,6.8,1.09,2.9,69.3,0.35,1.7,4.4,0.51,1.4,52.5,71.4,73.3,56.4
11,Daniil Medvedev,17,82.4,64.1,8.0,6.9,17.6,60.7,73.2,50.1,60.8,80.4,42.6,5.3,3.6,36.3,53.5,32.6,43.9,171,0.74,3.7,10.1,1.63,4.4,61.7,0.51,2.5,6.8,0.96,2.6,53.0,71.4,73.9,56.3
12,Tommy Paul,14,57.1,62.3,6.3,1.9,5.0,62.2,69.7,50.2,52.8,77.0,40.9,6.1,2.7,34.3,54.6,26.0,37.9,124,0.69,3.2,8.9,1.21,3.4,64.1,0.64,3.0,8.4,1.08,3.0,51.6,57.1,59.0,51.6
13,Ben Shelton,18,44.4,67.5,9.9,3.9,12.1,67.8,74.2,53.4,60.7,85.8,30.9,6.9,4.2,23.2,42.9,12.4,28.7,115,0.43,2.2,6.4,0.62,1.8,67.2,0.43,2.2,6.4,0.72,2.1,49.3,43.8,43.4,49.1
14,Arthur Fils,16,68.8,65.5,7.6,3.9,10.5,63.0,73.5,51.8,57.9,84.5,36.4,7.4,3.1,28.1,49.2,19.1,41.7,84,0.46,2.2,5.3,0.9,2.2,68.5,0.49,2.4,5.8,0.74,1.8,51.2,50.0,59.0,52.2
15,Grigor Dimitrov,16,87.5,73.3,11.4,4.3,10.8,60.2,84.3,56.6,63.5,90.9,39.8,9.2,4.1,29.3,56.2,28.1,39.4,137,0.71,3.3,8.6,1.32,3.4,66.7,0.27,1.3,3.4,0.44,1.1,55.5,71.4,80.5,60.0
16,Frances Tiafoe,11,54.5,67.1,6.8,2.7,6.5,58.8,74.0,57.1,61.1,83.5,36.5,13.2,4.0,27.7,53.5,20.8,35.1,94,0.59,2.9,8.5,1.03,3.0,61.2,0.42,2.1,6.1,0.81,2.4,51.3,33.3,53.1,52.1
17,Andrey Rublev,17,58.8,66.8,10.8,3.3,8.8,62.2,76.2,51.4,56.4,86.5,36.5,10.9,3.7,27.4,51.4,19.8,41.2,97,0.48,2.4,5.7,0.98,2.4,71.7,0.48,2.4,5.8,0.68,1.6,51.7,33.3,56.1,53.5
18,Francisco Cerundolo,15,46.7,62.2,4.6,3.7,10.5,65.1,66.5,54.2,60.6,77.7,37.7,4.3,2.0,29.8,50.8,24.2,42.1,114,0.58,2.9,7.6,1.23,3.2,61.4,0.58,2.9,7.6,1.13,2.9,50.2,33.3,48.7,50.9
19,Stefanos Tsitsipas,15,80.0,68.2,8.9,2.5,6.7,63.2,74.5,57.4,61.6,86.9,40.2,6.2,2.9,34.0,50.4,30.9,54.3,92,0.57,2.6,6.1,1.43,3.3,60.0,0.33,1.6,3.7,0.63,1.5,54.4,80.0,80.0,59.4
