Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
1,Jannik Sinner,8,87.5,71.6,71.4,8.2,3.0,8.0,63.1,80.4,56.6,61.5,92.9,43.1,43.2,6.2,4.5,35.9,53.3,31.6,50.0,60,0.63,2.9,7.5,1.43,3.8,79.4,0.34,1.6,4.3,0.33,0.9,56.7,100.0,90.5,62.9
2,Alexander Zverev,10,50.0,69.6,67.7,11.8,2.9,10.6,72.5,73.6,58.9,65.8,88.1,36.8,37.8,7.9,3.3,27.8,51.4,17.4,26.8,71,0.65,3.1,7.1,0.83,1.9,65.8,0.35,1.7,3.8,0.57,1.3,52.4,50.0,56.5,52.8
3,Carlos Alcaraz,7,85.7,69.8,69.8,6.5,2.8,8.2,66.3,71.7,66.1,72.0,90.5,42.6,42.1,3.7,3.5,35.4,54.4,28.9,35.8,67,0.81,3.7,9.6,1.33,3.4,68.0,0.3,1.4,3.6,0.44,1.1,55.4,100.0,83.3,59.9
4,Taylor Fritz,7,57.1,69.5,66.8,11.0,1.4,4.0,65.2,76.0,57.3,59.7,84.7,37.1,36.3,4.6,3.9,28.1,52.7,22.4,41.4,58,0.54,2.5,8.3,1.04,3.4,62.2,0.41,2.0,6.4,0.74,2.4,53.0,33.3,56.5,54.1
5,Jack Draper,3,66.7,60.0,61.5,6.4,6.4,14.7,56.2,74.5,41.4,48.5,77.8,43.3,42.9,6.1,5.3,31.6,57.8,29.7,40.7,27,0.73,3.4,9.0,1.38,3.7,74.2,0.86,3.9,10.3,1.0,2.7,52.0,-,62.5,53.4
6,Novak Djokovic,5,100.0,63.1,62.4,5.2,2.0,6.3,67.6,68.7,51.4,54.8,80.0,45.8,45.4,1.5,2.0,39.7,56.3,37.7,49.1,53,0.77,3.8,10.6,1.86,5.2,44.0,0.36,1.8,5.0,1.0,2.8,54.3,66.7,85.7,59.0
7,Casper Ruud,6,83.3,73.4,73.2,5.4,1.7,5.3,67.8,80.9,57.6,60.8,91.8,33.9,35.1,7.5,2.3,25.7,45.9,14.5,32.3,31,0.45,2.2,5.2,0.71,1.7,66.7,0.25,1.3,3.0,0.43,1.0,52.9,50.0,71.4,54.2
8,Alex De Minaur,6,66.7,61.5,62.1,5.7,4.4,9.5,53.7,70.7,50.8,56.2,74.6,44.8,43.6,4.5,5.7,34.9,60.1,42.0,51.8,56,0.81,3.5,9.3,1.81,4.8,46.7,0.48,1.9,5.0,1.0,2.7,52.6,0.0,62.5,57.6
9,Lorenzo Musetti,5,100.0,68.9,69.0,3.6,1.7,5.8,71.0,72.6,59.9,63.6,86.7,36.9,37.1,9.3,5.2,29.4,53.5,25.0,30.2,63,0.83,4.2,12.6,1.27,3.8,47.4,0.25,1.3,3.8,0.67,2.0,52.4,75.0,73.3,55.6
10,Holger Rune,6,66.7,68.1,67.2,7.5,2.3,6.1,62.0,73.2,59.9,63.8,91.9,33.9,34.3,7.8,3.5,25.1,47.9,12.3,29.0,31,0.42,2.2,5.2,0.64,1.5,82.4,0.46,2.4,5.7,0.43,1.0,51.5,66.7,64.3,52.4
11,Daniil Medvedev,5,100.0,70.0,69.7,14.9,6.1,15.8,61.2,78.6,56.4,67.0,91.1,41.5,41.2,5.3,4.2,31.4,59.4,31.5,43.6,39,0.72,3.3,7.8,1.42,3.4,68.8,0.29,1.3,3.2,0.42,1.0,55.4,100.0,91.7,61.8
