Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
1,Jannik Sinner,79,92.4,71.1,69.8,9.9,2.4,6.3,61.6,79.3,57.8,61.7,91.5,5.9,40.9,42.3,7.5,3.1,31.9,55.9,6.7,27.0,41.0,42.2,658,0.67,3.1,8.3,1.32,3.5,73.6,0.32,1.6,4.1,0.41,1.1,55.3,75.8,83.8
2,Alexander Zverev,89,76.4,70.4,68.6,11.5,2.6,9.2,71.4,76.6,54.8,60.3,90.0,6.0,37.9,38.8,6.5,2.5,29.8,51.4,6.6,33.0,56.4,37.3,705,0.6,2.9,7.9,1.09,3.0,69.2,0.32,1.6,4.3,0.49,1.3,53.4,60.0,70.5
3,Carlos Alcaraz,67,80.6,68.1,67.9,6.3,2.6,7.7,65.5,73.6,57.7,62.5,86.7,6.1,41.6,41.7,5.1,3.5,34.4,54.4,6.7,29.0,56.2,42.0,593,0.74,3.4,8.9,1.44,3.7,64.5,0.37,1.8,4.5,0.62,1.6,54.2,58.1,75.1
4,Taylor Fritz,76,69.7,69.9,67.1,13.1,2.3,6.1,62.9,78.3,55.7,59.3,88.5,6.0,35.6,35.9,7.7,3.8,27.4,49.5,6.3,27.0,55.8,39.1,501,0.51,2.5,6.6,0.96,2.6,69.6,0.38,1.9,5.0,0.57,1.5,52.6,64.7,65.2
5,Jack Draper,61,63.9,67.0,66.0,10.8,4.1,10.1,59.6,78.0,50.9,56.6,84.1,6.1,37.7,38.8,8.3,3.5,29.7,50.4,6.4,31.0,56.1,42.4,446,0.57,2.8,7.3,1.17,3.1,60.3,0.4,1.9,5.1,0.77,2.0,52.0,54.2,60.5
6,Novak Djokovic,46,80.4,68.4,67.8,8.2,2.9,8.2,64.4,75.4,55.9,60.9,85.9,6.1,41.3,42.4,6.9,3.2,33.5,54.6,6.6,32.0,68.7,41.6,418,0.72,3.3,9.1,1.36,3.8,65.3,0.41,1.9,5.3,0.66,1.8,54.6,68.4,74.2
7,Casper Ruud,76,67.1,66.6,65.9,7.5,2.7,7.8,65.8,73.0,54.4,59.0,84.0,6.3,37.6,38.9,8.5,3.3,29.7,50.3,6.4,37.0,72.5,40.5,533,0.59,2.7,7.0,1.09,2.8,63.4,0.44,2.0,5.2,0.73,1.9,52.0,60.7,61.6
8,Alex De Minaur,68,69.1,64.4,64.6,6.2,3.6,8.0,54.6,72.6,54.6,59.3,80.7,6.2,42.0,42.2,5.8,3.9,32.9,55.6,6.6,33.5,73.8,45.0,575,0.69,3.2,8.5,1.46,3.8,59.7,0.48,2.2,5.8,0.89,2.3,52.7,61.1,65.2
9,Lorenzo Musetti,68,58.8,64.0,63.8,4.4,2.1,5.9,64.7,70.4,52.4,55.7,78.8,6.3,37.6,38.1,6.9,3.3,29.2,51.7,6.7,48.5,58.8,36.8,524,0.6,2.9,7.7,1.05,2.8,57.0,0.49,2.3,6.3,1.01,2.7,50.5,52.9,54.1
10,Holger Rune,68,66.2,66.5,66.0,8.4,3.6,9.0,60.2,74.0,55.2,60.6,84.7,6.3,35.2,35.7,7.8,3.5,26.8,48.7,6.3,45.0,79.7,37.9,428,0.5,2.4,6.3,0.91,2.4,65.8,0.45,2.2,5.6,0.74,1.9,50.9,64.5,60.1
