Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
1,Jannik Sinner,10,90.0,72.8,70.6,12.1,2.0,5.7,64.5,81.4,57.1,60.5,92.7,6.0,36.3,39.5,11.9,2.5,27.9,54.0,6.9,41.5,40.4,37.3,75,0.47,2.3,7.5,0.88,2.8,67.6,0.23,1.2,3.7,0.38,1.2,53.5,69.2,75.0
2,Alexander Zverev,8,75.0,77.0,74.2,16.0,1.9,6.7,72.2,84.2,58.2,62.4,97.5,5.8,32.7,34.2,8.6,2.2,25.2,45.9,6.3,44.0,92.6,34.5,55,0.45,2.3,6.9,0.79,2.4,78.6,0.12,0.6,1.8,0.13,0.4,53.8,42.9,70.8
3,Carlos Alcaraz,9,88.9,67.6,67.3,7.8,3.4,9.2,63.3,74.1,56.4,62.1,85.1,6.2,40.0,40.4,5.6,3.1,34.4,49.7,6.3,26.0,51.1,44.1,102,0.69,3.4,11.3,1.5,5.0,59.3,0.36,1.8,6.0,0.73,2.4,53.7,66.7,76.7
4,Taylor Fritz,12,83.3,76.5,72.9,17.4,1.5,4.2,65.6,84.3,61.6,64.4,93.7,5.5,33.4,34.4,9.3,3.4,24.7,49.0,6.5,77.5,72.5,32.9,70,0.42,2.1,5.8,0.68,1.9,72.5,0.23,1.2,3.3,0.32,0.9,53.7,80.0,76.5
5,Jack Draper,10,80.0,71.6,69.9,15.4,4.2,11.0,62.3,83.9,51.3,57.7,89.4,5.8,36.0,37.6,9.9,3.5,27.3,50.4,6.7,47.0,59.0,32.4,74,0.52,2.6,7.4,0.86,2.4,57.1,0.25,1.3,3.5,0.54,1.5,52.4,71.4,64.3
6,Novak Djokovic,6,83.3,71.3,70.3,10.7,3.1,9.6,67.5,78.7,55.9,61.8,89.9,5.8,38.5,38.9,7.2,3.9,30.3,53.3,6.7,25.0,71.3,35.0,60,0.63,3.0,10.0,1.05,3.5,64.3,0.28,1.4,4.7,0.5,1.7,54.1,66.7,75.0
7,Casper Ruud,2,50.0,69.0,66.1,14.2,3.0,7.9,61.6,77.6,55.1,59.8,84.2,6.1,37.9,37.8,7.1,4.6,31.3,47.4,7.6,164.0,164.0,19.2,26,0.7,3.7,13.0,0.71,2.5,66.7,0.47,2.6,9.0,0.86,3.0,51.9,100.0,57.1
8,Alex De Minaur,8,87.5,65.1,65.5,5.9,3.8,8.4,54.3,77.9,49.8,54.4,79.4,6.1,46.3,46.6,5.5,4.2,35.2,61.1,7.3,48.5,74.2,37.9,103,0.98,4.9,12.9,1.86,4.9,58.0,0.49,2.4,6.3,1.0,2.6,54.7,100.0,85.7
9,Lorenzo Musetti,15,80.0,67.0,66.5,5.1,1.7,5.4,67.6,72.3,56.0,59.2,85.2,6.5,37.1,37.7,6.9,3.2,29.1,50.2,6.8,58.0,56.9,36.7,128,0.56,2.7,8.5,0.98,3.1,66.7,0.44,2.1,6.8,0.71,2.3,51.8,54.5,60.4
10,Holger Rune,5,60.0,71.1,69.8,12.5,3.5,9.2,61.7,78.8,58.7,64.7,90.4,5.8,32.0,33.3,10.0,3.1,24.6,44.3,6.1,74.0,141.2,34.2,38,0.46,2.1,7.6,0.72,2.6,73.3,0.36,1.7,6.0,0.44,1.6,51.0,33.3,55.6
