Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
1,Jannik Sinner,13,100.0,71.0,70.6,7.5,2.5,6.7,62.1,78.8,58.3,62.5,90.0,5.8,41.5,43.1,7.2,2.6,34.0,54.4,6.6,23.0,35.6,44.4,108,0.65,3.1,8.3,1.37,3.7,68.5,0.32,1.5,4.2,0.49,1.3,55.5,83.3,85.7
2,Alexander Zverev,19,78.9,69.6,67.2,12.0,2.4,8.3,71.3,76.1,53.2,58.0,86.3,5.9,38.2,38.6,5.7,3.0,28.0,53.5,6.4,48.0,67.2,40.5,148,0.59,2.8,7.8,1.15,3.2,64.2,0.38,1.8,5.0,0.65,1.8,53.3,77.8,67.3
3,Carlos Alcaraz,12,83.3,67.0,66.8,6.7,3.0,8.7,66.0,74.2,53.0,58.1,87.3,6.2,41.9,42.5,5.8,3.2,33.9,55.2,6.4,35.0,44.8,44.1,102,0.73,3.4,8.5,1.5,3.8,66.7,0.38,1.8,4.5,0.6,1.5,54.3,33.3,80.0
4,Taylor Fritz,14,71.4,70.8,67.6,13.9,1.9,5.2,64.3,79.1,55.9,59.0,90.0,6.1,34.4,33.9,7.4,4.5,27.8,46.5,6.3,12.0,49.5,39.6,96,0.49,2.4,6.9,0.95,2.7,73.7,0.38,1.9,5.4,0.5,1.4,52.5,60.0,65.0
5,Jack Draper,10,90.0,68.9,67.7,13.2,4.6,11.1,59.0,79.8,53.2,59.9,90.4,6.1,39.0,39.9,8.5,4.1,31.9,48.8,6.5,40.5,49.0,44.9,69,0.56,2.7,6.9,1.19,3.1,72.1,0.34,1.7,4.3,0.46,1.2,53.6,100.0,76.9
6,Novak Djokovic,7,100.0,69.9,69.2,7.5,2.4,7.3,66.6,74.6,60.4,65.2,90.0,6.4,41.8,42.2,4.0,2.2,38.4,47.3,5.9,27.0,43.0,53.3,60,0.71,3.2,8.6,1.68,4.6,80.4,0.51,2.4,6.6,0.47,1.3,56.8,-,89.5
7,Casper Ruud,15,66.7,67.9,67.8,6.9,3.1,8.9,64.8,72.5,59.4,65.2,86.3,6.6,36.7,38.8,9.6,2.6,26.2,52.2,6.7,39.5,44.4,35.0,103,0.65,2.9,6.9,1.0,2.4,65.6,0.4,1.8,4.3,0.61,1.5,52.2,75.0,61.1
8,Alex De Minaur,16,62.5,62.3,62.8,4.2,3.2,7.1,54.5,71.7,51.1,55.0,73.7,6.0,42.4,42.5,4.6,3.1,34.6,53.8,6.6,35.0,40.9,45.8,144,0.7,3.2,9.0,1.47,4.1,50.0,0.53,2.3,6.5,1.16,3.3,51.6,100.0,60.0
9,Lorenzo Musetti,13,53.8,65.6,65.1,4.1,1.6,5.0,68.7,72.2,51.1,53.7,78.8,6.0,37.0,37.1,5.2,2.9,30.2,48.8,6.6,62.5,57.3,37.9,87,0.56,2.8,6.7,1.06,2.5,50.8,0.43,2.1,5.0,1.03,2.5,50.4,40.0,48.4
10,Holger Rune,17,64.7,65.1,64.2,8.9,3.6,9.5,61.8,72.4,53.3,58.9,82.2,6.5,35.5,36.8,8.0,2.5,27.2,49.6,6.2,57.0,73.2,41.9,93,0.44,2.1,5.5,0.89,2.3,67.2,0.54,2.6,6.8,0.86,2.2,50.7,71.4,56.8
11,Daniil Medvedev,14,64.3,64.2,64.5,8.7,5.3,13.9,62.1,72.8,50.3,58.4,77.6,6.7,40.3,40.4,6.0,3.9,31.8,55.0,7.0,18.5,28.8,44.1,102,0.65,3.0,7.3,1.32,3.2,57.5,0.53,2.4,5.7,1.0,2.4,51.9,71.4,61.8
12,Tommy Paul,13,76.9,67.9,66.1,9.0,1.9,5.3,63.7,73.5,58.2,61.4,87.3,6.3,40.5,40.9,4.4,2.4,33.7,51.9,6.9,62.0,78.8,32.5,123,0.8,3.8,9.5,1.25,3.1,73.7,0.48,2.4,5.8,0.63,1.5,53.7,57.1,71.9
