Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
1,Jannik Sinner,23,78.3,69.5,67.9,9.7,2.2,5.5,60.1,77.8,57.0,60.3,88.9,6.1,38.2,38.9,7.1,3.4,28.5,55.4,6.6,5.0,5.3,40.5,173,0.55,2.6,7.5,1.04,3.0,66.7,0.33,1.6,4.7,0.54,1.6,53.4,69.2,71.6
2,Alexander Zverev,15,53.3,68.2,66.3,9.8,2.1,8.3,74.2,73.3,53.4,58.3,86.0,6.1,34.4,36.3,8.4,1.8,25.5,50.4,6.3,6.0,5.5,36.7,109,0.5,2.5,7.3,0.91,2.7,59.2,0.34,1.7,5.1,0.7,2.1,51.1,27.3,54.5
3,Carlos Alcaraz,17,70.6,65.5,65.6,4.5,2.6,7.5,65.3,71.4,54.4,58.8,83.1,6.4,38.1,38.1,5.5,3.3,32.1,50.9,6.7,5.0,4.8,38.4,151,0.63,3.1,8.9,1.18,3.4,60.0,0.42,2.0,5.9,0.82,2.4,51.4,54.5,63.3
4,Taylor Fritz,21,52.4,67.7,65.2,11.7,2.3,6.2,62.4,77.3,51.8,55.2,85.8,6.3,31.9,32.3,9.8,4.1,22.7,49.1,6.2,4.0,5.0,30.8,133,0.44,2.2,6.3,0.68,2.0,71.9,0.5,2.6,7.3,0.72,2.0,50.2,50.0,48.3
5,Jack Draper,10,40.0,62.4,61.7,9.3,4.5,9.9,54.3,72.6,50.4,55.9,77.5,6.4,35.0,36.9,9.0,2.2,26.1,47.5,6.3,8.0,6.7,33.8,71,0.56,2.7,7.1,0.92,2.4,54.0,0.49,2.4,6.3,1.12,2.9,48.9,50.0,46.2
6,Novak Djokovic,6,33.3,65.3,64.7,5.8,2.3,7.3,68.1,71.7,51.5,55.6,81.0,6.6,32.7,32.6,6.2,3.2,24.5,45.1,6.7,5.5,5.5,26.1,23,0.29,1.4,3.8,0.38,1.0,65.9,0.56,2.8,7.3,0.94,2.5,48.8,66.7,37.5
7,Casper Ruud,10,60.0,63.6,62.1,5.9,1.1,3.5,67.8,70.2,49.8,51.6,80.2,6.1,33.3,35.3,12.0,3.5,26.4,43.7,5.6,4.0,4.6,49.0,49,0.42,2.0,4.9,0.96,2.4,54.9,0.44,2.0,5.1,0.92,2.3,49.2,0.0,52.0
8,Alex De Minaur,16,31.3,61.9,61.6,6.6,3.6,8.2,56.6,69.7,51.8,56.4,74.8,6.1,35.4,36.4,6.8,2.2,27.5,49.0,6.4,4.0,4.3,36.8,95,0.46,2.3,5.9,0.83,2.2,52.8,0.53,2.6,6.8,1.21,3.2,48.2,75.0,35.7
9,Lorenzo Musetti,9,33.3,56.0,56.0,2.1,1.7,4.7,64.2,63.3,42.7,44.9,65.1,6.7,35.0,35.1,5.1,2.6,27.6,49.1,6.1,2.0,3.2,54.1,37,0.35,1.5,4.1,0.83,2.2,58.0,0.83,3.7,9.8,1.54,4.1,46.1,50.0,33.3
10,Holger Rune,9,22.2,60.6,61.3,4.8,4.2,10.4,59.9,69.9,46.7,52.2,74.2,6.8,30.3,30.9,8.4,2.9,22.5,43.7,6.0,4.0,5.0,33.3,42,0.33,1.7,4.7,0.56,1.6,62.4,0.69,3.4,9.4,1.28,3.6,46.1,50.0,28.0
11,Daniil Medvedev,15,40.0,62.6,63.0,7.2,4.7,12.8,63.2,72.0,46.5,53.3,76.3,6.5,31.7,33.0,8.3,2.1,24.8,44.0,6.0,3.0,4.3,39.8,83,0.38,1.8,5.5,0.73,2.2,58.5,0.57,2.7,8.2,1.13,3.4,47.7,71.4,40.0
12,Tommy Paul,9,44.4,57.8,57.6,4.0,2.5,6.4,60.7,62.4,50.8,54.3,67.9,7.1,40.8,41.9,5.6,2.2,34.3,50.7,6.8,4.0,5.8,41.8,79,0.71,3.3,8.8,1.38,3.7,63.6,0.88,4.1,11.0,1.5,4.0,49.5,0.0,41.7
13,Ben Shelton,6,16.7,65.8,64.3,11.1,3.9,13.2,70.4,71.0,53.3,61.4,86.1,6.5,23.5,23.5,8.6,2.6,18.7,34.3,5.8,3.0,3.2,20.0,25,0.32,1.7,4.2,0.33,0.8,73.2,0.52,2.7,6.8,0.73,1.8,45.9,0.0,20.0
14,Arthur Fils,8,37.5,61.8,62.6,6.8,5.3,13.5,61.2,72.7,44.6,51.6,79.2,7.0,31.7,33.3,9.7,2.5,25.3,42.9,6.2,6.0,6.0,31.1,45,0.38,1.9,5.6,0.58,1.8,71.6,0.73,3.7,11.0,1.04,3.1,47.8,100.0,41.7
15,Grigor Dimitrov,11,54.5,65.2,64.8,8.1,3.8,10.5,63.8,73.6,50.3,56.2,84.8,6.7,33.8,35.8,10.8,2.8,25.6,47.3,6.6,5.0,5.4,32.2,59,0.41,2.0,5.4,0.66,1.7,69.0,0.49,2.4,6.5,0.76,2.0,49.7,55.6,51.7
16,Frances Tiafoe,5,60.0,67.3,67.9,7.0,4.2,9.6,56.4,76.5,55.3,61.2,86.6,6.4,35.2,35.7,10.5,5.0,25.9,47.7,6.6,7.0,5.6,36.1,36,0.52,2.6,7.2,0.93,2.6,60.9,0.34,1.6,4.6,0.64,1.8,50.7,25.0,57.1
17,Andrey Rublev,9,33.3,64.3,63.8,7.8,3.6,9.6,63.1,73.8,48.2,53.3,82.9,6.4,34.9,35.9,9.9,4.0,25.1,50.3,6.4,3.0,4.4,34.7,72,0.51,2.5,8.0,0.86,2.8,69.6,0.56,2.7,8.8,0.83,2.7,49.7,0.0,37.9
18,Francisco Cerundolo,7,57.1,61.8,62.6,4.2,3.9,9.9,60.7,67.5,52.9,58.7,76.3,7.5,36.7,35.9,3.7,3.4,29.0,52.0,7.7,7.0,6.0,29.6,54,0.7,3.2,7.7,0.94,2.3,62.5,0.63,2.8,6.9,1.06,2.6,49.0,100.0,58.8
19,Stefanos Tsitsipas,10,30.0,60.9,62.1,4.7,4.8,11.3,57.8,68.6,50.3,56.7,77.2,6.8,33.2,34.2,7.0,2.3,28.0,44.8,6.1,5.0,5.2,38.5,52,0.44,2.3,5.2,0.87,2.0,67.1,0.69,3.4,7.9,1.13,2.6,47.6,25.0,30.4
20,Tomas Machac,11,36.4,60.2,59.9,5.1,2.9,7.9,63.4,64.5,52.7,57.2,75.8,6.8,34.1,35.7,9.4,2.7,27.5,46.0,6.2,4.0,4.5,46.2,52,0.4,2.0,4.7,0.92,2.2,58.1,0.58,2.8,6.7,1.19,2.8,47.6,50.0,38.5
21,Jakub Mensik,7,57.1,62.9,60.2,12.6,4.0,10.0,60.2,75.2,44.2,49.1,81.3,7.3,32.5,33.3,9.0,3.3,23.4,48.4,6.3,9.0,7.7,34.6,52,0.47,2.4,7.4,0.82,2.6,69.2,0.61,3.0,9.3,0.91,2.9,48.6,66.7,54.5
22,Ugo Humbert,10,40.0,61.1,59.7,6.1,1.8,5.3,66.1,65.8,51.9,54.9,77.0,6.6,33.6,34.4,10.0,4.1,23.0,51.7,6.1,6.0,5.9,33.3,66,0.51,2.4,6.6,0.81,2.2,59.7,0.57,2.7,7.2,1.07,2.9,47.8,33.3,40.7
23,Sebastian Korda,10,20.0,59.4,57.4,7.8,2.3,5.9,60.8,70.0,42.9,45.5,71.6,6.8,32.0,31.5,7.5,4.2,21.6,50.3,6.2,5.0,5.8,30.6,62,0.46,2.3,6.2,0.7,1.9,58.7,0.69,3.4,9.2,1.41,3.8,46.4,28.6,25.9
24,Karen Khachanov,8,37.5,62.3,59.1,8.6,0.6,1.8,67.0,69.7,47.3,48.2,73.8,6.1,35.3,35.6,8.3,4.2,24.9,52.0,6.1,4.0,5.1,37.2,43,0.49,2.4,5.4,0.89,2.0,47.6,0.5,2.3,5.3,1.22,2.8,48.6,-,38.9
25,Alexei Popyrin,10,60.0,64.3,62.5,11.2,3.8,10.0,61.8,74.4,48.0,53.3,84.4,6.8,33.8,33.2,9.9,5.7,22.9,49.5,6.5,5.5,5.4,31.9,69,0.51,2.4,6.9,0.76,2.2,75.6,0.64,3.0,8.6,0.72,2.1,49.3,50.0,51.7
26,Alejandro Davidovich Fokina,7,28.6,59.4,59.9,2.6,2.6,8.1,68.3,63.2,51.1,55.6,73.3,6.5,36.9,38.0,8.3,3.3,29.7,52.2,6.4,7.0,6.7,34.7,49,0.54,2.6,7.0,0.89,2.4,55.6,0.6,2.8,7.7,1.26,3.4,48.2,0.0,31.6
27,Felix Auger Aliassime,11,36.4,62.9,61.8,11.2,5.2,14.6,64.6,73.1,44.1,51.6,76.0,6.5,32.3,32.0,6.1,3.4,28.5,39.8,6.4,5.0,4.9,30.9,55,0.45,2.0,5.0,0.63,1.5,55.2,0.54,2.5,6.1,1.11,2.7,48.0,33.3,37.0
