Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],7,7-0,100.0%,73.4%,72.7%,59,9.3%,16,2.5%,6.2%,59.3%,81.1%,62.3%,66.4%,95.3%,5.9,1.6,Jannik Sinner[ITA],7,42.1%,43.1%,7.5%,4.0%,32.8%,57.3%,28.8%,6.9,2.9,20.0,42.6,Jannik Sinner[ITA],7,43.5%,30,69,0.66,3.0,9.9,1.30,4.3,78.3%,18,23,0.21,1.0,3.3,0.22,0.7,Jannik Sinner[ITA],7,1.59,1351,56.8%,4,4-0,100.0%,17.4%,23,21-2,91.3%,211,132-79,62.6%,2:32,46.3,47.3
2,Alexander Zverev[GER],7,6-1,85.7%,70.3%,67.9%,79,13.3%,16,2.7%,9.3%,71.1%,76.4%,55.2%,60.9%,89.9%,6.0,1.8,Alexander Zverev[GER],7,39.7%,40.0%,6.5%,3.8%,31.3%,53.8%,24.7%,6.5,2.6,14.0,38.9,Alexander Zverev[GER],7,33.8%,24,71,0.73,3.4,10.1,1.14,3.4,77.8%,35,45,0.45,2.1,6.4,0.48,1.4,Alexander Zverev[GER],7,1.34,1231,54.5%,4,3-1,75.0%,19.0%,21,16-5,76.2%,196,113-83,57.7%,2:18,45.9,47.0
3,Carlos Alcaraz[ESP],5,4-1,80.0%,68.4%,68.3%,45,10.4%,20,4.6%,13.2%,65.2%,76.3%,53.6%,61.8%,87.7%,5.9,1.9,Carlos Alcaraz[ESP],5,44.6%,44.9%,2.9%,1.8%,40.2%,51.9%,37.5%,6.8,3.0,33.0,40.0,Carlos Alcaraz[ESP],5,41.5%,27,65,0.90,4.1,13.0,1.69,5.4,60.9%,14,23,0.32,1.4,4.6,0.56,1.8,Carlos Alcaraz[ESP],5,1.41,925,55.8%,1,0-1,0.0%,6.3%,16,12-4,75.0%,145,91-54,62.8%,2:16,42.6,44.2
4,Taylor Fritz[USA],3,2-1,66.7%,71.9%,69.3%,27,10.4%,2,0.8%,2.3%,66.9%,78.2%,59.3%,60.7%,95.5%,5.9,1.7,Taylor Fritz[USA],3,39.9%,41.8%,10.3%,4.2%,30.4%,54.9%,32.6%,6.1,2.4,95.5,95.5,Taylor Fritz[USA],3,70.0%,14,20,0.47,2.0,6.7,1.40,4.7,75.0%,6,8,0.18,0.8,2.7,0.20,0.7,Taylor Fritz[USA],3,1.42,523,55.8%,1,0-1,0.0%,10.0%,10,7-3,70.0%,87,56-31,64.4%,2:05,37.6,43.1
5,Jack Draper[GBR],4,3-1,75.0%,63.4%,60.6%,59,10.7%,13,2.4%,6.3%,62.3%,69.3%,53.6%,57.2%,78.8%,6.5,2.4,Jack Draper[GBR],4,37.5%,38.4%,7.7%,3.3%,27.7%,57.1%,20.2%,6.8,2.5,57.5,47.3,Jack Draper[GBR],4,34.7%,17,49,0.58,2.9,12.3,1.00,4.3,64.0%,32,50,0.59,2.9,12.5,1.06,4.5,Jack Draper[GBR],4,1.02,1120,50.2%,3,2-1,66.7%,17.6%,17,9-8,52.9%,169,84-85,49.7%,3:32,49.9,45.5
6,Novak Djokovic[SRB],6,5-1,83.3%,68.6%,66.7%,65,11.2%,16,2.8%,7.5%,63.1%,74.3%,58.9%,63.6%,90.3%,6.2,2.0,Novak Djokovic[SRB],6,40.7%,41.4%,8.6%,4.9%,30.0%,58.6%,28.1%,6.7,2.7,27.0,48.5,Novak Djokovic[SRB],6,38.5%,25,65,0.73,3.4,10.8,1.32,4.2,71.9%,23,32,0.34,1.7,5.3,0.47,1.5,Novak Djokovic[SRB],6,1.30,1172,54.5%,3,1-2,33.3%,15.8%,19,15-4,78.9%,182,109-73,59.9%,2:40,50.4,49.0
7,Casper Ruud[NOR],2,1-1,50.0%,61.1%,60.8%,14,5.7%,8,3.3%,9.3%,64.8%,65.8%,52.3%,57.7%,74.4%,6.3,2.4,Casper Ruud[NOR],2,35.8%,40.0%,13.0%,1.6%,27.7%,49.5%,15.8%,6.5,2.3,55.0,55.0,Casper Ruud[NOR],2,30.0%,6,20,0.53,2.2,10.0,0.67,3.0,58.3%,14,24,0.62,2.7,12.0,1.11,5.0,Casper Ruud[NOR],2,0.92,490,48.4%,0,0-0,-,0.0%,9,4-5,44.4%,77,35-42,45.5%,3:03,40.6,44.7
8,Alex De Minaur[AUS],5,4-1,80.0%,66.2%,66.4%,33,7.1%,18,3.9%,8.0%,51.5%,76.1%,55.8%,60.7%,81.6%,6.1,2.1,Alex De Minaur[AUS],5,41.5%,41.1%,3.7%,3.3%,34.3%,51.7%,31.5%,6.6,2.8,42.0,58.8,Alex De Minaur[AUS],5,44.2%,23,52,0.71,3.3,10.4,1.44,4.6,53.3%,16,30,0.39,1.9,6.0,0.88,2.8,Alex De Minaur[AUS],5,1.23,946,53.6%,2,2-0,100.0%,12.5%,16,12-4,75.0%,149,85-64,57.0%,2:26,45.7,46.4
9,Lorenzo Musetti[ITA],3,2-1,66.7%,64.7%,65.8%,11,2.9%,12,3.2%,8.6%,62.6%,70.5%,55.0%,60.2%,79.3%,6.4,2.3,Lorenzo Musetti[ITA],3,39.6%,36.9%,5.6%,7.5%,29.1%,54.7%,24.6%,7.3,2.9,39.0,38.3,Lorenzo Musetti[ITA],3,31.1%,14,45,0.79,4.1,15.0,1.27,4.7,55.6%,15,27,0.47,2.5,9.0,1.09,4.0,Lorenzo Musetti[ITA],3,1.12,788,51.5%,5,4-1,80.0%,45.5%,11,7-4,63.6%,115,60-55,52.2%,3:13,52.7,44.2
10,Holger Rune[DEN],4,3-1,75.0%,66.0%,65.8%,39,7.4%,19,3.6%,9.7%,62.7%,72.4%,55.1%,61.0%,81.8%,6.0,2.0,Holger Rune[DEN],4,34.9%,36.7%,10.1%,2.9%,27.7%,48.2%,17.2%,6.3,2.2,41.5,33.8,Holger Rune[DEN],4,37.5%,15,40,0.46,2.2,10.0,0.83,3.8,50.0%,16,32,0.36,1.8,8.0,0.89,4.0,Holger Rune[DEN],4,1.02,1071,50.1%,3,2-1,66.7%,16.7%,18,10-8,55.6%,175,87-88,49.7%,3:19,44.3,44.6
