Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],7,7-0,100.0%,73.4%,72.7%,59,9.3%,16,2.5%,6.2%,59.3%,81.1%,62.3%,66.4%,95.3%,5.9,1.6,Jannik Sinner[ITA],7,42.1%,43.1%,7.5%,4.0%,32.8%,57.3%,28.8%,6.9,2.9,20.0,42.6,Jannik Sinner[ITA],7,43.5%,30,69,0.66,3.0,9.9,1.30,4.3,78.3%,18,23,0.21,1.0,3.3,0.22,0.7,Jannik Sinner[ITA],7,1.59,1351,56.8%,4,4-0,100.0%,17.4%,23,21-2,91.3%,211,132-79,62.6%,2:32,46.3,47.3
2,Alexander Zverev[GER],15,11-4,73.3%,69.7%,67.2%,139,12.0%,26,2.2%,7.6%,70.4%,75.6%,55.4%,59.9%,88.3%,5.9,1.8,Alexander Zverev[GER],15,38.3%,39.0%,7.1%,3.3%,31.0%,51.4%,24.2%,6.4,2.4,43.0,48.2,Alexander Zverev[GER],15,39.8%,47,118,0.61,2.9,7.9,1.15,3.1,69.7%,53,76,0.39,1.9,5.1,0.56,1.5,Alexander Zverev[GER],15,1.26,2399,53.4%,7,3-4,42.9%,17.1%,41,28-13,68.3%,390,220-170,56.4%,2:06,46.0,47.2
3,Carlos Alcaraz[ESP],19,15-4,78.9%,67.6%,68.0%,108,7.9%,58,4.2%,11.9%,64.5%,74.0%,56.1%,63.7%,86.1%,6.0,1.9,Carlos Alcaraz[ESP],19,43.1%,42.4%,3.8%,4.0%,35.6%,55.9%,34.3%,6.7,2.9,33.0,61.7,Carlos Alcaraz[ESP],19,43.6%,79,181,0.79,3.5,9.5,1.55,4.2,64.4%,58,90,0.39,1.8,4.7,0.63,1.7,Carlos Alcaraz[ESP],19,1.33,2917,54.6%,4,2-2,50.0%,7.8%,51,37-14,72.5%,460,277-183,60.2%,1:52,41.8,43.9
4,Taylor Fritz[USA],20,14-6,70.0%,71.0%,67.8%,207,13.9%,29,2.0%,5.9%,66.9%,78.6%,55.6%,59.1%,92.1%,5.8,1.7,Taylor Fritz[USA],20,36.4%,38.8%,11.3%,3.3%,27.9%,53.1%,21.5%,6.4,2.3,45.0,60.0,Taylor Fritz[USA],20,42.5%,54,127,0.51,2.5,6.4,1.08,2.7,67.7%,42,62,0.24,1.2,3.1,0.40,1.0,Taylor Fritz[USA],20,1.26,3082,53.1%,11,3-8,27.3%,22.0%,50,33-17,66.0%,505,288-217,57.0%,1:52,44.8,43.6
5,Jack Draper[GBR],16,13-3,81.3%,67.0%,64.8%,153,11.4%,36,2.7%,7.3%,63.4%,74.0%,55.0%,59.3%,84.9%,6.2,2.0,Jack Draper[GBR],16,38.3%,40.1%,8.3%,2.5%,30.6%,52.3%,24.1%,6.7,2.5,31.0,91.9,Jack Draper[GBR],16,42.7%,53,124,0.56,2.8,7.8,1.18,3.3,64.5%,60,93,0.42,2.1,5.8,0.73,2.1,Jack Draper[GBR],16,1.16,2810,52.1%,7,4-3,57.1%,15.6%,45,30-15,66.7%,439,239-200,54.4%,2:07,45.3,43.5
6,Novak Djokovic[SRB],17,12-5,70.6%,69.8%,67.5%,142,11.6%,28,2.3%,7.3%,68.6%,76.1%,55.8%,60.2%,89.1%,6.1,1.8,Novak Djokovic[SRB],17,38.7%,40.3%,9.9%,4.0%,30.7%,53.6%,26.0%,6.4,2.5,54.0,64.3,Novak Djokovic[SRB],17,42.9%,51,119,0.61,2.8,7.0,1.21,3.0,64.5%,40,62,0.31,1.5,3.6,0.52,1.3,Novak Djokovic[SRB],17,1.28,2490,54.0%,10,4-6,40.0%,23.8%,42,30-12,71.4%,398,231-167,58.0%,1:55,46.7,47.2
7,Casper Ruud[NOR],16,12-4,75.0%,65.7%,64.9%,91,7.9%,35,3.0%,9.9%,69.3%,71.5%,52.7%,58.4%,84.2%,6.3,2.2,Casper Ruud[NOR],16,36.7%,38.8%,9.6%,2.7%,30.6%,49.0%,17.9%,6.5,2.4,49.0,88.4,Casper Ruud[NOR],16,36.4%,32,88,0.49,2.1,5.5,0.76,2.0,68.5%,63,92,0.50,2.2,5.8,0.69,1.8,Casper Ruud[NOR],16,1.07,2323,51.2%,5,3-2,60.0%,11.9%,42,27-15,64.3%,362,186-176,51.4%,1:47,40.9,44.3
8,Alex De Minaur[AUS],23,17-6,73.9%,66.5%,67.2%,87,5.7%,58,3.8%,8.1%,53.3%,74.7%,57.2%,62.2%,84.6%,6.1,2.0,Alex De Minaur[AUS],23,41.8%,42.5%,5.3%,2.8%,33.9%,53.1%,30.6%,6.8,2.8,56.0,62.1,Alex De Minaur[AUS],23,43.6%,75,172,0.70,3.1,7.5,1.34,3.3,60.6%,60,99,0.39,1.8,4.3,0.70,1.7,Alex De Minaur[AUS],23,1.25,3194,53.7%,4,2-2,50.0%,7.1%,56,41-15,73.2%,498,289-209,58.0%,1:47,44.0,46.2
9,Lorenzo Musetti[ITA],10,6-4,60.0%,63.4%,63.9%,43,4.3%,33,3.3%,9.4%,64.6%,69.7%,51.9%,57.2%,79.5%,6.6,2.4,Lorenzo Musetti[ITA],10,38.9%,37.9%,6.6%,5.7%,30.4%,53.3%,24.8%,6.7,2.6,47.5,43.5,Lorenzo Musetti[ITA],10,35.8%,38,106,0.69,3.5,10.6,1.27,3.8,58.7%,44,75,0.50,2.5,7.5,1.03,3.1,Lorenzo Musetti[ITA],10,1.06,2021,50.9%,8,5-3,62.5%,26.7%,30,17-13,56.7%,304,158-146,52.0%,2:31,50.4,44.9
10,Holger Rune[DEN],18,11-7,61.1%,64.5%,64.7%,70,5.4%,41,3.2%,8.4%,62.3%,71.1%,53.7%,58.6%,79.4%,6.1,2.2,Holger Rune[DEN],18,37.3%,39.0%,8.5%,2.7%,30.4%,49.2%,21.1%,6.4,2.4,42.5,42.6,Holger Rune[DEN],18,38.5%,45,117,0.55,2.4,6.5,0.92,2.5,51.1%,46,90,0.42,1.8,5.0,0.90,2.4,Holger Rune[DEN],18,1.05,2658,50.6%,6,4-2,66.7%,12.2%,49,28-21,57.1%,427,215-212,50.4%,1:51,40.6,44.9
