Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
2,Alexander Zverev[GER],22,15-7,68.2%,67.9%,67.3%,138,9.0%,53,3.5%,11.0%,68.5%,73.6%,55.4%,62.2%,84.6%,5.9,1.9,Alexander Zverev[GER],22,38.6%,38.8%,4.9%,2.6%,31.4%,51.5%,23.8%,6.6,2.5,44.0,54.3,Alexander Zverev[GER],22,43.7%,62,142,0.54,2.7,6.5,1.17,2.8,51.8%,43,83,0.32,1.6,3.8,0.75,1.8,Alexander Zverev[GER],22,1.20,3260,52.4%,11,7-4,63.6%,20.8%,53,35-18,66.0%,520,281-239,54.0%,1:56,48.3,47.1
3,Carlos Alcaraz[ESP],24,20-4,83.3%,65.8%,66.6%,77,4.8%,58,3.6%,10.2%,65.0%,71.1%,56.0%,62.4%,83.7%,6.1,2.1,Carlos Alcaraz[ESP],24,44.2%,42.9%,3.4%,4.8%,36.1%,57.8%,35.9%,6.8,3.0,27.0,58.0,Carlos Alcaraz[ESP],24,45.2%,94,208,0.79,3.6,8.7,1.62,3.9,67.2%,88,131,0.50,2.3,5.5,0.74,1.8,Carlos Alcaraz[ESP],24,1.29,3391,54.5%,6,4-2,66.7%,10.3%,58,43-15,74.1%,525,314-211,59.8%,1:43,42.5,43.6
4,Taylor Fritz[USA],20,14-6,70.0%,70.1%,66.8%,197,14.0%,28,2.0%,5.9%,66.5%,78.2%,53.9%,57.3%,90.5%,5.9,1.8,Taylor Fritz[USA],20,35.7%,37.8%,10.4%,3.0%,27.4%,52.3%,19.3%,6.4,2.3,49.5,55.7,Taylor Fritz[USA],20,37.4%,46,123,0.52,2.7,6.2,1.00,2.3,65.7%,44,67,0.28,1.5,3.4,0.50,1.2,Taylor Fritz[USA],20,1.19,2932,52.3%,10,3-7,30.0%,21.7%,46,29-17,63.0%,479,264-215,55.1%,1:47,46.4,43.6
5,Jack Draper[GBR],20,16-4,80.0%,69.0%,68.0%,129,10.0%,43,3.3%,8.9%,62.5%,76.5%,56.5%,62.0%,87.9%,6.0,1.9,Jack Draper[GBR],20,40.0%,41.6%,6.9%,2.2%,32.7%,52.4%,28.2%,6.6,2.6,29.0,75.8,Jack Draper[GBR],20,43.6%,61,140,0.65,3.1,7.0,1.36,3.1,65.8%,50,76,0.36,1.7,3.8,0.58,1.3,Jack Draper[GBR],20,1.29,2721,53.8%,7,5-2,71.4%,15.6%,45,34-11,75.6%,430,249-181,57.9%,1:38,43.6,43.2
6,Novak Djokovic[SRB],13,7-6,53.8%,68.9%,66.7%,84,11.1%,17,2.2%,7.8%,71.3%,76.6%,49.8%,54.0%,85.0%,6.0,1.9,Novak Djokovic[SRB],13,36.6%,38.7%,10.1%,2.9%,30.2%,48.7%,22.0%,6.3,2.3,54.0,67.5,Novak Djokovic[SRB],13,45.2%,28,62,0.49,2.3,4.8,1.04,2.2,53.7%,22,41,0.32,1.5,3.2,0.70,1.5,Novak Djokovic[SRB],13,1.18,1560,52.2%,7,3-4,42.9%,25.9%,27,15-12,55.6%,254,136-118,53.5%,1:32,44.1,45.8
7,Casper Ruud[NOR],25,20-5,80.0%,66.0%,65.9%,116,6.8%,58,3.4%,10.4%,67.3%,72.2%,53.2%,59.4%,86.1%,6.4,2.2,Casper Ruud[NOR],25,38.4%,39.0%,6.4%,3.0%,31.5%,51.3%,22.9%,6.6,2.5,48.0,58.4,Casper Ruud[NOR],25,37.8%,59,156,0.60,2.7,6.2,1.04,2.4,73.2%,101,138,0.52,2.4,5.5,0.65,1.5,Casper Ruud[NOR],25,1.13,3406,52.2%,5,3-2,60.0%,8.8%,57,42-15,73.7%,525,289-236,55.0%,1:40,44.0,44.2
8,Alex De Minaur[AUS],28,20-8,71.4%,66.5%,67.5%,71,4.3%,58,3.5%,7.7%,54.9%,74.2%,57.1%,61.9%,84.6%,6.1,2.0,Alex De Minaur[AUS],28,42.5%,42.8%,5.2%,3.2%,34.3%,54.4%,33.5%,6.5,2.8,43.0,49.8,Alex De Minaur[AUS],28,50.6%,90,178,0.66,2.9,6.4,1.45,3.2,61.8%,68,110,0.40,1.8,3.9,0.68,1.5,Alex De Minaur[AUS],28,1.27,3404,54.2%,4,1-3,25.0%,6.5%,62,44-18,71.0%,542,321-221,59.2%,1:33,42.0,45.9
9,Lorenzo Musetti[ITA],19,14-5,73.7%,63.7%,63.6%,59,4.0%,32,2.2%,6.9%,68.6%,68.5%,53.4%,57.3%,80.0%,6.4,2.3,Lorenzo Musetti[ITA],19,39.8%,39.0%,4.6%,4.4%,30.5%,55.3%,26.0%,6.6,2.6,28.0,36.6,Lorenzo Musetti[ITA],19,36.8%,60,163,0.71,3.4,8.6,1.25,3.2,59.6%,68,114,0.50,2.4,6.0,0.96,2.4,Lorenzo Musetti[ITA],19,1.10,3003,51.5%,7,4-3,57.1%,14.6%,48,31-17,64.6%,461,244-217,52.9%,2:03,48.5,46.5
10,Holger Rune[DEN],22,13-9,59.1%,63.2%,63.7%,38,3.1%,32,2.6%,7.1%,62.9%,69.3%,52.8%,56.8%,79.0%,6.2,2.3,Holger Rune[DEN],22,39.2%,40.2%,6.1%,2.5%,33.2%,49.6%,25.4%,6.3,2.5,39.0,48.4,Holger Rune[DEN],22,40.7%,50,123,0.62,2.6,5.6,1.06,2.3,54.4%,49,90,0.46,1.9,4.1,0.87,1.9,Holger Rune[DEN],22,1.07,2462,51.1%,5,3-2,60.0%,10.6%,47,28-19,59.6%,392,204-188,52.0%,1:24,39.2,44.9
11,Daniil Medvedev[RUS],23,15-8,65.2%,63.8%,64.2%,118,7.9%,75,5.0%,12.6%,59.9%,73.2%,49.7%,56.8%,78.8%,6.2,2.2,Daniil Medvedev[RUS],23,41.4%,41.0%,3.8%,3.4%,34.1%,53.8%,28.5%,6.8,2.8,39.0,54.6,Daniil Medvedev[RUS],23,39.3%,70,178,0.72,3.4,7.7,1.35,3.0,60.2%,77,128,0.53,2.5,5.6,0.98,2.2,Daniil Medvedev[RUS],23,1.14,3160,52.0%,6,4-2,66.7%,11.5%,52,31-21,59.6%,486,259-227,53.3%,1:40,44.3,43.8
