Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],1,1-0,100.0%,83.1%,82.5%,2,3.4%,0,0.0%,0.0%,64.4%,84.2%,81.0%,81.0%,100.0%,4.9,0.8,Jannik Sinner[ITA],1,47.4%,48.0%,2.6%,1.3%,35.0%,60.5%,50.0%,6.5,3.1,8.0,8.0,Jannik Sinner[ITA],1,60.0%,6,10,0.83,3.3,10.0,2.00,6.0,100.0%,1,1,0.08,0.3,1.0,0.00,0.0,Jannik Sinner[ITA],1,2.80,137,62.8%,0,0-0,-,0.0%,3,3-0,100.0%,24,18-6,75.0%,1:48,36.0,47.3
2,Alexander Zverev[GER],4,2-2,50.0%,64.8%,65.0%,25,6.1%,15,3.7%,11.5%,68.2%,70.3%,53.1%,60.0%,79.7%,6.4,2.3,Alexander Zverev[GER],4,36.9%,36.9%,4.0%,2.4%,31.7%,46.1%,17.2%,6.6,2.4,32.5,40.5,Alexander Zverev[GER],4,40.7%,11,27,0.42,2.1,6.8,0.85,2.8,55.2%,16,29,0.45,2.2,7.3,1.00,3.3,Alexander Zverev[GER],4,1.05,829,50.7%,4,3-1,75.0%,30.8%,13,7-6,53.8%,128,62-66,48.4%,2:51,52.7,49.6
3,Carlos Alcaraz[ESP],6,4-2,66.7%,64.3%,65.2%,32,6.8%,24,5.1%,15.9%,68.1%,72.4%,47.0%,55.9%,78.2%,6.1,2.2,Carlos Alcaraz[ESP],6,43.0%,41.6%,2.8%,4.4%,34.9%,57.1%,29.9%,7.0,3.0,20.0,20.7,Carlos Alcaraz[ESP],6,43.4%,23,53,0.69,3.3,8.8,1.44,3.8,61.4%,27,44,0.56,2.8,7.3,1.06,2.8,Carlos Alcaraz[ESP],6,1.20,1015,52.9%,1,1-0,100.0%,6.3%,16,10-6,62.5%,155,84-71,54.2%,2:07,47.6,45.0
4,Taylor Fritz[USA],3,2-1,66.7%,74.0%,71.5%,37,16.6%,7,3.1%,11.1%,71.7%,78.8%,61.9%,69.6%,90.0%,5.6,1.5,Taylor Fritz[USA],3,36.0%,39.8%,9.4%,0.0%,27.6%,61.1%,20.0%,7.2,2.6,45.0,45.0,Taylor Fritz[USA],3,28.6%,8,28,0.70,4.0,9.3,1.14,2.7,50.0%,4,8,0.20,1.1,2.7,0.57,1.3,Taylor Fritz[USA],3,1.38,509,52.7%,3,0-3,0.0%,42.9%,7,4-3,57.1%,80,44-36,55.0%,2:09,55.4,45.7
5,Jack Draper[GBR],3,3-0,100.0%,72.5%,72.3%,15,7.8%,5,2.6%,8.9%,71.0%,73.0%,71.4%,78.4%,94.1%,5.7,1.6,Jack Draper[GBR],3,41.2%,43.7%,9.1%,2.5%,35.5%,50.5%,27.3%,7.4,3.0,35.0,30.3,Jack Draper[GBR],3,32.1%,9,28,0.85,4.0,9.3,1.29,3.0,60.0%,3,5,0.15,0.7,1.7,0.29,0.7,Jack Draper[GBR],3,1.50,436,55.0%,0,0-0,-,0.0%,7,6-1,85.7%,67,41-26,61.2%,1:46,45.3,43.6
6,Novak Djokovic[SRB],3,2-1,66.7%,67.2%,65.0%,24,9.0%,4,1.5%,5.0%,70.1%,70.7%,58.8%,61.8%,85.4%,6.5,2.1,Novak Djokovic[SRB],3,33.5%,36.9%,13.5%,2.4%,29.2%,44.8%,20.0%,6.1,2.1,25.0,107.0,Novak Djokovic[SRB],3,50.0%,8,16,0.40,2.0,5.3,1.00,2.7,64.7%,11,17,0.41,2.1,5.7,0.75,2.0,Novak Djokovic[SRB],3,1.02,513,51.1%,2,1-1,50.0%,25.0%,8,5-3,62.5%,81,43-38,53.1%,2:13,49.9,46.7
7,Casper Ruud[NOR],3,2-1,66.7%,65.7%,66.5%,8,4.7%,6,3.6%,10.2%,65.1%,70.9%,55.9%,62.3%,82.8%,5.8,2.0,Casper Ruud[NOR],3,38.9%,37.3%,1.0%,3.1%,30.6%,52.8%,18.5%,7.1,2.8,13.0,30.0,Casper Ruud[NOR],3,26.3%,5,19,0.70,3.2,6.3,0.83,1.7,50.0%,5,10,0.34,1.7,3.3,0.83,1.7,Casper Ruud[NOR],3,1.13,362,51.4%,0,0-0,-,0.0%,6,4-2,66.7%,56,29-27,51.8%,1:29,44.5,44.3
8,Alex De Minaur[AUS],5,2-3,40.0%,59.6%,60.9%,7,2.0%,12,3.4%,7.3%,53.4%,65.6%,52.7%,56.9%,72.5%,6.9,2.8,Alex De Minaur[AUS],5,38.6%,39.2%,4.2%,1.6%,32.5%,49.5%,27.5%,6.0,2.3,10.0,24.8,Alex De Minaur[AUS],5,58.3%,14,24,0.47,2.0,4.8,1.17,2.8,58.8%,20,34,0.67,2.8,6.8,1.17,2.8,Alex De Minaur[AUS],5,0.95,660,49.8%,1,0-1,0.0%,8.3%,12,5-7,41.7%,102,51-51,50.0%,1:39,41.4,45.2
9,Lorenzo Musetti[ITA],3,2-1,66.7%,63.6%,62.8%,14,5.4%,5,1.9%,6.2%,69.0%,71.7%,45.7%,48.7%,81.6%,6.9,2.5,Lorenzo Musetti[ITA],3,41.0%,38.5%,1.2%,4.8%,31.3%,54.9%,28.2%,6.4,2.6,51.5,47.3,Lorenzo Musetti[ITA],3,47.8%,11,23,0.59,2.9,7.7,1.38,3.7,75.9%,22,29,0.76,3.6,9.7,0.88,2.3,Lorenzo Musetti[ITA],3,1.13,510,52.5%,1,0-1,0.0%,12.5%,8,5-3,62.5%,77,42-35,54.5%,2:09,48.3,45.4
10,Holger Rune[DEN],2,2-0,100.0%,66.7%,66.1%,6,4.7%,2,1.6%,4.1%,62.0%,77.5%,49.0%,51.1%,82.6%,5.6,1.9,Holger Rune[DEN],2,48.4%,47.9%,3.3%,3.9%,37.8%,63.5%,45.5%,7.0,3.4,26.5,26.5,Holger Rune[DEN],2,45.5%,10,22,1.00,4.4,11.0,2.00,5.0,50.0%,4,8,0.35,1.6,4.0,0.80,2.0,Holger Rune[DEN],2,1.45,282,56.7%,0,0-0,-,0.0%,5,4-1,80.0%,45,29-16,64.4%,1:48,43.0,45.7
