Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],1,1-0,100.0%,69.7%,66.7%,8,9.0%,0,0.0%,0.0%,57.3%,74.5%,63.2%,63.2%,85.7%,6.4,1.9,Jannik Sinner[ITA],1,47.5%,47.6%,5.9%,5.1%,42.9%,54.2%,42.9%,8.4,4.0,20.0,20.0,Jannik Sinner[ITA],1,46.2%,6,13,0.93,4.3,13.0,2.00,6.0,71.4%,5,7,0.50,2.3,7.0,0.67,2.0,Jannik Sinner[ITA],1,1.56,207,57.0%,1,1-0,100.0%,33.3%,3,3-0,100.0%,28,18-10,64.3%,2:36,52.0,45.2
2,Alexander Zverev[GER],2,2-0,100.0%,73.8%,71.3%,17,15.9%,3,2.8%,9.7%,71.0%,77.6%,64.5%,71.4%,94.1%,6.3,1.6,Alexander Zverev[GER],2,34.5%,34.6%,5.2%,2.6%,30.2%,39.6%,12.5%,7.3,2.5,42.0,42.0,Alexander Zverev[GER],2,25.0%,2,8,0.50,2.7,4.0,0.67,1.0,75.0%,3,4,0.24,1.3,2.0,0.33,0.5,Alexander Zverev[GER],2,1.32,223,53.4%,2,2-0,100.0%,66.7%,3,3-0,100.0%,33,18-15,54.5%,1:26,57.3,46.3
3,Carlos Alcaraz[ESP],4,3-1,75.0%,65.8%,67.2%,10,3.4%,11,3.8%,10.3%,63.4%,71.9%,55.1%,61.5%,85.1%,6.2,2.1,Carlos Alcaraz[ESP],4,41.4%,42.2%,6.0%,3.0%,34.7%,54.4%,27.7%,7.1,2.9,17.5,22.8,Carlos Alcaraz[ESP],4,31.0%,13,42,0.89,4.2,10.5,1.30,3.3,63.2%,12,19,0.40,1.9,4.8,0.70,1.8,Carlos Alcaraz[ESP],4,1.21,625,52.8%,2,1-1,50.0%,20.0%,10,7-3,70.0%,94,53-41,56.4%,1:52,44.8,43.0
4,Taylor Fritz[USA],2,1-1,50.0%,67.9%,64.6%,29,15.0%,6,3.1%,10.5%,70.5%,77.9%,43.9%,49.0%,92.9%,6.9,2.2,Taylor Fritz[USA],2,31.1%,34.7%,16.7%,3.3%,24.0%,47.3%,13.8%,6.2,1.9,39.5,39.5,Taylor Fritz[USA],2,66.7%,4,6,0.21,1.2,3.0,0.80,2.0,83.3%,10,12,0.43,2.4,6.0,0.40,1.0,Taylor Fritz[USA],2,0.97,373,50.1%,3,0-3,0.0%,60.0%,5,2-3,40.0%,57,30-27,52.6%,2:08,51.2,41.2
5,Jack Draper[GBR],3,3-0,100.0%,67.4%,65.3%,21,9.4%,4,1.8%,5.2%,65.6%,76.9%,49.4%,52.1%,81.1%,6.1,2.0,Jack Draper[GBR],3,40.1%,40.5%,4.9%,2.6%,32.3%,52.4%,24.3%,7.2,2.9,11.0,13.0,Jack Draper[GBR],3,42.9%,9,21,0.57,2.6,7.0,1.13,3.0,50.0%,7,14,0.38,1.8,4.7,0.88,2.3,Jack Draper[GBR],3,1.23,491,52.5%,2,2-0,100.0%,25.0%,8,6-2,75.0%,74,39-35,52.7%,2:01,45.4,44.4
6,Novak Djokovic[SRB],2,1-1,50.0%,69.7%,67.0%,10,10.1%,1,1.0%,3.2%,68.7%,76.5%,54.8%,56.7%,93.3%,6.6,2.0,Novak Djokovic[SRB],2,34.6%,36.4%,13.6%,4.9%,23.1%,55.2%,28.6%,5.8,2.0,8.5,8.5,Novak Djokovic[SRB],2,44.4%,4,9,0.64,3.0,4.5,1.33,2.0,85.7%,6,7,0.47,2.3,3.5,0.33,0.5,Novak Djokovic[SRB],2,1.14,180,53.9%,1,0-1,0.0%,33.3%,3,2-1,66.7%,29,18-11,62.1%,1:16,50.3,50.3
7,Casper Ruud[NOR],2,2-0,100.0%,58.3%,58.0%,8,4.6%,5,2.9%,9.4%,69.7%,65.6%,41.5%,45.8%,76.0%,7.0,2.9,Casper Ruud[NOR],2,39.7%,40.3%,5.1%,2.6%,33.7%,50.9%,32.0%,6.2,2.5,42.5,42.5,Casper Ruud[NOR],2,53.3%,8,15,0.60,3.0,7.5,1.60,4.0,75.0%,18,24,0.96,4.8,12.0,1.20,3.0,Casper Ruud[NOR],2,0.95,331,49.5%,1,1-0,100.0%,20.0%,5,4-1,80.0%,50,27-23,54.0%,2:12,52.6,47.7
8,Alex De Minaur[AUS],2,1-1,50.0%,62.3%,63.6%,2,1.4%,4,2.9%,5.6%,48.6%,74.6%,50.7%,53.7%,77.3%,6.3,2.4,Alex De Minaur[AUS],2,48.6%,48.1%,1.4%,2.2%,37.2%,67.3%,50.0%,6.3,3.0,54.0,54.0,Alex De Minaur[AUS],2,68.8%,11,16,0.73,3.2,8.0,2.20,5.5,44.4%,4,9,0.41,1.8,4.5,1.00,2.5,Alex De Minaur[AUS],2,1.29,276,55.4%,1,0-1,0.0%,20.0%,5,3-2,60.0%,44,28-16,63.6%,1:53,45.0,48.9
9,Lorenzo Musetti[ITA],2,1-1,50.0%,57.8%,57.6%,5,3.0%,3,1.8%,5.9%,69.3%,64.3%,43.1%,45.8%,64.0%,6.6,2.8,Lorenzo Musetti[ITA],2,36.5%,35.8%,2.4%,2.4%,24.5%,53.6%,24.0%,6.7,2.4,8.0,8.0,Lorenzo Musetti[ITA],2,50.0%,6,12,0.48,2.4,6.0,1.20,3.0,50.0%,9,18,0.72,3.6,9.0,1.80,4.5,Lorenzo Musetti[ITA],2,0.87,333,47.1%,2,1-1,50.0%,40.0%,5,2-3,40.0%,50,22-28,44.0%,2:18,55.0,49.5
10,Holger Rune[DEN],2,2-0,100.0%,71.7%,72.9%,3,2.7%,3,2.7%,8.3%,68.1%,72.7%,69.4%,75.8%,94.7%,5.9,1.7,Holger Rune[DEN],2,43.9%,43.7%,1.9%,1.9%,43.1%,44.9%,35.0%,5.4,2.4,16.5,16.5,Holger Rune[DEN],2,70.0%,7,10,0.50,2.5,5.0,1.75,3.5,50.0%,1,2,0.11,0.5,1.0,0.25,0.5,Holger Rune[DEN],2,1.55,220,58.2%,0,0-0,-,0.0%,4,4-0,100.0%,39,25-14,64.1%,1:23,41.5,45.3
