Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],6,5-1,83.3%,67.9%,68.3%,38,6.7%,21,3.7%,9.9%,62.6%,76.9%,52.8%,58.6%,86.5%,5.9,1.9,1,Jannik Sinner[ITA],6,44.0%,42.8%,2.9%,4.3%,35.8%,57.9%,32.0%,6.7,2.9,51.0,53.0,1,Jannik Sinner[ITA],6,48.4%,31,64,0.66,3.0,10.7,1.48,5.2,62.9%,22,35,0.36,1.7,5.8,0.62,2.2,1,Jannik Sinner[ITA],6,1.37,1215,55.1%,1,1-0,100.0%,4.8%,21,17-4,81.0%,193,114-79,59.1%,0:00,0.0,0.0
2,Alexander Zverev[GER],30,23-7,76.7%,67.0%,66.4%,201,9.0%,81,3.6%,12.1%,70.0%,73.4%,52.0%,59.2%,83.7%,6.0,2.0,2,Alexander Zverev[GER],30,41.1%,40.9%,3.1%,2.5%,34.4%,52.8%,27.6%,6.9,2.8,39.5,56.3,2,Alexander Zverev[GER],30,37.6%,103,274,0.73,3.4,9.1,1.27,3.4,55.6%,75,135,0.37,1.7,4.5,0.74,2.0,2,Alexander Zverev[GER],30,1.25,4784,53.2%,14,12-2,85.7%,17.3%,81,58-23,71.6%,742,412-330,55.5%,1:15,27.6,28.0
3,Carlos Alcaraz[ESP],23,21-2,91.3%,64.9%,65.4%,60,3.4%,46,2.6%,8.0%,67.3%,69.8%,54.7%,59.4%,83.6%,6.4,2.3,3,Carlos Alcaraz[ESP],23,45.4%,44.0%,2.4%,4.4%,38.1%,57.7%,38.7%,6.9,3.1,21.0,50.8,3,Carlos Alcaraz[ESP],23,44.7%,105,235,0.87,3.9,10.2,1.72,4.6,68.5%,98,143,0.52,2.3,6.2,0.74,2.0,3,Carlos Alcaraz[ESP],23,1.29,3621,54.9%,9,6-3,66.7%,14.8%,61,49-12,80.3%,546,335-211,61.4%,0:44,16.6,16.8
4,Taylor Fritz[USA],11,7-4,63.6%,65.8%,63.3%,111,10.7%,23,2.2%,6.2%,64.4%,74.9%,49.5%,52.7%,84.0%,6.4,2.2,4,Taylor Fritz[USA],11,35.3%,35.7%,5.4%,2.3%,30.8%,45.3%,23.6%,5.9,2.1,61.0,48.7,4,Taylor Fritz[USA],11,49.3%,37,75,0.48,2.3,6.8,1.12,3.4,69.0%,58,84,0.52,2.5,7.6,0.79,2.4,4,Taylor Fritz[USA],11,1.03,1957,51.5%,3,0-3,0.0%,9.1%,33,18-15,54.5%,320,174-146,54.4%,0:39,12.9,13.1
5,Jack Draper[GBR],12,7-5,58.3%,67.9%,68.5%,61,7.4%,36,4.4%,11.1%,60.8%,74.9%,57.0%,64.1%,81.9%,6.0,1.9,5,Jack Draper[GBR],12,38.1%,38.6%,5.8%,2.8%,30.6%,51.0%,25.4%,6.7,2.6,38.0,87.3,5,Jack Draper[GBR],12,37.2%,35,94,0.68,3.2,7.8,1.21,2.9,53.7%,29,54,0.39,1.9,4.5,0.86,2.1,5,Jack Draper[GBR],12,1.19,1752,52.1%,6,5-1,83.3%,20.7%,29,18-11,62.1%,276,148-128,53.6%,1:13,30.3,30.1
6,Novak Djokovic[SRB],15,12-3,80.0%,66.6%,66.0%,62,5.3%,21,1.8%,5.5%,66.8%,72.8%,54.0%,57.1%,83.1%,6.3,2.1,6,Novak Djokovic[SRB],15,42.6%,42.4%,3.6%,3.0%,38.2%,50.7%,33.5%,6.5,2.8,32.0,50.8,6,Novak Djokovic[SRB],15,45.9%,61,133,0.73,3.4,8.9,1.56,4.1,66.3%,61,92,0.50,2.4,6.1,0.79,2.1,6,Novak Djokovic[SRB],15,1.27,2342,54.5%,5,4-1,80.0%,12.8%,39,29-10,74.4%,365,213-152,58.4%,0:32,12.3,12.3
7,Casper Ruud[NOR],25,20-5,80.0%,65.2%,65.2%,111,5.5%,60,2.9%,8.6%,65.9%,70.4%,55.0%,60.3%,82.4%,6.5,2.3,7,Casper Ruud[NOR],25,39.1%,39.7%,5.8%,2.8%,31.5%,52.2%,26.8%,6.6,2.6,28.0,47.2,7,Casper Ruud[NOR],25,40.4%,82,203,0.66,3.0,8.1,1.22,3.3,67.1%,112,167,0.53,2.5,6.7,0.82,2.2,7,Casper Ruud[NOR],25,1.12,4064,52.1%,4,4-0,100.0%,6.0%,67,47-20,70.1%,619,340-279,54.9%,1:08,25.2,25.0
8,Alex De Minaur[AUS],15,11-4,73.3%,65.4%,66.5%,35,3.3%,35,3.3%,7.6%,56.6%,70.7%,58.5%,63.3%,82.1%,6.1,2.1,8,Alex De Minaur[AUS],15,44.4%,43.2%,3.4%,4.8%,38.2%,54.4%,40.5%,6.2,2.8,21.0,29.7,8,Alex De Minaur[AUS],15,60.3%,70,116,0.67,3.0,7.7,1.79,4.7,60.8%,48,79,0.46,2.0,5.3,0.79,2.1,8,Alex De Minaur[AUS],15,1.28,2141,54.8%,3,1-2,33.3%,7.7%,39,27-12,69.2%,346,212-134,61.3%,0:58,22.4,24.5
9,Lorenzo Musetti[ITA],25,20-5,80.0%,64.1%,63.9%,52,2.9%,25,1.4%,4.4%,68.0%,69.0%,53.5%,56.0%,79.9%,6.2,2.2,9,Lorenzo Musetti[ITA],25,41.8%,41.3%,3.3%,3.2%,33.8%,56.0%,30.1%,6.7,2.8,32.5,37.4,9,Lorenzo Musetti[ITA],25,41.1%,86,209,0.73,3.3,8.4,1.37,3.4,54.3%,69,127,0.44,2.0,5.1,0.92,2.3,9,Lorenzo Musetti[ITA],25,1.16,3693,52.6%,7,5-2,71.4%,11.1%,63,46-17,73.0%,575,317-258,55.1%,1:16,30.2,30.9
10,Holger Rune[DEN],15,10-5,66.7%,63.8%,64.2%,49,4.4%,34,3.0%,7.7%,60.7%,70.1%,54.0%,58.5%,81.8%,6.4,2.3,10,Holger Rune[DEN],15,38.3%,38.0%,4.7%,3.3%,31.9%,48.6%,24.9%,6.2,2.4,43.0,61.5,10,Holger Rune[DEN],15,40.7%,44,108,0.61,2.8,7.2,1.16,2.9,62.8%,54,86,0.49,2.3,5.7,0.84,2.1,10,Holger Rune[DEN],15,1.06,2221,51.1%,5,3-2,60.0%,13.2%,38,25-13,65.8%,353,188-165,53.3%,0:58,23.0,23.6
