Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],25,23-2,92.0%,70.8%,70.0%,218,9.2%,66,2.8%,7.0%,60.3%,79.6%,57.4%,61.8%,89.8%,5.9,1.7,1,Jannik Sinner[ITA],25,42.4%,42.9%,6.9%,4.4%,33.2%,57.8%,30.1%,6.8,2.9,36.0,47.5,1,Jannik Sinner[ITA],25,45.8%,119,260,0.66,3.0,10.4,1.38,4.8,67.2%,84,125,0.31,1.5,5.0,0.48,1.6,1,Jannik Sinner[ITA],25,1.45,5049,55.8%,14,13-1,92.9%,16.3%,86,73-13,84.9%,797,479-318,60.1%,1:57,34.0,34.8
2,Alexander Zverev[GER],23,19-4,82.6%,69.7%,67.9%,291,12.6%,75,3.2%,11.0%,70.6%,77.1%,52.1%,58.5%,87.9%,5.9,1.8,2,Alexander Zverev[GER],23,39.6%,40.1%,5.5%,2.8%,32.1%,52.1%,26.5%,6.6,2.6,33.0,50.3,2,Alexander Zverev[GER],23,37.5%,103,275,0.71,3.4,12.0,1.26,4.5,69.1%,105,152,0.39,1.9,6.6,0.57,2.0,2,Alexander Zverev[GER],23,1.31,4885,53.9%,16,11-5,68.8%,19.5%,82,60-22,73.2%,779,446-333,57.3%,1:46,29.6,29.8
3,Carlos Alcaraz[ESP],21,19-2,90.5%,66.3%,66.2%,143,6.7%,71,3.3%,9.6%,65.2%,72.1%,55.4%,61.3%,82.8%,6.1,2.1,3,Carlos Alcaraz[ESP],21,43.4%,42.9%,3.5%,3.4%,36.9%,54.0%,35.4%,6.6,2.9,28.0,57.6,3,Carlos Alcaraz[ESP],21,44.1%,123,279,0.80,3.7,13.3,1.64,5.9,58.9%,86,146,0.42,1.9,7.0,0.80,2.9,3,Carlos Alcaraz[ESP],21,1.29,4414,54.4%,8,6-2,75.0%,10.7%,75,57-18,76.0%,696,412-284,59.2%,1:43,28.7,29.3
4,Taylor Fritz[USA],19,15-4,78.9%,70.5%,68.4%,245,12.2%,49,2.4%,6.4%,61.7%,78.9%,57.0%,60.9%,89.0%,5.8,1.7,4,Taylor Fritz[USA],19,37.3%,37.6%,7.3%,3.9%,27.3%,53.4%,23.8%,6.2,2.3,42.5,50.6,4,Taylor Fritz[USA],19,46.7%,79,169,0.51,2.3,8.9,1.10,4.2,64.2%,68,106,0.31,1.5,5.6,0.53,2.0,4,Taylor Fritz[USA],19,1.27,4078,53.7%,10,5-5,50.0%,13.9%,72,49-23,68.1%,678,387-291,57.1%,1:56,30.5,32.3
5,Jack Draper[GBR],13,9-4,69.2%,64.2%,63.1%,152,10.3%,63,4.3%,10.0%,57.3%,73.7%,51.5%,57.2%,81.7%,6.4,2.3,5,Jack Draper[GBR],13,39.5%,40.0%,7.5%,4.1%,30.0%,54.7%,27.8%,6.5,2.6,47.0,64.7,5,Jack Draper[GBR],13,44.1%,63,143,0.63,3.0,11.0,1.31,4.8,63.2%,72,114,0.50,2.4,8.8,0.88,3.2,5,Jack Draper[GBR],13,1.10,2941,51.9%,7,3-4,42.9%,14.6%,48,29-19,60.4%,457,251-206,54.9%,2:29,40.4,39.5
6,Novak Djokovic[SRB],19,16-3,84.2%,67.9%,67.5%,174,9.0%,73,3.8%,10.3%,63.5%,75.1%,55.3%,61.7%,87.8%,6.2,2.0,6,Novak Djokovic[SRB],19,40.7%,41.3%,6.9%,3.9%,32.8%,54.5%,28.1%,6.6,2.7,29.0,63.5,6,Novak Djokovic[SRB],19,40.1%,85,212,0.70,3.3,11.2,1.31,4.5,65.8%,73,111,0.36,1.7,5.8,0.58,2.0,6,Novak Djokovic[SRB],19,1.27,3930,54.1%,8,4-4,50.0%,12.3%,65,49-16,75.4%,615,359-256,58.4%,2:03,36.0,35.7
7,Casper Ruud[NOR],13,9-4,69.2%,64.9%,64.4%,115,7.7%,52,3.5%,10.0%,65.4%,71.7%,52.1%,57.9%,79.5%,6.3,2.2,7,Casper Ruud[NOR],13,39.2%,41.0%,9.9%,3.9%,30.2%,53.4%,23.8%,6.6,2.6,46.5,64.6,7,Casper Ruud[NOR],13,35.6%,57,160,0.67,3.1,12.3,1.10,4.4,63.2%,84,133,0.56,2.6,10.2,0.94,3.8,7,Casper Ruud[NOR],13,1.12,3081,51.7%,7,6-1,85.7%,13.5%,52,31-21,59.6%,478,247-231,51.7%,1:47,26.8,27.1
8,Alex De Minaur[AUS],18,15-3,83.3%,64.8%,65.5%,114,6.4%,79,4.5%,9.3%,52.0%,72.2%,56.8%,62.6%,81.1%,6.2,2.2,8,Alex De Minaur[AUS],18,44.5%,43.8%,4.3%,4.7%,36.9%,55.0%,36.2%,6.8,3.0,44.0,63.6,8,Alex De Minaur[AUS],18,46.2%,104,225,0.78,3.7,12.5,1.70,5.8,60.9%,84,138,0.48,2.3,7.7,0.89,3.0,8,Alex De Minaur[AUS],18,1.27,3723,54.2%,8,6-2,75.0%,13.1%,61,45-16,73.8%,573,336-237,58.6%,1:53,33.3,32.8
9,Lorenzo Musetti[ITA],15,11-4,73.3%,65.6%,65.6%,86,4.7%,46,2.5%,7.0%,64.1%,71.0%,55.8%,60.0%,81.1%,6.2,2.1,9,Lorenzo Musetti[ITA],15,39.0%,38.9%,6.3%,4.2%,30.2%,53.1%,24.6%,6.8,2.6,50.0,67.3,9,Lorenzo Musetti[ITA],15,38.1%,72,189,0.65,3.2,12.6,1.20,4.8,58.5%,79,135,0.45,2.3,9.0,0.93,3.7,9,Lorenzo Musetti[ITA],15,1.13,3821,51.8%,14,9-5,64.3%,23.3%,60,37-23,61.7%,590,313-277,53.1%,2:33,38.2,36.0
10,Holger Rune[DEN],13,9-4,69.2%,65.8%,65.7%,118,7.8%,59,3.9%,9.4%,58.5%,73.6%,54.8%,60.5%,82.6%,6.1,2.1,10,Holger Rune[DEN],13,35.2%,36.4%,9.1%,3.3%,27.3%,48.0%,18.6%,6.3,2.2,51.0,85.5,10,Holger Rune[DEN],13,34.3%,46,134,0.54,2.6,10.3,0.88,3.5,62.6%,72,115,0.47,2.2,8.8,0.83,3.3,10,Holger Rune[DEN],13,1.03,3074,50.3%,8,5-3,62.5%,15.4%,52,30-22,57.7%,494,250-244,50.6%,1:51,27.7,28.1
