Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],13,12-1,92.3%,71.0%,68.4%,126,13.8%,24,2.6%,6.6%,60.4%,79.2%,58.4%,62.5%,91.4%,6.1,1.8,1,Jannik Sinner[ITA],13,39.4%,40.6%,7.0%,2.7%,27.4%,57.8%,23.5%,6.9,2.7,23.5,31.1,1,Jannik Sinner[ITA],13,35.7%,35,98,0.66,3.3,7.5,1.17,2.7,73.5%,36,49,0.32,1.6,3.8,0.43,1.0,1,Jannik Sinner[ITA],13,1.36,1941,54.3%,6,5-1,83.3%,20.0%,30,25-5,83.3%,300,173-127,57.7%,1:50,47.7,44.2
2,Alexander Zverev[GER],23,16-7,69.6%,69.8%,68.9%,189,11.5%,64,3.9%,11.9%,67.4%,75.8%,57.5%,65.3%,87.3%,6.0,1.8,2,Alexander Zverev[GER],23,37.5%,38.2%,7.4%,3.5%,29.3%,51.6%,22.3%,6.6,2.5,29.0,54.0,2,Alexander Zverev[GER],23,39.0%,62,159,0.57,2.9,6.9,1.13,2.7,63.9%,62,97,0.35,1.8,4.2,0.64,1.5,2,Alexander Zverev[GER],23,1.24,3471,52.8%,14,9-5,64.3%,25.5%,55,37-18,67.3%,554,303-251,54.7%,1:56,48.5,46.1
3,Carlos Alcaraz[ESP],18,13-5,72.2%,66.6%,67.0%,88,7.0%,52,4.1%,11.0%,62.5%,72.6%,56.4%,63.4%,86.1%,6.2,2.1,3,Carlos Alcaraz[ESP],18,41.6%,41.3%,5.4%,4.3%,33.3%,54.8%,29.8%,6.8,2.8,35.0,64.8,3,Carlos Alcaraz[ESP],18,42.1%,59,140,0.71,3.3,7.8,1.37,3.3,71.7%,71,99,0.49,2.3,5.5,0.65,1.6,3,Carlos Alcaraz[ESP],18,1.24,2604,53.7%,5,3-2,60.0%,11.6%,43,30-13,69.8%,400,233-167,58.3%,1:45,43.8,43.4
4,Taylor Fritz[USA],20,13-7,65.0%,68.7%,66.3%,168,11.5%,33,2.3%,6.3%,63.8%,76.5%,55.1%,58.8%,91.1%,6.2,1.9,4,Taylor Fritz[USA],20,35.0%,36.9%,10.3%,3.1%,27.4%,48.9%,18.4%,6.3,2.2,37.0,68.2,4,Taylor Fritz[USA],20,40.0%,42,105,0.46,2.3,5.3,0.93,2.1,76.1%,67,88,0.37,2.0,4.4,0.47,1.1,4,Taylor Fritz[USA],20,1.12,2891,52.0%,10,3-7,30.0%,22.2%,45,28-17,62.2%,465,258-207,55.5%,1:42,45.4,42.4
5,Jack Draper[GBR],23,17-6,73.9%,67.2%,67.3%,142,9.2%,71,4.6%,11.2%,59.2%,76.5%,53.8%,60.6%,83.8%,6.0,2.0,5,Jack Draper[GBR],23,39.0%,39.0%,6.2%,4.0%,30.3%,51.0%,25.4%,6.4,2.5,19.0,67.3,5,Jack Draper[GBR],23,45.5%,66,145,0.56,2.7,6.3,1.25,2.9,57.6%,57,99,0.38,1.9,4.3,0.79,1.8,5,Jack Draper[GBR],23,1.19,3224,52.6%,7,5-2,71.4%,13.2%,53,36-17,67.9%,520,284-236,54.6%,1:43,44.6,44.0
6,Novak Djokovic[SRB],15,10-5,66.7%,70.3%,69.1%,82,9.1%,21,2.3%,7.7%,69.7%,77.8%,53.3%,57.8%,87.0%,5.8,1.7,6,Novak Djokovic[SRB],15,38.7%,40.4%,8.5%,2.9%,30.2%,52.6%,23.8%,6.7,2.6,43.0,41.9,6,Novak Djokovic[SRB],15,40.4%,36,89,0.59,2.8,5.9,1.13,2.4,52.4%,22,42,0.27,1.3,2.8,0.63,1.3,6,Novak Djokovic[SRB],15,1.30,1916,53.5%,10,6-4,60.0%,31.3%,32,21-11,65.6%,305,170-135,55.7%,1:37,45.4,45.5
7,Casper Ruud[NOR],16,10-6,62.5%,65.5%,65.7%,79,6.7%,44,3.7%,11.1%,66.5%,72.6%,51.5%,57.9%,83.6%,6.3,2.2,7,Casper Ruud[NOR],16,36.3%,37.1%,7.0%,3.0%,28.5%,48.9%,22.3%,6.4,2.3,27.0,35.7,7,Casper Ruud[NOR],16,38.3%,41,107,0.58,2.8,6.7,1.08,2.6,68.4%,67,98,0.52,2.6,6.1,0.82,1.9,7,Casper Ruud[NOR],16,1.05,2370,51.0%,4,1-3,25.0%,10.5%,38,23-15,60.5%,373,199-174,53.4%,1:48,45.6,43.8
8,Alex De Minaur[AUS],17,12-5,70.6%,65.8%,66.3%,51,4.6%,35,3.2%,6.9%,54.1%,74.5%,55.4%,59.6%,80.9%,6.0,2.1,8,Alex De Minaur[AUS],17,43.0%,43.5%,6.0%,3.8%,34.0%,56.0%,35.5%,6.2,2.7,26.0,31.8,8,Alex De Minaur[AUS],17,55.1%,65,118,0.64,3.0,6.9,1.67,3.8,57.8%,48,83,0.45,2.1,4.9,0.90,2.1,8,Alex De Minaur[AUS],17,1.26,2229,54.2%,4,2-2,50.0%,10.3%,39,26-13,66.7%,366,213-153,58.2%,1:40,43.5,45.7
9,Lorenzo Musetti[ITA],20,13-7,65.0%,63.0%,62.9%,62,4.0%,34,2.2%,6.6%,67.1%,67.8%,53.2%,57.0%,77.1%,6.4,2.4,9,Lorenzo Musetti[ITA],20,38.5%,37.9%,5.7%,4.5%,28.5%,54.9%,22.5%,6.7,2.6,25.0,32.0,9,Lorenzo Musetti[ITA],20,34.6%,55,159,0.65,3.1,8.0,1.08,2.8,56.9%,74,130,0.53,2.5,6.5,1.10,2.8,9,Lorenzo Musetti[ITA],20,1.04,3206,50.5%,9,6-3,66.7%,17.6%,51,29-22,56.9%,489,244-245,49.9%,2:03,48.1,45.9
10,Holger Rune[DEN],25,17-8,68.0%,66.1%,66.8%,108,6.3%,71,4.2%,10.3%,59.5%,73.3%,55.4%,61.8%,84.1%,6.1,2.1,10,Holger Rune[DEN],25,36.2%,37.4%,9.9%,4.0%,26.9%,49.6%,21.9%,6.2,2.3,36.0,66.9,10,Holger Rune[DEN],25,43.9%,61,139,0.50,2.4,5.6,1.03,2.4,58.1%,61,105,0.38,1.8,4.2,0.75,1.8,10,Holger Rune[DEN],25,1.07,3430,51.0%,5,1-4,20.0%,8.5%,59,36-23,61.0%,555,294-261,53.0%,1:41,42.8,44.1
