Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],8,7-1,87.5%,69.5%,67.2%,76,10.9%,13,1.9%,4.9%,61.8%,74.9%,60.9%,64.0%,88.3%,6.3,1.9,1,Jannik Sinner[ITA],8,41.1%,41.5%,7.1%,4.3%,32.8%,53.6%,24.5%,7.2,3.0,22.5,28.8,1,Jannik Sinner[ITA],8,43.5%,27,62,0.56,2.8,7.8,1.23,3.4,66.7%,26,39,0.35,1.8,4.9,0.59,1.6,1,Jannik Sinner[ITA],8,1.35,1489,54.4%,6,6-0,100.0%,27.3%,22,18-4,81.8%,221,125-96,56.6%,1:55,41.9,37.2
2,Alexander Zverev[GER],8,5-3,62.5%,72.7%,70.7%,88,15.0%,20,3.4%,11.1%,69.3%,80.3%,55.6%,62.5%,91.8%,6.0,1.6,2,Alexander Zverev[GER],8,34.7%,37.2%,9.8%,1.7%,27.5%,47.8%,16.7%,6.8,2.4,8.0,21.0,2,Alexander Zverev[GER],8,32.7%,16,49,0.51,2.6,6.1,0.84,2.0,63.6%,14,22,0.22,1.2,2.8,0.42,1.0,2,Alexander Zverev[GER],8,1.27,1241,52.6%,7,3-4,42.9%,36.8%,19,12-7,63.2%,194,106-88,54.6%,1:38,41.3,38.0
3,Carlos Alcaraz[ESP],8,7-1,87.5%,65.2%,66.1%,29,4.4%,23,3.5%,9.5%,62.8%,71.2%,55.1%,60.9%,83.3%,6.0,2.1,3,Carlos Alcaraz[ESP],8,41.8%,41.4%,5.0%,4.2%,34.6%,54.7%,32.7%,6.7,2.8,14.0,15.3,3,Carlos Alcaraz[ESP],8,38.5%,35,91,0.85,4.0,11.4,1.52,4.4,47.1%,16,34,0.31,1.5,4.3,0.78,2.3,3,Carlos Alcaraz[ESP],8,1.20,1373,52.9%,3,1-2,33.3%,13.0%,23,17-6,73.9%,215,125-90,58.1%,1:29,30.9,31.0
4,Taylor Fritz[USA],6,4-2,66.7%,69.8%,67.1%,81,13.8%,16,2.7%,7.8%,65.2%,80.2%,50.5%,54.8%,91.2%,6.5,1.9,4,Taylor Fritz[USA],6,30.9%,32.0%,11.5%,3.7%,21.3%,50.0%,12.1%,6.2,1.9,22.5,31.0,4,Taylor Fritz[USA],6,36.7%,11,30,0.33,1.8,5.0,0.65,1.8,76.5%,26,34,0.37,2.0,5.7,0.47,1.3,4,Taylor Fritz[USA],6,1.02,1151,50.7%,7,3-4,42.9%,41.2%,17,9-8,52.9%,182,94-88,51.6%,2:16,48.1,42.6
5,Jack Draper[GBR],6,5-1,83.3%,63.8%,62.9%,50,10.1%,23,4.7%,12.2%,61.9%,75.5%,44.7%,50.9%,81.7%,7.0,2.5,5,Jack Draper[GBR],6,39.2%,40.3%,6.9%,2.9%,31.9%,51.7%,25.4%,6.9,2.7,14.0,21.2,5,Jack Draper[GBR],6,37.5%,18,48,0.68,3.2,8.0,1.20,3.0,62.9%,22,35,0.49,2.3,5.8,0.87,2.2,5,Jack Draper[GBR],6,1.08,984,51.5%,3,2-1,66.7%,20.0%,15,10-5,66.7%,142,76-66,53.5%,2:01,48.4,44.3
6,Novak Djokovic[SRB],6,4-2,66.7%,64.8%,63.2%,30,7.1%,7,1.7%,5.1%,67.6%,71.8%,50.0%,52.7%,84.1%,6.7,2.3,6,Novak Djokovic[SRB],6,41.8%,42.2%,5.5%,3.4%,34.8%,54.4%,29.5%,6.8,2.9,15.5,18.2,6,Novak Djokovic[SRB],6,32.7%,18,55,0.90,4.2,9.2,1.38,3.0,65.5%,19,29,0.46,2.2,4.8,0.77,1.7,6,Novak Djokovic[SRB],6,1.19,836,53.3%,3,2-1,66.7%,23.1%,13,10-3,76.9%,124,71-53,57.3%,1:34,43.2,40.3
7,Casper Ruud[NOR],5,3-2,60.0%,58.7%,58.1%,15,3.8%,7,1.8%,5.3%,66.5%,66.3%,43.6%,46.0%,71.0%,6.4,2.6,7,Casper Ruud[NOR],5,34.6%,37.6%,12.0%,2.5%,27.2%,47.7%,20.6%,5.8,2.0,21.0,29.2,7,Casper Ruud[NOR],5,44.8%,13,29,0.46,2.1,5.8,0.93,2.6,63.3%,31,49,0.79,3.5,9.8,1.29,3.6,7,Casper Ruud[NOR],5,0.84,764,47.1%,2,2-0,100.0%,14.3%,14,7-7,50.0%,125,57-68,45.6%,1:28,31.6,34.7
8,Alex De Minaur[AUS],4,2-2,50.0%,61.4%,62.6%,8,3.0%,10,3.8%,8.1%,53.4%,72.3%,48.8%,53.1%,73.8%,6.3,2.4,8,Alex De Minaur[AUS],4,43.3%,44.8%,5.2%,1.5%,31.9%,61.8%,36.6%,6.5,2.8,20.0,37.0,8,Alex De Minaur[AUS],4,51.7%,15,29,0.71,3.2,7.3,1.67,3.8,45.0%,9,20,0.48,2.2,5.0,1.22,2.8,8,Alex De Minaur[AUS],4,1.12,532,52.3%,2,1-1,50.0%,22.2%,9,5-4,55.6%,83,46-37,55.4%,1:45,46.6,47.3
9,Lorenzo Musetti[ITA],9,4-5,44.4%,58.2%,58.2%,16,2.4%,11,1.7%,5.4%,68.9%,63.3%,47.1%,49.7%,69.4%,6.7,2.8,9,Lorenzo Musetti[ITA],9,38.5%,39.2%,5.8%,2.6%,28.9%,53.5%,23.5%,6.7,2.6,18.0,56.6,9,Lorenzo Musetti[ITA],9,39.7%,23,58,0.59,2.8,6.4,1.10,2.6,58.3%,42,72,0.73,3.4,8.0,1.43,3.3,9,Lorenzo Musetti[ITA],9,0.92,1316,48.3%,3,1-2,33.3%,14.3%,21,8-13,38.1%,196,91-105,46.4%,1:44,44.4,42.5
10,Holger Rune[DEN],6,2-4,33.3%,68.2%,68.6%,36,8.5%,19,4.5%,11.1%,59.7%,74.7%,58.5%,65.8%,87.9%,6.4,2.0,10,Holger Rune[DEN],6,32.5%,34.6%,10.8%,2.6%,24.9%,43.0%,15.9%,6.1,2.0,25.0,22.7,10,Holger Rune[DEN],6,47.8%,11,23,0.33,1.8,3.8,0.85,1.8,55.6%,10,18,0.27,1.4,3.0,0.62,1.3,10,Holger Rune[DEN],6,1.02,848,50.4%,5,0-5,0.0%,38.5%,13,5-8,38.5%,135,69-66,51.1%,1:44,47.8,43.9
