Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],6,6-0,100.0%,72.5%,71.5%,43,8.9%,10,2.1%,5.7%,63.8%,78.3%,62.3%,66.1%,90.1%,6.0,1.6,1,Jannik Sinner[ITA],6,42.9%,43.6%,7.0%,4.2%,34.3%,57.3%,31.7%,6.9,3.0,20.5,29.2,1,Jannik Sinner[ITA],6,51.0%,26,51,0.62,3.0,8.5,1.53,4.3,69.2%,18,26,0.32,1.5,4.3,0.47,1.3,1,Jannik Sinner[ITA],6,1.56,1053,56.5%,4,4-0,100.0%,23.5%,17,16-1,94.1%,163,99-64,60.7%,1:46,37.4,36.2
2,Alexander Zverev[GER],12,11-1,91.7%,73.1%,72.1%,119,13.7%,34,3.9%,12.4%,68.5%,81.7%,54.4%,62.1%,91.3%,5.8,1.6,2,Alexander Zverev[GER],12,40.7%,42.2%,7.3%,2.8%,33.6%,54.4%,28.9%,6.5,2.7,82.0,99.9,2,Alexander Zverev[GER],12,38.3%,44,115,0.76,3.6,9.6,1.38,3.7,74.5%,38,51,0.34,1.6,4.3,0.41,1.1,2,Alexander Zverev[GER],12,1.51,1859,55.9%,4,3-1,75.0%,12.5%,32,26-6,81.3%,301,180-121,59.8%,1:43,38.8,40.1
3,Carlos Alcaraz[ESP],10,7-3,70.0%,67.2%,67.2%,61,8.8%,30,4.3%,12.3%,65.0%,75.2%,52.3%,59.6%,86.6%,6.2,2.0,3,Carlos Alcaraz[ESP],10,40.5%,40.8%,6.6%,4.0%,33.9%,50.9%,30.4%,6.3,2.5,18.0,27.6,3,Carlos Alcaraz[ESP],10,44.2%,34,77,0.69,3.1,7.7,1.36,3.4,68.1%,32,47,0.42,1.9,4.7,0.60,1.5,3,Carlos Alcaraz[ESP],10,1.23,1396,53.8%,1,0-1,0.0%,4.0%,25,18-7,72.0%,224,131-93,58.5%,1:44,41.5,44.6
4,Taylor Fritz[USA],10,7-3,70.0%,72.6%,70.0%,111,13.9%,18,2.3%,6.7%,66.3%,80.7%,56.5%,60.6%,91.7%,6.0,1.7,4,Taylor Fritz[USA],10,33.1%,33.9%,10.9%,4.4%,27.1%,43.3%,17.1%,6.2,2.1,29.5,67.0,4,Taylor Fritz[USA],10,37.3%,22,59,0.46,2.4,5.9,0.88,2.2,77.6%,38,49,0.37,2.0,4.9,0.44,1.1,4,Taylor Fritz[USA],10,1.21,1602,52.7%,8,5-3,62.5%,32.0%,25,17-8,68.0%,261,143-118,54.8%,1:37,38.9,36.4
5,Jack Draper[GBR],5,3-2,60.0%,68.1%,67.6%,37,10.5%,15,4.3%,11.2%,61.8%,79.7%,49.3%,55.5%,87.7%,6.2,2.0,5,Jack Draper[GBR],5,39.0%,39.3%,6.6%,3.7%,32.6%,49.6%,25.9%,6.5,2.5,42.0,47.8,5,Jack Draper[GBR],5,51.7%,15,29,0.50,2.4,5.8,1.25,3.0,58.8%,10,17,0.30,1.4,3.4,0.58,1.4,5,Jack Draper[GBR],5,1.22,728,53.0%,2,0-2,0.0%,16.7%,12,7-5,58.3%,115,65-50,56.5%,1:44,43.5,43.0
6,Novak Djokovic[SRB],3,2-1,66.7%,72.5%,71.5%,13,8.1%,3,1.9%,4.6%,59.4%,78.9%,63.1%,66.1%,79.3%,5.5,1.5,6,Novak Djokovic[SRB],3,36.9%,36.9%,5.7%,3.4%,34.7%,41.4%,32.1%,6.3,2.3,70.0,87.7,6,Novak Djokovic[SRB],3,47.4%,9,19,0.68,3.2,6.3,1.50,3.0,53.8%,7,13,0.45,2.2,4.3,1.00,2.0,6,Novak Djokovic[SRB],3,1.34,336,53.9%,0,0-0,-,0.0%,6,4-2,66.7%,57,32-25,56.1%,0:29,14.5,15.5
7,Casper Ruud[NOR],7,5-2,71.4%,67.0%,66.1%,64,10.8%,25,4.2%,12.3%,65.5%,74.2%,53.4%,60.9%,87.1%,6.4,2.1,7,Casper Ruud[NOR],7,37.2%,38.5%,7.2%,2.4%,32.0%,47.4%,19.8%,6.9,2.6,69.5,113.1,7,Casper Ruud[NOR],7,30.5%,18,59,0.65,3.1,8.4,0.95,2.6,75.5%,37,49,0.53,2.6,7.0,0.63,1.7,7,Casper Ruud[NOR],7,1.13,1217,51.7%,4,2-2,50.0%,21.1%,19,12-7,63.2%,184,99-85,53.8%,2:04,45.7,42.8
8,Alex De Minaur[AUS],6,4-2,66.7%,65.0%,64.8%,23,5.4%,11,2.6%,5.6%,54.2%,75.8%,52.3%,55.4%,80.6%,5.9,2.1,8,Alex De Minaur[AUS],6,39.8%,40.8%,7.8%,3.7%,29.0%,55.0%,26.0%,6.3,2.5,27.5,42.5,8,Alex De Minaur[AUS],6,51.4%,19,37,0.51,2.5,6.2,1.27,3.2,58.8%,20,34,0.47,2.3,5.7,0.93,2.3,8,Alex De Minaur[AUS],6,1.14,886,51.9%,2,2-0,100.0%,13.3%,15,9-6,60.0%,145,77-68,53.1%,1:47,42.7,43.4
9,Lorenzo Musetti[ITA],8,4-4,50.0%,65.8%,66.1%,27,3.9%,17,2.5%,7.7%,67.5%,71.6%,53.6%,58.0%,84.6%,6.6,2.3,9,Lorenzo Musetti[ITA],8,36.0%,34.9%,5.7%,4.8%,27.7%,51.6%,17.3%,6.9,2.5,51.0,43.0,9,Lorenzo Musetti[ITA],8,32.7%,18,55,0.53,2.6,6.9,0.86,2.3,65.2%,30,46,0.44,2.2,5.8,0.76,2.0,9,Lorenzo Musetti[ITA],8,1.05,1398,50.6%,7,3-4,42.9%,33.3%,21,10-11,47.6%,208,106-102,51.0%,2:11,50.0,45.1
10,Holger Rune[DEN],8,7-1,87.5%,66.5%,66.3%,45,8.2%,21,3.8%,10.1%,62.4%,75.8%,51.2%,57.0%,84.3%,6.2,2.1,10,Holger Rune[DEN],8,40.0%,41.2%,7.8%,3.3%,32.8%,50.7%,28.4%,6.1,2.4,43.0,89.0,10,Holger Rune[DEN],8,48.1%,25,52,0.59,2.9,6.5,1.39,3.1,62.2%,23,37,0.42,2.1,4.6,0.78,1.8,10,Holger Rune[DEN],8,1.19,1088,53.4%,1,1-0,100.0%,5.6%,18,14-4,77.8%,177,100-77,56.5%,1:39,44.2,43.8
11,Daniil Medvedev[RUS],5,3-2,60.0%,64.2%,65.1%,40,8.3%,28,5.8%,14.9%,61.1%,76.3%,45.2%,53.1%,76.9%,6.2,2.2,11,Daniil Medvedev[RUS],5,44.0%,43.7%,2.4%,2.4%,40.4%,51.0%,32.5%,7.2,3.2,92.0,89.6,11,Daniil Medvedev[RUS],5,44.8%,26,58,0.73,3.6,11.6,1.63,5.2,48.6%,17,35,0.45,2.2,7.0,1.13,3.6,11,Daniil Medvedev[RUS],5,1.23,1060,53.2%,5,3-2,60.0%,31.3%,16,10-6,62.5%,158,86-72,54.4%,2:05,39.1,35.4
