Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],42,38-4,90.5%,71.5%,69.9%,360,10.6%,76,2.2%,5.7%,60.8%,79.7%,58.8%,62.4%,91.5%,6.0,1.7,1,Jannik Sinner[ITA],42,40.0%,41.3%,7.9%,3.3%,30.3%,55.9%,25.8%,6.7,2.7,14.0,19.5,1,Jannik Sinner[ITA],42,41.0%,143,349,0.63,3.0,8.3,1.24,3.4,71.9%,123,171,0.30,1.5,4.1,0.42,1.1,1,Jannik Sinner[ITA],42,1.40,7119,55.0%,28,22-6,78.6%,24.3%,115,96-19,83.5%,1117,658-459,58.9%,1:56,42.4,41.1
2,Alexander Zverev[GER],54,37-17,68.5%,69.7%,68.5%,482,10.9%,147,3.3%,11.1%,70.1%,76.3%,54.2%,61.0%,88.0%,6.0,1.8,2,Alexander Zverev[GER],54,37.3%,38.2%,6.4%,2.5%,29.4%,51.5%,21.9%,6.5,2.4,19.0,23.4,2,Alexander Zverev[GER],54,38.2%,162,424,0.57,2.8,7.9,1.06,3.0,64.1%,159,248,0.34,1.6,4.6,0.58,1.6,2,Alexander Zverev[GER],54,1.23,9246,52.7%,35,19-16,54.3%,22.9%,153,98-55,64.1%,1480,813-667,54.9%,1:52,39.6,39.3
3,Carlos Alcaraz[ESP],51,40-11,78.4%,67.2%,67.3%,251,6.3%,131,3.3%,9.5%,65.5%,73.4%,55.3%,61.1%,86.0%,6.2,2.0,3,Carlos Alcaraz[ESP],51,40.6%,40.6%,5.2%,3.7%,33.6%,53.0%,29.0%,6.8,2.8,18.0,19.6,3,Carlos Alcaraz[ESP],51,40.0%,185,463,0.72,3.4,9.1,1.37,3.6,66.4%,178,268,0.42,2.0,5.3,0.67,1.8,3,Carlos Alcaraz[ESP],51,1.24,8330,53.3%,23,11-12,47.8%,17.0%,135,95-40,70.4%,1284,740-544,57.6%,1:37,36.5,35.5
4,Taylor Fritz[USA],39,22-17,56.4%,69.8%,67.5%,423,12.7%,87,2.6%,7.3%,64.1%,77.8%,55.6%,60.0%,87.4%,6.0,1.8,4,Taylor Fritz[USA],39,32.8%,34.2%,10.7%,3.4%,24.4%,48.2%,15.2%,6.1,2.0,16.0,19.1,4,Taylor Fritz[USA],39,37.1%,82,221,0.41,2.0,5.7,0.76,2.1,68.6%,153,223,0.40,2.1,5.7,0.65,1.8,4,Taylor Fritz[USA],39,1.09,6639,51.3%,19,8-11,42.1%,17.6%,108,57-51,52.8%,1095,566-529,51.7%,1:50,39.8,38.8
5,Jack Draper[GBR],44,29-15,65.9%,67.2%,66.1%,354,11.1%,127,4.0%,10.2%,60.9%,76.5%,52.7%,58.7%,84.6%,6.1,2.0,5,Jack Draper[GBR],44,38.0%,38.9%,7.5%,3.4%,30.8%,50.0%,23.0%,6.6,2.5,20.0,22.4,5,Jack Draper[GBR],44,38.1%,122,320,0.60,2.9,7.3,1.12,2.8,60.3%,123,204,0.39,1.9,4.6,0.74,1.8,5,Jack Draper[GBR],44,1.16,6704,51.9%,15,9-6,60.0%,13.8%,109,67-42,61.5%,1055,566-489,53.6%,1:47,43.2,42.1
6,Novak Djokovic[SRB],26,18-8,69.2%,66.8%,66.1%,165,7.7%,60,2.8%,8.3%,66.5%,74.0%,52.6%,57.4%,84.9%,6.4,2.1,6,Novak Djokovic[SRB],26,39.0%,39.8%,6.9%,3.1%,31.1%,53.0%,24.1%,6.6,2.6,25.0,21.4,6,Novak Djokovic[SRB],26,35.9%,80,223,0.67,3.2,8.6,1.16,3.1,65.3%,96,147,0.43,2.1,5.7,0.74,2.0,6,Novak Djokovic[SRB],26,1.17,4352,52.7%,15,10-5,66.7%,21.7%,69,46-23,66.7%,670,367-303,54.8%,1:37,36.7,34.9
7,Casper Ruud[NOR],38,22-16,57.9%,64.0%,63.7%,200,6.6%,100,3.3%,9.6%,65.6%,70.8%,51.1%,56.5%,80.3%,6.6,2.4,7,Casper Ruud[NOR],38,35.7%,37.0%,9.8%,3.6%,27.3%,49.9%,19.2%,6.4,2.3,24.5,24.9,7,Casper Ruud[NOR],38,37.9%,89,235,0.51,2.3,6.2,0.87,2.3,64.6%,166,257,0.56,2.5,6.8,0.89,2.4,7,Casper Ruud[NOR],38,0.99,6005,50.0%,12,7-5,58.3%,11.8%,102,56-46,54.9%,926,461-465,49.8%,1:31,34.0,34.7
8,Alex De Minaur[AUS],40,22-18,55.0%,63.1%,63.6%,153,5.1%,114,3.8%,8.2%,54.0%,72.1%,52.4%,57.1%,77.2%,6.2,2.3,8,Alex De Minaur[AUS],40,40.2%,40.7%,6.2%,3.5%,31.6%,53.1%,28.8%,6.3,2.5,22.0,21.8,8,Alex De Minaur[AUS],40,47.8%,141,295,0.60,2.8,7.4,1.34,3.5,57.0%,147,258,0.53,2.5,6.5,1.06,2.8,8,Alex De Minaur[AUS],40,1.09,6099,51.5%,9,5-4,55.6%,8.6%,105,57-48,54.3%,975,516-459,52.9%,1:42,39.0,40.3
9,Lorenzo Musetti[ITA],38,23-15,60.5%,62.4%,62.3%,127,4.0%,69,2.2%,6.4%,65.6%,68.3%,51.2%,54.6%,75.6%,6.3,2.4,9,Lorenzo Musetti[ITA],38,38.2%,38.4%,6.1%,3.6%,29.8%,53.1%,23.5%,6.7,2.6,19.0,22.0,9,Lorenzo Musetti[ITA],38,36.9%,115,312,0.64,2.9,8.2,1.07,3.0,56.3%,156,277,0.56,2.6,7.3,1.13,3.2,9,Lorenzo Musetti[ITA],38,1.02,6436,50.0%,18,10-8,55.6%,16.8%,107,57-50,53.3%,986,490-496,49.7%,1:46,37.6,37.5
10,Holger Rune[DEN],43,24-19,55.8%,64.8%,65.0%,179,5.7%,107,3.4%,8.6%,60.3%,71.8%,54.2%,59.3%,81.3%,6.2,2.2,10,Holger Rune[DEN],43,34.5%,35.8%,9.3%,3.2%,26.4%,47.8%,18.2%,6.2,2.1,34.0,28.6,10,Holger Rune[DEN],43,39.8%,92,231,0.46,2.2,5.4,0.87,2.1,58.4%,132,226,0.45,2.1,5.3,0.89,2.2,10,Holger Rune[DEN],43,0.98,6248,49.7%,16,7-9,43.8%,15.1%,106,55-51,51.9%,1009,501-508,49.7%,1:42,41.6,42.3
