Match;Result;GP Conv;BP Conv;SP Conv;MP Conv;BP Saved;SP Saved;MP Saved;TB SPW;TB RPW
2024 Davis Cup RR;W vs Griekspoor;69% (9/13);60% (3/5);02-may;01-abr;67% (2/3);0/0;0/0;100% (5/5);50% (2/4)
2024 Tour Finals SF;W vs Ruud;80% (8/10);57% (4/7);02-feb;01-ene;100% (2/2);0/0;0/0;#¡DIV/0!;#¡DIV/0!
2024 Tour Finals RR;W vs De Minaur;90% (9/10);43% (3/7);02-feb;01-ene;0% (0/1);0/0;0/0;#¡DIV/0!;#¡DIV/0!
2024 Tour Finals RR;W vs Fritz;59% (10/17);33% (2/6);02-feb;01-ene;100% (1/1);0/0;0/0;#¡DIV/0!;#¡DIV/0!
2024 Tour Finals RR;W vs Medvedev;90% (9/10);60% (3/5);02-feb;01-ene;50% (1/2);0/0;0/0;#¡DIV/0!;#¡DIV/0!
2024 Shanghai F;W vs Djokovic;61% (11/18);50% (1/2);02-mar;01-ene;#¡DIV/0!;0/0;0/0;67% (4/6);60% (3/5)
2024 Shanghai SF;W vs Machac;67% (10/15);43% (3/7);02-feb;01-ene;67% (2/3);0/0;0/0;#¡DIV/0!;#¡DIV/0!
2024 Shanghai QF;W vs Medvedev;75% (9/12);75% (3/4);02-mar;01-feb;100% (1/1);0/0;0/0;#¡DIV/0!;#¡DIV/0!
2024 Shanghai R16;W vs Shelton;100% (11/11);100% (1/1);02-feb;01-ene;100% (7/7);0/0;0/0;100% (4/4);75% (3/4)
2024 Beijing F;L vs Alcaraz;67% (14/21);33% (2/6);01-ene;0/0;80% (12/15);03-may;0/1;50% (6/12);42% (5/12)
2024 Beijing SF;W vs Yunchaokete;61% (11/18);11% (1/9);02-jun;01-mar;100% (3/3);0/0;0/0;80% (4/5);60% (3/5)
2024 Beijing R16;W vs Safiullin;69% (11/16);31% (4/13);02-mar;01-feb;67% (4/6);0/1;0/0;#¡DIV/0!;#¡DIV/0!
2024 Beijing R32;W vs Jarry;92% (12/13);50% (4/8);02-abr;01-feb;80% (4/5);01-feb;0/0;#¡DIV/0!;#¡DIV/0!
2024 US Open F;W vs Fritz;87% (13/15);50% (6/12);03-may;01-ene;71% (5/7);0/0;0/0;#¡DIV/0!;#¡DIV/0!
2024 US Open SF;W vs Draper;68% (15/22);36% (4/11);03-may;01-ene;75% (3/4);0/0;0/0;100% (5/5);40% (2/5)
2024 US Open QF;W vs Medvedev;70% (14/20);33% (5/15);03-sep;01-feb;75% (6/8);0/1;0/0;#¡DIV/0!;#¡DIV/0!
2024 US Open R16;W vs Paul;78% (14/18);29% (4/14);03-abr;01-ene;50% (2/4);0/0;0/0;64% (7/11);64% (7/11)
2024 US Open R32;W vs Oconnell;62% (13/21);50% (5/10);03-mar;01-ene;#¡DIV/0!;0/0;0/0;#¡DIV/0!;#¡DIV/0!
2024 US Open R64;W vs Michelsen;91% (10/11);50% (8/16);03-mar;01-ene;60% (3/5);0/0;0/0;#¡DIV/0!;#¡DIV/0!
2024 US Open R128;W vs Mcdonald;86% (12/14);53% (8/15);03-abr;01-feb;64% (7/11);0/1;0/0;#¡DIV/0!;#¡DIV/0!
2024 (64 matches);;73.6%;43.6%;62.9%;61.7%;72.7%;50.0%;50.0%;74.7%;44.5%
2023 (60 matches);;68.0%;41.9%;59.7%;61.5%;69.4%;49.4%;53.8%;70.1%;42.5%
2022 (33 matches);;64.0%;42.0%;58.1%;53.5%;64.7%;54.2%;58.3%;67.4%;39.3%
2021 (33 matches);;65.6%;44.3%;51.8%;62.2%;65.1%;44.1%;41.2%;61.5%;47.9%
2020 (11 matches);;57.4%;51.1%;48.8%;46.7%;57.8%;50.0%;0.0%;64.1%;39.5%
