Date;Tournament;Surface;Rd;Rk;vRk;;Score;More;DR;A%;DF%;1stIn;1st%;2nd%;BPSvd;Time
;;;;;;;;;;;;;;;;
2‑Mar‑2020;Indian Wells CH;Hard;R16;71;114;(11)Denis Kudla [USA] d. (6)Sinner;6-3 6-7(4) 6-2;;1.04;4.5%;1.1%;55.7%;71.4%;53.8%;02-jul;2:18
2‑Mar‑2020;Indian Wells CH;Hard;R32;71;978;(6)Sinner d. (Q)Sem Verbeek [NED];6-0 6-1;;3.68;5.9%;0.0%;58.8%;90.0%;71.4%;0/0;0:45
6‑Jan‑2020;Bendigo CH;Hard;R32;78;121;Emil Ruusuvuori [FIN] d. (3)Sinner;6-3 6-4;;0.65;13.6%;5.1%;59.3%;71.4%;33.3%;02-may;1:01
11‑Nov‑2019;Ortisei CH;Hard;F;96;173;(2)Sinner d. (10)Sebastian Ofner [AUT];6-2 6-4; (ch);1.79;12.8%;4.3%;63.8%;83.3%;58.8%;01-feb;1:06
11‑Nov‑2019;Ortisei CH;Hard;SF;96;124;(2)Sinner d. (6)Antoine Hoang [FRA];6-3 7-6(4);;1.47;6.3%;3.1%;50.0%;90.6%;65.6%;03-abr;1:17
11‑Nov‑2019;Ortisei CH;Hard;QF;96;153;(2)Sinner d. (8)Federico Gaio [ITA];6-4 6-4;;1.47;16.1%;3.6%;51.8%;75.9%;66.7%;03-abr;1:14
11‑Nov‑2019;Ortisei CH;Hard;R16;96;183;(2)Sinner d. (13)Roberto Marcora [ITA];6-3 6-4;;1.62;11.5%;7.7%;55.8%;86.2%;65.2%;0/0;1:02
11‑Nov‑2019;Ortisei CH;Hard;R32;96;275;(2)Sinner d. Lucas Miedler [AUT];7-6(5) 7-5;;1.49;19.5%;3.9%;67.5%;86.5%;52.0%;06-jun;1:30
7‑Oct‑2019;Mouilleron-Le-Captif CH;Hard;SF;127;247;Mathias Bourgue [FRA] d. (14)Sinner;6-4 4-6 7-6(6);;1.24;8.0%;0.0%;66.7%;69.0%;69.0%;03-jul;2:16
7‑Oct‑2019;Mouilleron-Le-Captif CH;Hard;QF;127;90;(14)Sinner d. (6)Marius Copil [ROU];3-6 6-1 6-4;;1.06;6.2%;3.1%;58.8%;68.4%;47.5%;05-ago;1:51
