Match;Result;BLR;DR+;EI;CBF;Deuce A%;Deuce SPW%;Ad A%;Ad SPW%;Deuce RPW%;Ad RPW%
2024 Davis Cup RR;W vs Griekspoor;1.22;1.70;45.4;2.4;33.3%;69.7%;18.5%;77.8%;41.9%;32.1%
2024 Tour Finals SF;W vs Ruud;1.04;2.15;40.4;2.0;16.0%;76.0%;23.8%;71.4%;52.4%;55.6%
2024 Tour Finals RR;W vs De Minaur;0.96;2.05;43.8;2.8;20.0%;80.0%;12.5%;79.2%;34.5%;53.8%
2024 Tour Finals RR;W vs Fritz;1.18;1.45;54.7;2.3;8.6%;68.6%;9.7%;71.0%;42.4%;32.3%
2024 Tour Finals RR;W vs Medvedev;1.12;1.92;47.6;2.0;15.4%;84.6%;0.0%;69.6%;39.3%;37.5%
2024 Shanghai F;W vs Djokovic;1.52;1.57;42.1;2.8;11.1%;72.2%;12.9%;71.0%;26.7%;32.1%
2024 Shanghai SF;W vs Machac;1.06;1.41;56.5;2.8;14.3%;68.6%;17.6%;70.6%;44.4%;36.4%
2024 Shanghai QF;W vs Medvedev;1.05;2.03;39.2;2.0;22.2%;85.2%;13.0%;65.2%;32.3%;63.0%
2024 Shanghai R16;W vs Shelton;1.23;1.62;53.1;2.4;8.8%;73.5%;12.5%;87.5%;25.8%;25.9%
2024 Beijing F;L vs Alcaraz;1.03;0.89;85.9;7.2;3.0%;56.1%;6.3%;65.1%;38.1%;30.0%
2024 Beijing SF;W vs Yunchaokete;1.04;1.43;54.7;2.4;10.3%;74.4%;18.4%;68.4%;38.1%;40.5%
2024 Beijing R16;W vs Safiullin;1.02;1.30;59.0;4.1;10.0%;77.5%;2.7%;54.1%;42.9%;43.2%
2024 Beijing R32;W vs Jarry;0.93;1.73;41.7;4.0;5.7%;74.3%;0.0%;80.6%;39.0%;45.9%
2024 US Open F;W vs Fritz;1.15;1.53;32.6;2.3;13.0%;69.6%;0.0%;66.7%;41.7%;42.9%
2024 US Open SF;W vs Draper;0.89;1.60;38.4;2.2;4.0%;74.0%;19.6%;78.3%;47.0%;38.5%
2024 US Open QF;W vs Medvedev;1.02;1.46;34.0;2.1;5.9%;68.6%;2.2%;69.6%;51.8%;35.8%
2024 US Open R16;W vs Paul;1.00;1.40;39.3;3.1;7.8%;68.6%;12.8%;68.1%;38.6%;50.0%
2024 US Open R32;W vs Oconnell;1.21;2.55;21.6;2.0;20.5%;89.7%;23.3%;60.0%;43.9%;53.8%
2024 US Open R64;W vs Michelsen;0.93;1.65;31.9;2.2;2.9%;61.8%;6.5%;77.4%;52.6%;57.1%
2024 US Open R128;W vs Mcdonald;1.10;1.52;30.7;4.7;16.0%;66.0%;6.8%;61.4%;41.2%;59.6%
2024 (64 matches);;1.06;1.50;44.1;2.6;9.7%;71.0%;9.5%;71.0%;40.5%;41.5%
2023 (60 matches);;1.07;1.33;48.3;2.7;8.7%;68.8%;7.7%;67.0%;38.3%;41.8%
2022 (33 matches);;1.02;1.15;48.7;3.0;8.1%;63.9%;6.0%;66.7%;38.8%;40.0%
2021 (33 matches);;1.05;1.17;48.8;2.8;6.2%;63.9%;4.9%;64.2%;41.0%;39.3%
2020 (11 matches);;1.07;1.13;42.7;2.5;3.1%;61.9%;2.4%;62.4%;39.6%;40.8%
Career (247 matches);;1.06;1.28;47.6;2.7;7.6%;66.5%;6.4%;66.2%;40.4%;41.1%
