Date;Tournament;Surface;Rd;Rk;vRk;;Score;DR;A%;DF%;1stIn;1st%;2nd%;BPSvd;Time
24-nov-24;Davis Cup Finals F: ITA vs NED;Hard;RR;1;40;Sinner d. Tallon Griekspoor [NED];7-6(2) 6-2;1.40;25.0%;1.7%;73.3%;79.5%;56.3%;02-mar;1:31
23-nov-24;Davis Cup Finals SF: ITA vs AUS;Hard;RR;1;9;Sinner d. Alex De Minaur [AUS];6-3 6-4;1.40;7.0%;0.0%;64.9%;81.1%;45.0%;0/1;1:28
21-nov-24;Davis Cup Finals QF: ITA vs ARG;Hard;RR;1;27;Sinner d. Sebastian Baez [ARG];6-2 6-1;1.74;12.1%;3.4%;53.4%;71.0%;63.0%;04-abr;1:12
11-nov-24;Tour Finals;Hard;F;1;5;(1)Sinner d. (5)Taylor Fritz [USA];6-4 6-4;1.41;25.0%;0.0%;71.4%;82.5%;62.5%;01-ene;1:24
11-nov-24;Tour Finals;Hard;SF;1;7;(1)Sinner d. (6)Casper Ruud [NOR];6-1 6-2;2.06;19.6%;0.0%;58.7%;81.5%;63.2%;02-feb;1:09
11-nov-24;Tour Finals;Hard;RR;1;4;(1)Sinner d. (4)Daniil Medvedev [RUS];6-3 6-4;1.71;8.2%;0.0%;57.1%;82.1%;71.4%;01-feb;1:13
11-nov-24;Tour Finals;Hard;RR;1;5;(1)Sinner d. (5)Taylor Fritz [USA];6-4 6-4;1.24;9.1%;0.0%;59.1%;76.9%;59.3%;01-ene;1:40
11-nov-24;Tour Finals;Hard;RR;1;9;(1)Sinner d. (7)Alex De Minaur [AUS];6-3 6-4;2.14;16.3%;2.0%;65.3%;81.3%;76.5%;0/1;1:25
02-oct-24;Shanghai Masters;Hard;F;1;4;(1)Sinner d. (4)Novak Djokovic [SRB];7-6(4) 6-3;1.03;11.9%;0.0%;61.2%;75.6%;65.4%;0/0;1:37
02-oct-24;Shanghai Masters;Hard;SF;1;33;(1)Sinner d. (30)Tomas Machac [CZE];6-4 7-5;1.33;14.5%;1.4%;66.7%;73.9%;60.9%;02-mar;1:43
02-oct-24;Shanghai Masters;Hard;QF;1;5;(1)Sinner d. (5)Daniil Medvedev [RUS];6-1 6-4;1.94;18.0%;0.0%;66.0%;84.8%;58.8%;01-ene;1:24
02-oct-24;Shanghai Masters;Hard;R16;1;16;(1)Sinner d. (14)Ben Shelton [USA];6-4 7-6(1);1.31;10.6%;0.0%;69.7%;87.0%;65.0%;07-jul;1:28
02-oct-24;Shanghai Masters;Hard;R32;1;37;(1)Sinner d. (31)Tomas Martin Etcheverry [ARG];6-7(3) 6-4 6-2;1.30;13.0%;1.1%;69.6%;78.1%;53.6%;04-may;2:39
02-oct-24;Shanghai Masters;Hard;R64;1;93;(1)Sinner d. Taro Daniel [JPN];6-1 6-4;1.91;24.5%;2.0%;77.6%;84.2%;45.5%;0/0;1:17
26-sep-24;Beijing;Hard;F;1;3;(2)Carlos Alcaraz [ESP] d. (1)Sinner;6-7(6) 6-4 7-6(3);0.86;4.7%;3.1%;55.0%;66.2%;53.4%;dic-15;3:21
26-sep-24;Beijing;Hard;SF;1;96;(1)Sinner d. (WC)Bu Yunchaokete [CHN];6-3 7-6(3);1.37;14.3%;0.0%;67.5%;73.1%;68.0%;03-mar;2:05
26-sep-24;Beijing;Hard;QF;1;37;(1)Sinner d. Jiri Lehecka [CZE];6-2 7-6(6);1.47;10.4%;4.5%;59.7%;87.5%;55.6%;02-feb;1:44
26-sep-24;Beijing;Hard;R16;1;69;(1)Sinner d. (LL)Roman Safiullin [RUS];3-6 6-2 6-3;1.27;5.2%;3.9%;58.4%;80.0%;46.9%;04-jun;2:21
26-sep-24;Beijing;Hard;R32;1;28;(1)Sinner d. Nicolas Jarry [CHI];4-6 6-3 6-1;1.86;1.5%;1.5%;68.2%;82.2%;66.7%;04-may;1:55
26-Aug-2024;US Open;Hard;F;1;12;(1)Sinner d. (12)Taylor Fritz [USA];6-3 6-4 7-5;1.33;7.1%;5.9%;50.6%;88.4%;47.6%;05-jul;2:16
26-Aug-2024;US Open;Hard;SF;1;25;(1)Sinner d. (25)Jack Draper [GBR];7-5 7-6(3) 6-2;1.78;11.5%;2.1%;64.6%;77.4%;73.5%;03-abr;3:03
26-Aug-2024;US Open;Hard;QF;1;5;(1)Sinner d. (5)Daniil Medvedev [RUS];6-2 1-6 6-1 6-4;1.42;4.1%;1.0%;52.6%;76.5%;60.9%;06-ago;2:39
26-Aug-2024;US Open;Hard;R16;1;14;(1)Sinner d. (14)Tommy Paul [USA];7-6(3) 7-6(5) 6-1;1.40;10.2%;1.0%;49.0%;81.3%;56.0%;02-abr;2:42
26-Aug-2024;US Open;Hard;R32;1;87;(1)Sinner d. Christopher Oconnell [AUS];6-1 6-4 6-2;2.10;21.7%;2.9%;65.2%;82.2%;66.7%;0/0;1:53
26-Aug-2024;US Open;Hard;R64;1;49;(1)Sinner d. Alex Michelsen [USA];6-4 6-0 6-2;1.78;4.6%;3.1%;56.9%;81.1%;53.6%;03-may;1:39
26-Aug-2024;US Open;Hard;R128;1;140;(1)Sinner d. Mackenzie Mcdonald [USA];2-6 6-2 6-1 6-2;1.38;11.7%;5.3%;55.3%;75.0%;50.0%;07-nov;2:24
