Match;Result;Avg Speed;1st Avg;1st StDev;1st T Avg;1st Wide Avg;Max 1st;Min 1st;2nd Avg;2nd StDev;2nd T Avg;2nd Wide Avg;Max 2nd;Min 2nd
2024 US Open F;W vs Fritz;108.9;120.1;4.6;120.9;120.0;130;107;96.0;5.9;97.3;96.5;104;80
2024 US Open SF;W vs Draper;106.9;116.9;5.8;117.8;115.7;127;102;88.2;6.8;83.7;89.5;100;74
2024 US Open QF;W vs Medvedev;105.0;117.2;5.6;120.1;113.4;126;103;91.2;7.4;94.7;101.3;107;70
2024 US Open R16;W vs Paul;104.6;119.7;5.8;121.8;117.5;128;92;90.2;7.3;95.0;100.0;100;69
2024 US Open R32;W vs Oconnell;107.5;116.4;11.3;121.3;110.0;128;78;89.1;6.1;87.7;;96;74
2024 US Open R64;W vs Michelsen;107.2;118.8;6.2;120.4;117.8;130;96;90.6;8.4;95.0;83.0;101;64
2024 US Open R128;W vs Mcdonald;106.4;118.3;8.8;122.1;115.1;131;86;89.6;7.3;91.8;83.5;103;74
2024 Wimbledon QF;L vs Medvedev;112.7;120.3;4.4;122.0;118.9;128;108;97.8;9.8;104.2;103.3;115;80
2024 Wimbledon R16;W vs Shelton;112.6;119.0;4.6;121.5;115.4;129;108;97.6;5.7;99.6;91.8;106;83
2024 Wimbledon R32;W vs Kecmanovic;113.7;121.6;4.0;124.0;119.6;130;113;99.7;8.4;102.8;101.7;120;86
2024 Wimbledon R64;W vs Berrettini;111.7;119.2;4.3;121.7;116.2;127;102;97.2;7.2;104.9;98.0;116;85
2024 Wimbledon R128;W vs Hanfmann;112.6;119.7;5.6;122.0;116.3;130;93;102.1;6.7;104.6;97.7;113;85
2023 US Open R16;L vs Zverev;107.6;120.2;7.5;123.6;114.8;132;91;91.2;5.7;94.4;91.5;102;77
2023 US Open R32;W vs Wawrinka;103.1;114.0;8.6;119.1;110.2;130;87;86.2;6.6;90.5;97.0;104;71
2023 US Open R64;W vs Sonego;105.3;116.3;8.2;121.5;108.7;131;96;92.1;5.4;96.7;92.0;105;82
2023 US Open R128;W vs Hanfmann;107.9;117.4;8.4;121.8;114.3;131;83;94.9;9.1;100.9;94.0;111;75
2023 Wimbledon SF;L vs Djokovic;114.1;122.0;4.6;124.7;119.8;132;111;101.2;4.8;103.2;106.0;111;91
2023 Wimbledon QF;W vs Safiullin;113.5;122.5;6.5;127.1;118.1;132;108;102.1;5.4;107.8;112.0;117;89
2023 Wimbledon R16;W vs Galan;111.0;120.0;6.6;125.0;115.3;130;93;100.0;4.5;102.0;105.0;109;90
2023 Wimbledon R32;W vs Halys;111.1;119.9;5.4;124.0;115.6;129;104;100.6;6.1;105.0;;112;87
