Surface,Local,Visitante,W_OR_L,1_M,1_M W%,1_SPW,1_Ace%,1_DF%,1_DF/2s,1_1stIn,1_1st%,1_2nd%,1_2%-InP,1_Hld%,1_RPW,1_vAce%,1_vDF%,1_v1st%,1_v2nd%,1_Brk%,1_BPConv%,1_BPChnc,1_BP/M,1_Bks/S,1_Bks/M,1_BPSvd%,1_BPvs/S,1_TPW%,1_TB W%,1_S W%,1_G W%,2_M,2_M W%,2_SPW,2_Ace%,2_DF%,2_DF/2s,2_1stIn,2_1st%,2_2nd%,2_2%-InP,2_Hld%,2_RPW,2_vAce%,2_vDF%,2_v1st%,2_v2nd%,2_Brk%,2_BPConv%,2_BPChnc,2_BP/M,2_Bks/S,2_Bks/M,2_BPSvd%,2_BPvs/S,2_TPW%,2_TB W%,2_S W%,2_G W%
Hard,Jaume Munar,Kei Nishikori,0,37,35.1,60.1,4.4,4.7,13.3,64.8,67.1,47.1,54.3,72.0,40.8,5.1,2.8,34.8,50.7,26.8,37.6,319,8.6,1.26,3.2,59.4,3.3,50.2,16.7,43.2,49.4,17,47.1,60.6,2.2,1.9,5.9,68.4,63.4,54.7,58.2,78.0,36.1,10.3,3.4,27.9,50.9,17.9,33.3,114,6.7,0.86,2.2,60.0,2.6,48.5,40.0,45.5,47.7
Hard,Christopher Oconnell,Roberto Carballes Baena,1,39,43.6,63.8,9.8,2.6,6.4,59.1,73.7,49.4,52.8,81.2,33.7,11.3,3.6,25.4,48.0,15.8,34.8,207,5.3,0.77,1.8,64.0,2.5,49.0,50.0,45.7,48.3,51,49.0,62.2,3.7,2.7,7.8,64.9,67.6,52.2,56.6,75.7,37.7,6.4,3.4,29.9,50.7,21.2,35.7,359,7.0,1.0,2.5,59.7,2.9,49.9,57.9,46.1,48.5
Hard,Miomir Kecmanovic,Tallon Griekspoor,0,55,45.5,63.9,5.6,2.6,6.8,61.8,70.8,52.7,56.5,78.7,35.9,9.1,3.5,27.0,51.0,19.9,37.3,370,6.7,0.95,2.5,55.2,2.3,49.7,31.0,45.9,49.3,63,52.4,67.2,11.1,4.1,11.3,64.1,75.3,52.8,59.5,84.7,32.0,9.9,3.1,25.3,44.5,14.3,37.1,318,5.0,0.7,1.9,62.8,2.0,49.8,53.2,51.8,49.6
Hard,Bu Yunchaokete,Nishesh Basavareddy,1,15,60.0,66.3,9.4,2.3,5.4,57.8,74.5,55.2,58.3,82.6,35.5,10.9,2.9,29.4,46.1,20.8,40.2,92,6.1,1.06,2.5,61.3,2.3,50.8,50.0,57.1,51.7,3,33.3,63.3,8.8,4.0,10.8,63.3,73.4,45.8,51.4,80.0,35.2,11.3,4.3,22.8,53.2,25.0,47.4,19,6.3,0.75,3.0,74.1,2.3,49.1,20.0,41.7,52.1
Hard,Fabian Marozsan,Pedro Martinez,1,51,45.1,62.0,5.9,3.1,8.7,64.8,69.0,49.1,53.8,75.0,36.4,9.8,4.0,27.3,51.3,20.9,39.9,318,6.2,0.98,2.5,56.3,2.7,49.4,58.3,45.7,48.0,41,43.9,59.7,2.9,5.0,16.1,68.7,65.7,46.7,55.6,72.3,38.0,9.7,3.4,29.0,52.4,22.4,38.6,293,7.1,1.08,2.8,56.9,3.1,48.9,53.3,42.9,47.4
Hard,Damir Dzumhur,Roberto Bautista Agut,1,6,33.3,58.8,0.7,3.3,9.1,63.9,65.1,47.5,52.2,70.5,38.5,6.0,3.8,32.3,47.7,26.2,44.0,25,4.2,0.79,1.8,43.5,1.6,48.8,0.0,35.7,48.8,46,54.3,62.8,3.5,2.5,7.8,68.1,67.6,52.5,56.9,78.8,37.0,13.1,3.9,26.7,53.3,21.0,40.8,287,6.2,1.0,2.5,62.4,2.7,50.1,70.6,53.0,50.1
Hard,Reilly Opelka,Roman Safiullin,0,15,46.7,69.3,22.5,4.2,11.4,62.7,80.0,51.3,57.9,86.8,28.2,7.4,3.7,21.0,41.6,9.6,29.2,65,4.3,0.48,1.3,67.9,2.1,49.2,36.4,42.5,49.0,43,41.9,64.3,8.5,3.6,9.3,61.1,73.3,50.1,55.3,79.2,36.5,7.4,3.2,29.6,48.7,20.2,36.7,313,7.3,0.99,2.7,62.3,2.7,50.2,38.9,46.6,49.7
Hard,Corentin Moutet,Jordan Thompson,1,30,43.3,60.0,2.1,2.0,6.0,67.2,65.7,48.3,51.4,71.5,38.9,3.8,3.0,34.7,47.6,26.1,40.6,249,8.3,1.23,3.4,58.4,3.2,49.3,43.8,45.1,48.6,59,59.3,64.9,9.0,1.6,4.0,60.1,72.7,53.1,55.3,80.8,36.3,6.6,4.0,29.3,48.2,19.6,36.4,387,6.6,0.95,2.4,65.9,2.7,50.5,75.0,55.7,50.1
Hard,Luca Nardi,Cameron Norrie,0,16,25.0,57.3,3.4,5.5,14.6,62.2,66.2,42.6,49.9,68.1,34.6,5.8,3.8,24.5,51.4,17.3,37.9,87,5.4,0.83,2.1,55.8,3.5,46.2,20.0,27.5,42.7,39,53.8,65.1,6.3,2.7,7.6,64.3,72.6,51.6,55.8,82.1,36.1,10.2,3.0,28.9,49.6,22.0,39.8,284,7.3,1.09,2.9,64.5,2.5,50.7,29.6,51.0,52.2
Hard,Rinky Hijikata,Alexander Shevchenko,1,37,40.5,59.6,5.2,3.8,9.1,58.8,68.3,47.1,51.8,71.7,36.2,9.4,3.4,28.4,48.8,19.1,36.4,242,6.5,0.93,2.4,60.4,3.4,47.9,66.7,40.0,45.0,49,42.9,60.6,6.8,3.2,8.1,60.0,68.4,48.8,53.1,73.6,36.4,6.7,2.8,28.3,50.3,19.7,40.7,295,6.0,0.93,2.4,56.8,2.9,48.7,68.2,43.4,46.5
Hard,Joao Fonseca,Jacob Fearnley,1,19,63.2,66.2,6.7,2.2,6.5,65.8,71.3,56.5,60.5,82.6,37.3,7.0,3.4,30.4,52.2,24.4,35.5,152,8.0,1.0,2.8,58.7,1.7,51.6,53.3,59.3,53.3,5,40.0,65.7,6.2,5.3,13.3,60.0,74.2,53.0,61.1,84.3,32.3,8.2,2.2,24.6,48.3,14.3,32.3,31,6.2,0.77,2.0,60.7,2.2,49.0,50.0,46.2,49.3
Hard,Tomas Martin Etcheverry,Jakub Mensik,0,60,51.7,64.4,7.9,2.1,6.1,65.6,72.0,49.8,53.1,81.9,36.7,7.6,3.5,28.1,50.9,21.8,37.5,443,7.4,1.06,2.8,64.7,2.5,50.6,43.8,53.2,51.7,45,55.6,63.4,12.0,4.4,11.1,59.9,74.1,47.3,53.2,80.5,35.5,8.5,3.8,27.2,50.3,19.5,39.6,285,6.3,0.89,2.5,64.8,2.6,49.9,54.3,53.5,50.1
Hard,Mackenzie Mcdonald,Alejandro Davidovich Fokina,1,18,27.8,59.7,4.8,3.8,11.0,65.2,65.7,48.5,54.5,70.3,38.2,8.6,4.7,29.4,51.5,24.4,43.4,136,7.6,1.16,3.3,48.1,2.6,48.7,16.7,37.3,47.1,40,45.0,62.8,6.2,3.0,9.3,67.6,68.2,51.7,56.9,78.9,37.2,9.3,3.5,28.7,50.4,22.5,40.4,280,7.0,1.1,2.8,62.3,2.8,50.1,29.2,47.6,50.7
Hard,Gabriel Diallo,Zhizhen Zhang,1,16,50.0,61.3,10.0,3.1,9.7,68.0,68.5,46.0,51.0,80.3,39.2,4.6,3.1,35.8,45.3,22.1,36.2,138,8.6,1.14,3.1,61.9,2.7,50.3,30.0,50.0,51.3,54,46.3,65.3,10.0,2.7,7.4,63.5,73.0,52.0,56.2,82.4,33.8,11.7,3.5,25.5,47.5,16.9,38.0,292,5.4,0.82,2.1,56.9,2.0,49.5,39.3,46.7,49.5
Hard,Aleksandar Kovacevic,Matteo Arnaldi,0,32,31.3,64.9,12.0,4.2,10.2,59.1,75.9,49.0,54.5,82.6,31.8,11.9,3.4,24.6,43.1,12.6,32.3,167,5.2,0.64,1.7,66.8,2.6,48.5,30.0,35.3,47.4,53,52.8,61.6,8.4,3.8,8.9,56.7,71.0,49.4,54.2,76.8,37.4,4.7,2.7,31.2,48.0,23.2,40.0,395,7.5,1.13,3.0,60.6,2.9,49.7,55.2,52.9,50.2
Hard,Gael Monfils,Jan Lennard Struff,1,46,54.3,64.8,10.8,4.9,12.4,60.3,73.8,51.2,58.5,81.6,35.3,4.5,2.9,30.2,43.7,19.8,38.3,308,6.7,0.96,2.6,61.5,2.3,50.2,60.9,52.8,50.8,51,58.8,66.4,11.1,4.8,11.6,58.2,77.3,51.4,58.1,84.5,36.6,10.1,4.2,27.9,50.1,18.3,33.0,388,7.6,0.93,2.5,66.6,2.3,51.2,62.8,58.0,51.4
Hard,Hugo Gaston,Luciano Darderi,1,29,44.8,59.2,3.5,2.6,6.1,57.2,65.5,50.8,54.1,70.1,36.8,7.7,3.3,31.0,47.2,21.5,37.6,218,7.5,1.04,2.8,56.2,3.3,48.2,69.2,41.8,45.7,50,48.0,62.4,7.1,3.1,7.4,58.5,70.4,51.1,55.2,77.8,36.6,9.1,3.8,28.4,50.5,21.3,39.1,322,6.4,1.02,2.5,62.0,2.8,49.7,59.3,46.3,49.7
Hard,Arthur Rinderknech,Nuno Borges,0,43,48.8,66.5,13.2,3.1,8.4,63.1,76.6,49.3,53.8,83.4,33.1,8.4,3.0,25.7,44.4,15.5,32.2,276,6.4,0.78,2.1,64.1,2.3,49.6,56.0,49.1,49.3,49,49.0,62.6,7.1,3.6,9.6,62.6,70.4,49.5,54.7,75.6,37.7,6.4,3.9,28.5,52.7,20.8,38.0,332,6.8,1.01,2.6,58.2,2.8,49.9,53.3,47.2,48.1
Hard,David Goffin,Lorenzo Sonego,1,33,51.5,60.3,6.2,3.9,9.7,59.4,69.1,47.4,52.5,73.1,38.9,8.2,3.1,30.8,51.1,26.0,39.2,278,8.4,1.24,3.3,58.6,3.0,49.7,36.4,47.7,49.3,49,40.8,66.4,8.4,2.5,7.7,67.4,73.6,51.6,55.9,83.9,32.4,4.9,2.7,26.3,43.3,13.6,32.4,259,5.3,0.68,1.7,63.0,2.2,49.2,50.0,43.9,48.6
Hard,Quentin Halys,Pablo Carreno Busta,1,20,55.0,67.7,16.0,4.7,11.1,57.7,80.8,49.8,56.0,87.0,32.2,7.9,3.7,24.6,44.2,13.3,37.2,94,4.7,0.65,1.8,72.2,2.3,50.5,57.1,51.9,50.6,16,50.0,61.2,4.8,3.6,9.9,63.3,67.9,49.7,55.1,73.4,37.8,9.3,2.4,29.9,49.0,27.2,47.6,105,6.6,1.25,3.1,55.0,2.7,49.9,25.0,47.5,50.3
