Surface,Local,Visitante,W_OR_L,1_M,1_M W%,1_SPW,1_SPW-InP,1_Ace%,1_DF%,1_DF/2s,1_1stIn,1_1st%,1_2nd%,1_2%-InP,1_Hld%,1_RPW,1_vAce%,1_vDF%,1_v1st%,1_v2nd%,1_Brk%,1_BPConv%,1_BPChnc,1_BP/G,1_BP/S,1_BP/M,1_Bks/S,1_Bks/M,1_BPSvd%,1_BPvs/G,1_BPvs/S,1_BPvs/M,1_Bkn/S,1_Bkn/M,1_TPW%,1_TB W%,1_TB/S,1_S W%,1_G W%,2_M,2_M W%,2_SPW,2_SPW-InP,2_Ace%,2_DF%,2_DF/2s,2_1stIn,2_1st%,2_2nd%,2_2%-InP,2_Hld%,2_RPW,2_vAce%,2_vDF%,2_v1st%,2_v2nd%,2_Brk%,2_BPConv%,2_BPChnc,2_BP/G,2_BP/S,2_BP/M,2_Bks/S,2_Bks/M,2_BPSvd%,2_BPvs/G,2_BPvs/S,2_BPvs/M,2_Bkn/S,2_Bkn/M,2_TPW%,2_TB W%,2_TB/S,2_S W%,2_G W%
Hard,Jaume Munar,Kei Nishikori,0,-1.1049602180866882,-1.9364820403017189,-1.3205185269533195,-0.959304894335104,-1.100685891709233,0.5222724973010394,0.6565283855621551,0.4244097350342515,-1.0510926449172702,-1.629543749444127,-1.379213125654959,-1.1849252407493385,0.8753814045343207,-0.8072478247395004,-0.2046752053963706,0.7472718432590458,0.7192925376292811,0.5484962575793861,0.274156539652404,-0.8105111501928469,0.7545497901135194,0.7748559412680218,1.258233994244071,0.8850024520506854,1.3622641953076866,-0.5494296674519965,1.0309987529217202,1.3893655787241803,1.8699014471888349,1.2840448356048315,1.6398181126344604,-0.3022756277180354,-2.322805075942597,-1.434686461865922,-1.166273476934294,-0.3088607348045901,-0.954179981573136,0.2206459671698752,-0.1164141332972046,0.203743201840939,-1.5736596701094872,-1.2119317080227854,-1.0868558313310788,0.9945123641847368,-0.9753956236902046,1.0225788864524812,0.3867346307072728,-0.0143801606887065,0.0750326918172276,-0.0356862605448865,0.0679191264544008,-0.4620151877072759,0.5607965984950709,-0.00729831253688,-0.5032981180626469,-0.8712841397427776,0.5707848965803372,0.5675296218476602,-0.0481249276021778,0.016234551673711,-0.3193337515185098,-0.2840234144296436,-0.2033943118008835,-0.3087479063831519,-0.6815261017319175,-0.0562355402454674,-0.3383540216158839,-0.1435207887573698,-2.322805075942597,-1.819289656354756,0.0260814665449303,-0.0382659317457031
Hard,Christopher Oconnell,Roberto Carballes Baena,1,0.6290125018191621,-0.0096092695827102,0.1129390845420591,-0.3611658734445676,0.4233407275804745,-0.6980934249638744,-0.8658634658094012,-1.1148673636720583,0.6142418220782305,-0.1393034111784122,-0.6679286126757267,0.3968924350082746,-0.4001743563585458,0.938917820543047,0.0679191264544008,-0.533149718940589,0.0626665040732672,-0.4241442401240799,-0.2672850969705784,0.2327585037476302,-0.4399220178521638,-0.26177565583379,-0.5091927823714425,-0.4181493985147769,-0.6556533408837495,0.5564297201411389,-0.1262447452557207,0.068610645862922,-0.1854151894417717,-0.3311648481121956,-0.4702321638992403,-0.1038320790172033,-0.0840157356312622,-0.3577975172971874,0.0754202917923465,-0.057594131964195,-0.2756689172621511,-0.2822799446844566,-0.3744365033663696,-0.0953263086043291,-0.9167516445535784,-0.1842551419049634,-0.1783316619641819,0.0538430260864361,-0.5464458367368146,-0.0382701679061604,-0.1528605170700757,-0.4889254634159904,0.3501525618137301,-0.766639321360836,-0.3864047599635517,0.1307725725703334,0.5155120444567252,-0.0628777695485067,-0.5865968313892596,-0.1723947599185745,0.5707848965803372,0.5675296218476602,0.4129429271670861,0.016234551673711,-0.1511739568358908,-0.3577473736025194,0.3366526540152551,0.4459691981089961,0.381568710318396,0.5279892389713297,0.4529148320842539,-0.0244546595368705,0.0741856524421295,-0.8193213506837882,-0.3439597228106908,-0.3088607348045901
Hard,Miomir Kecmanovic,Tallon Griekspoor,0,0.6290125018191621,-0.3671108213827778,-0.2884290466766468,-0.0620963629992993,-0.9167516445535784,-0.4411742834344191,-0.5220975638867914,-0.4592493401490005,-0.7230722195999768,0.6689625349996025,0.3622075785355751,-0.3465618725978035,0.0500217945448184,0.2485732631057603,-0.1138104281127801,-0.3197461252406497,0.538154321475898,-0.0767726338014134,-0.1701032647561969,0.6379117674138349,0.1113726627473827,0.152876983006935,0.4129429271670861,0.016234551673711,0.1851456325293488,-1.389882802022779,-0.4348430114363719,-0.4974271825061881,-0.2562881769117924,0.3905245850379655,0.5847929743676097,-0.262586917977869,-0.7264092508383693,-0.1398557070868484,-0.3768522729756349,-0.2508761341491143,1.0813532113598188,0.1418744388071491,1.001682803669194,0.9015720595465612,0.9488671480252014,0.0726639996244923,0.3618718981999184,0.9660072327272092,0.942262247395524,0.1637963186383432,0.4112616828789677,0.8398013842204045,-1.2005230690756403,0.9795263239217108,-0.3864047599635517,-0.9125338855182584,-1.137374177942896,-0.9104644889758132,-0.0173889569907403,0.1415990194227341,-1.542511379051256,-1.2984072529356014,-1.3544838494484266,-1.0697253237975075,-1.1601327249316085,0.0108724222618595,-1.1291891103428362,-1.0634650108752992,-1.0358910390820222,-0.7435588099122876,-0.7339884484659529,-0.2228982082377026,0.0741856524421295,1.385736964385525,0.1494285296634708,-0.1542351330566546
Hard,Bu Yunchaokete,Nishesh Basavareddy,1,-0.8033997450595838,0.5963255639767263,0.5143072157607621,0.3034330386560284,0.1343011963358749,-0.8265529957286023,-1.0131917094905194,-1.3144032838747284,0.4123830988060483,1.1236121297247357,0.533896943737456,0.3019833744628161,-0.0750326918172276,0.7358753036497273,-0.6589990918143233,0.4627337183257933,-0.7298131915977828,0.1038606014863733,0.274156539652404,-0.7598669922345713,0.0194902159807916,0.3602033024272976,-0.1249695700637223,0.5809336869187448,0.1851456325293488,-0.2987682062642188,-0.5891421445266971,-0.3087479063831519,-0.7523990892019389,-0.0906017037288084,-0.3383540216158839,0.2533663086442942,0.0741856524421295,0.9883136634137308,0.6099242319726889,0.2516570715316757,-1.708081164140897,-1.0215204416269696,-0.345767351136462,-0.3943958190495974,-0.0233567297975429,0.2653533557715836,0.3127624836395459,0.2533789462891059,0.1348273543068005,-1.2506690871731825,-1.15846965610968,-0.1092892212341615,-0.1500653836344538,0.898309317164383,0.6131077901559427,-1.1022259688070934,0.8777884767634914,0.6874449001084528,1.2737410995717546,-1.4992716984253949,0.1113726627473827,-1.713059891776326,0.0287197148593658,-0.7656565586655667,1.025944605942447,1.5885651485614,1.87964398491851,-0.3087479063831519,1.8699014471888349,-1.1559527717123796,-0.0745977370491717,-0.4213417569385346,-1.364008784588706,2.6677476126816377,-0.6564389493776597,0.3289698724056434
Hard,Fabian Marozsan,Pedro Martinez,1,0.553622383562386,0.0812809554512053,-0.689797177895353,-0.5273156014697166,-0.8116463604646335,-0.1200253565225994,0.0917701181178682,0.9660072327272092,-0.8996986024631363,-0.5939530059035456,-0.5943474561606337,-0.757834468294783,0.375163459086138,0.2079647597270969,0.4313782355887616,0.1544840829814378,0.5834388755142438,0.4373373435561327,0.3852214907545535,0.556881114680594,0.4789024498137461,0.5675296218476602,0.3360982847055423,0.7546872669941399,0.6896250165772074,-0.7706015449706239,0.3366526540152551,0.6346484742320323,0.381568710318396,0.8372847103213982,0.7166711166509662,-0.0641433692770369,-0.0840157356312622,-0.3577975172971874,-0.0232573587024858,-0.1155787326196708,-0.8033997450595838,-1.4214374317761975,-1.635879201482303,-1.125454622360253,-1.021856928642524,1.2930299218894052,1.5650525549290517,0.6524507866944456,-1.908992218824045,-0.97282766817449,-0.1038064127266804,-1.817652311052382,0.0250108972724092,1.3450028543296857,-0.0229456508291896,-0.6991302918183198,0.9909998618593558,-0.0906674980543205,0.3435721340912479,-0.8712841397427776,-0.3480395710855727,-0.26177565583379,-0.66288206729453,-0.0272038433451377,-0.3193337515185098,-1.8912057243983345,0.722400486741069,0.8233277503550693,0.4524416977884167,1.799537287854946,1.507939970351104,-1.0563611127811972,-0.7264092508383693,-0.5372790080586436,-1.5692072164548592,-1.1979579448552176
Hard,Damir Dzumhur,Roberto Bautista Agut,1,-1.4819108093705688,-1.0215204416269696,-1.635879201482303,-1.0257647855451637,-2.1517387325986865,-0.1842551419049634,-0.104667540123623,0.4244097350342515,-1.959456899642093,-0.8212778032661122,-0.9622532387360986,-1.612016013203894,0.6752942263550484,-1.253941361904803,0.1587839037379907,1.150367520247819,-0.3675367592910165,0.8541832711433329,0.801715057387617,-1.4384987088754642,0.7545497901135194,-1.2984072529356014,-1.585017776833059,-0.5919029785901716,-0.9919729302489888,-2.923341152818595,-0.0490951787105579,-1.6295028392444093,-1.8154939012522524,0.0468629502045556,-0.2064758793325275,-0.5404078861590339,-2.322805075942597,-1.7680092304229116,-1.1498272018518214,-0.3088607348045901,0.1012816740217294,0.1055183487935828,-0.6037897212056302,-0.2614760366294782,-1.33717278090936,-0.505404068816783,-0.2028863692443687,1.5361098618776945,-1.1267896661443386,-0.2403366544506641,-0.3981310387870524,-0.4098345796281098,0.0750326918172276,2.197781425281627,0.7039725674395338,-0.6042842501739022,1.0362844158977016,-0.1323520908130401,0.1353253507747162,-0.1926524231018847,-0.2561571243189816,-0.26177565583379,-0.5860374248329863,-0.0706422383639865,-0.4874935462011296,0.1583203406076112,0.722400486741069,1.0120070264781065,0.5233146852584374,0.4936230754879886,0.1891585475175411,-0.1832094984975339,1.03298194379602,-0.6783001793712158,0.1576516672047068,-0.2895325345860982
Hard,Reilly Opelka,Roman Safiullin,0,-1.1049602180866882,-0.8336806432235442,1.460389239347712,0.203743201840939,3.4451176451376537,0.1368937850068557,0.2390983617989863,0.3388943406616787,1.623535438439139,0.4921543592731617,0.681059256767642,1.3143466869476883,-2.2259698572444173,-0.2387287774382055,0.0679191264544008,-1.7424367499069109,-2.0430652587098104,-1.577417973115333,-1.2946358946654672,-1.2359220770423618,-2.001923612884211,-1.713059891776326,-1.6618624192946032,-2.0688084092310293,-2.0009316983447065,1.6033099403959752,-0.7434412776170227,-0.3087479063831519,-0.2562881769117924,-1.1215866082290384,-1.1296228753160218,-0.5007191764188674,-0.8846106389117611,1.7446999459084362,-0.968918175944629,-0.1735633332751466,0.1766717922785055,-0.2277458096641076,0.1702773890018711,0.1705132562359055,0.2656828014470567,0.2011235703892197,0.0672154108376818,-0.7443006547242431,0.5637771412601822,-0.1140451003603493,-0.0792793605549855,-0.046016514203857,0.2000871781792736,-0.6042053078461809,0.3405134583051717,0.249330124625854,0.1532356121499588,-0.0628777695485067,-0.3922331669604973,0.2530161669309405,0.2951375562805649,0.5675296218476602,0.4897875696286305,0.1465497367302569,0.0169858378467289,-0.1955546634221926,-0.0490951787105579,0.068610645862922,0.0272037729682915,0.1499614406545783,0.0572804052341846,0.134300179423795,-0.1415435131124957,-0.6911202858541768,-0.1466044218210264,-0.0769223321826869
Hard,Corentin Moutet,Jordan Thompson,1,-1.1049602180866882,-1.385081341762631,-1.893901571551471,-1.65713375204073,-1.705041275220669,-0.3769444980520552,-0.2765504910849276,0.7094610496094941,-2.009921580460136,-1.477993884535748,-1.722591856058726,-2.0865613159311764,0.3001307672689104,-1.7412434024487695,-0.2955399826799612,0.9369639265478809,-0.5260326984252279,0.270598972521253,0.024260399672566,-0.9523147924760186,0.4789024498137461,0.7748559412680218,0.2592536422439979,0.6678104769564424,0.1851456325293488,-1.2129453000078771,1.493896152192696,1.7667241309702535,1.2320445599586465,2.1431989226883563,1.6398181126344604,-1.0960498225213635,-0.525062029654052,1.270356006038875,-1.552760941372387,-1.1593015444182335,1.3829136843869232,0.8144621040581237,0.4282997590710425,-0.1285562542093589,0.3182354434915291,-1.404621064169877,-1.479731147814061,-0.7728057861817674,0.3619184179880027,0.7447374674537913,-0.1038064127266804,0.1912561371597849,0.4251852536309564,-1.0102903416328195,0.7039725674395338,0.628714291203524,0.0173819500349214,0.2567041082683459,0.1214422318869474,1.316543484054728,0.387020003047156,0.5675296218476602,0.4129429271670861,0.537495291899896,0.3533054272119685,0.143575548773036,-0.1262447452557207,-0.1200686302601149,-0.1854151894417717,-0.1593340306954905,-0.2064758793325275,0.4914985670852927,1.2726810166344928,-0.3449774108142266,0.9224034585396572,0.2903134719686596
Hard,Luca Nardi,Cameron Norrie,0,-1.4065206911137926,-1.3063098133999045,-2.2666005505402667,-1.6239038064356963,-1.33717278090936,1.7426384195659528,1.6632713840497972,-0.2312082884888064,-1.6314364743247942,-2.488326317258266,-1.7716459604021215,-2.213106729991785,-0.1000435890896368,-0.9290733348754916,0.3405134583051717,-0.8413993542849459,0.6740079835909354,-0.2157212763304802,-0.3505838102971902,-1.2663085718173273,0.0194902159807916,-0.26177565583379,-0.201814212525266,-0.4181493985147769,-0.4874935462011296,-1.4783515530302316,1.4167465856475334,1.5780448548472166,1.5864094973087508,2.2119312496550383,2.167330681767885,-1.532625629663194,-2.322805075942597,-0.5372790080586436,-1.7994550676094676,-1.429896347477121,-0.5772293902892555,0.6629783956682644,0.4856380635308577,0.5028127122862036,-0.3649489030866156,-0.8265529957286023,-0.7430899294084691,0.6809559181519699,-0.1174960497834273,1.0730955080886098,0.6565322045959443,0.649983263129491,0.0250108972724092,0.7358753036497273,-0.2955399826799612,0.2730416350369596,-0.1184717120801159,0.2011246512567196,-0.2811682158583464,-0.1521370967352642,0.6626673433469283,0.9821822606883844,1.642457206551791,0.5809336869187448,1.1941044006250667,0.3205130507879379,-0.6662917110718599,-0.4974271825061881,0.0272037729682915,-0.5029956655289004,-0.2064758793325275,0.4121211476049599,-1.2153953594288534,0.5267898300271299,0.3385606931118987,0.6188928756830224
Hard,Rinky Hijikata,Alexander Shevchenko,1,-0.2002787990053749,-0.1429149329657864,-1.2631802224935045,-1.1919145135703126,-0.7328173973979243,0.2011235703892197,-0.104667540123623,-1.3999186782473012,-1.0510926449172702,-0.5686946950854826,-0.692455664847427,-1.2007434175069147,0.250108972724092,0.4516157799990799,-0.3864047599635517,0.4153106975035846,0.0626665040732672,0.0899657372334662,0.0103772807847964,-0.131879433551954,0.2032551095139738,0.3602033024272976,0.3360982847055423,0.320303316805652,0.3533054272119685,-0.2692786225950684,1.3395970191023705,1.5780448548472166,1.373790534898689,1.1465801816714674,1.1123055435010354,-0.6991627251196995,0.7261671305627752,-0.2936969848823817,-0.4590836483879953,-0.7727375400483963,0.4782322653056099,-0.1974490679861357,-0.890481243504706,-0.9925348399401338,-0.3386725820643793,0.0726639996244923,-0.104667540123623,-0.7728057861817674,-0.6726075387819285,-0.5939530059035456,-0.716982717019122,-0.8369253520826636,0.0500217945448184,-0.2793372808168695,-0.3864047599635517,0.1307725725703334,0.1985201661883046,-0.1323520908130401,0.1075591129991787,0.2023720089726648,-0.2561571243189816,-0.26177565583379,-0.3555034974483543,-0.1575190284016841,-0.1511739568358908,-0.8148359204743494,0.4138022205604179,0.4459691981089961,0.4524416977884167,0.8029185468380571,0.7166711166509662,-0.5007191764188674,0.9754541663147864,-0.1783160265357318,-0.3768522729756349,-0.6181119383004599
