Surface;Local;Visitante;W_OR_L;numero
Hard;Carballes Baena R.;Duckworth J.;1;1
Hard;Alcaraz C.;Draper J.;1;2
Hard;Alexander Shevchenko;Corentin Moutet;1;3
Hard;Alcaraz C.;Djokovic N.;0;4
Hard;Alexander Shevchenko;Humbert U.;0;5
Hard;Altmaier D.;Comesana F.;1;6
Hard;Bautista Agut R.;Shapovalov D.;0;7
Hard;Bergs Z.;Fabian Marozsan;0;8
Hard;Berrettini M.;Norrie C.;1;9
Hard;Bonzi B.;Goffin D.;1;10
Hard;Borges N.;Thompson J.;1;11
Hard;Carballes Baena R.;Tabilo A.;1;12
Hard;Flavio Cobolli;Fearnley J.;0;13
Hard;Carreno Busta P.;Majchrzak K.;1;14
Hard;Flavio Cobolli;Baez S.;1;15
Hard;Cerundolo F.;Bublik A.;1;16
Hard;Cerundolo F.;De Minaur A.;0;17
Hard;Cerundolo F.;Fabian Marozsan;1;18
Hard;Cobolli F.;Etcheverry T.;0;19
Hard;Corentin Moutet;Dimitrov G.;1;20
Hard;Darderi L.;Martinez P.;0;21
Hard;Davidovich Fokina A.;Auger-Aliassime F.;1;22
Hard;De Minaur A.;Van De Zandschulp B.;1;23
Hard;Basavareddy N.;Djokovic N.;0;24
Hard;Bonzi B.;James Duckworth;1;25
Hard;De Minaur A.;Jaume Munar;1;26
Hard;Djokovic N.;James Duckworth;1;27
Hard;Tien L.;Medvedev D.;1;28
Hard;Matteo Arnaldi;Draper J.;0;29
Hard;Halys Q.;Walton A.;1;30
Hard;Djokovic N.;Machac T.;1;31
Hard;Borges N.;Alcaraz C.;0;32
Hard;Djokovic N.;Zverev A.;0;33
Hard;Mattia Bellucci;Nishioka Y.;0;34
Hard;Draper J.;Navone M.;1;35
Hard;Duckworth J.;Adam Walton;1;36
Hard;Etcheverry T.;Giron M.;0;37
Hard;Fearnley J.;Navone M.;1;38
Hard;De Minaur A.;Michelsen A.;1;39
Hard;Fearnley J.;Zverev A.;0;40
Hard;Fils A.;Navone M.;1;41
Hard;Fonseca J.;Rublev A.;1;42
Hard;Fritz T.;Nicolas Jarry;1;43
Hard;Gaston H.;Jesper De Jong;1;44
Hard;Giron M.;Sinner J.;0;45
Hard;Halys Q.;Fils A.;0;46
Hard;Hurkacz H.;Griekspoor T.;1;47
Hard;Hamad Medjedovic;Coric B.;1;48
Hard;Fils A.;Humbert U.;0;49
Hard;Hamad Medjedovic;Hijikata R.;1;50
Hard;Cameron Norrie;Giron M.;0;51
Hard;Humbert U.;Hugo Gaston;1;52
Hard;Korda S.;Vukic A.;0;53
Hard;Monfils G.;Altmaier D.;1;54
Hard;Hurkacz H.;Kecmanovic M.;0;55
Hard;Jaume Munar;Fritz T.;0;56
Hard;Jesper De Jong;Opelka R.;0;57
Hard;Kecmanovic M.;Bu Yunchaokete;1;58
Hard;Khachanov K.;Diallo G.;1;59
Hard;Mensik J.;Davidovich Fokina A.;0;60
Hard;Matteo Arnaldi;Safiullin R.;1;61
Hard;Lehecka J.;Gaston H.;1;62
Hard;Shelton B.;Monfils G.;1;63
Hard;Aleksandar Kovacevic;Korda S.;0;64
Hard;Draper J.;Vukic A.;1;65
Hard;Laslo Djere;Michelsen A.;0;66
Hard;Lehecka J.;Jesper De Jong;1;67
Hard;Sinner J.;Jarry N.;1;68
Hard;Lehecka J.;Bonzi B.;1;69
Hard;Marozsan F.;Tiafoe F.;1;70
Hard;Lehecka J.;Djokovic N.;0;71
Hard;Machac T.;Opelka R.;1;72
Hard;Mattia Bellucci;Khachanov K.;0;73
Hard;Marozsan F.;Bu Yunchaokete;1;74
Hard;Sonego L.;Fonseca J.;1;75
Hard;Marozsan F.;Sonego L.;0;76
Hard;Medvedev D.;Hugo Gaston;1;77
Hard;Mensik J.;Ruud C.;1;78
Hard;Shelton B.;Sinner J.;0;79
Hard;Michelsen A.;Khachanov K.;1;80
Hard;Monfils G.;Lorenzo Sonego;1;81
Hard;Corentin Moutet;Mensik J.;0;82
Hard;Moutet C.;Laslo Djere;1;83
Hard;Musetti L.;Shapovalov D.;1;84
Hard;Moutet C.;Tien L.;0;85
Hard;Rune H.;Berrettini M.;1;86
Hard;Muller A.;Borges N.;0;87
Hard;Munar J.;Ruud C.;0;88
Hard;Musetti L.;Arnaldi M.;1;89
Hard;Musetti L.;Shelton B.;0;90
Hard;Mattia Bellucci;Machac T.;0;91
Hard;Nardi L.;Diallo G.;0;92
Hard;Nishikori K.;Aleksandar Kovacevic;1;93
Hard;Monfils G.;Fritz T.;1;94
Hard;Shelton B.;Sonego L.;1;95
Hard;Nishikori K.;Paul T.;0;96
Hard;Sinner J.;Zizou Bergs;1;97
Hard;Nishioka Y.;Alcaraz C.;0;98
Hard;Paul T.;Damir Dzumhur;1;99
Hard;Rune H.;Kecmanovic M.;1;100
Hard;Sinner J.;Rune H.;1;101
Hard;Paul T.;Davidovich Fokina A.;1;102
Hard;Popyrin A.;Moutet C.;0;103
Hard;Paul T.;Carballes Baena R.;1;104
Hard;Rune H.;Damir Dzumhur;1;105
Hard;De Minaur A.;Sinner J.;0;106
Hard;Shang J.;Davidovich Fokina A.;0;107
Hard;Shelton B.;Nakashima B.;1;108
Hard;Zverev A.;Humbert U.;1;109
Hard;Shelton B.;Carreno Busta P.;1;110
Hard;Shevchenko A.;Alcaraz C.;0;111
Hard;Sinner J.;Zverev A.;1;112
Hard;Sonego L.;James Duckworth;1;113
Hard;Zverev A.;Martinez P.;1;114
Hard;Struff J.L.;Auger-Aliassime F.;0;115
Hard;Thompson J.;Yoshihito Nishioka;1;116
Hard;Tiafoe F.;Rinderknech A.;1;117
Hard;Ugo Carabelli C.;Tien L.;0;118
Hard;Tsitsipas S.;Michelsen A.;0;119
Hard;Zverev A.;Paul T.;1;120
Hard;Vukic A.;Dzumhur D.;1;121
Hard;Zverev A.;Aleksandar Kovacevic;1;123
