Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2025 Indian Wells R64,L vsGriekspoor,28.3%,38.7%,51.4%,34.8%,31.8%,45.5%,51.1%,42.3%,51.5%,42.4%,100.0%,23.7%,28.9%,51.7%,-3
2025 Rio de Janeiro QF,L vsComesana,34.2%,43.4%,47.8%,39.2%,39.6%,47.9%,41.4%,47.5%,38.1%,44.4%,100.0%,29.2%,41.7%,58.8%,137
2025 Buenos Aires QF,L vsCerundolo,36.6%,48.8%,36.7%,43.7%,44.1%,57.6%,42.4%,53.9%,37.9%,43.3%,50.0%,20.0%,30.0%,25.0%,73
2025 Australian Open F,L vsSinner,31.6%,42.1%,47.6%,37.9%,38.5%,47.7%,50.0%,47.7%,63.3%,60.0%,80.0%,17.9%,32.1%,43.5%,22
2025 Australian Open SF,W vsDjokovic,36.8%,39.5%,73.9%,46.1%,36.7%,40.0%,73.7%,48.3%,72.7%,52.6%,100.0%,42.9%,42.9%,75.0%,110
2025 Australian Open QF,W vsPaul,29.6%,38.5%,54.4%,37.7%,32.3%,44.1%,58.7%,44.0%,47.4%,36.4%,42.9%,27.0%,29.7%,44.4%,101
2025 Australian Open R16,W vsHumbert,40.7%,50.0%,58.3%,47.1%,50.0%,58.1%,64.5%,58.9%,67.9%,47.1%,75.0%,19.0%,33.3%,47.1%,65
2025 Australian Open R64,W vsMartinez,32.9%,52.1%,63.0%,43.4%,37.7%,62.3%,63.6%,52.3%,52.4%,46.9%,25.0%,23.5%,29.4%,61.5%,80
2025 United Cup RR,W vsMonteiro,51.0%,64.7%,63.6%,58.2%,62.5%,78.1%,75.0%,74.1%,46.2%,57.9%,-,37.5%,50.0%,50.0%,160
2024 Tour Finals SF,L vsFritz,31.1%,48.9%,63.3%,42.7%,35.7%,58.6%,68.9%,50.6%,41.9%,51.3%,60.0%,16.7%,16.7%,46.7%,47
2024 Tour Finals RR,W vsRublev,44.0%,58.0%,64.3%,50.2%,51.4%,65.7%,58.8%,60.3%,42.9%,52.4%,-,26.7%,40.0%,72.7%,-79
2024 Tour Finals RR,W vsRuud,37.7%,52.5%,73.0%,46.4%,46.8%,61.7%,76.0%,58.1%,55.6%,51.7%,-,7.7%,23.1%,66.7%,-39
2024 Tour Finals RR,W vsAlcaraz,38.6%,45.7%,54.8%,44.0%,38.2%,45.5%,55.9%,45.1%,42.3%,41.4%,0.0%,42.9%,50.0%,50.0%,22
2024 Paris F,W vsHumbert,35.1%,56.8%,79.2%,45.1%,43.5%,65.2%,84.6%,59.6%,50.0%,18.2%,-,21.4%,42.9%,72.7%,-79
2024 Paris SF,W vsRune,22.4%,35.8%,71.4%,28.5%,24.4%,40.0%,76.5%,33.6%,56.0%,30.0%,0.0%,21.1%,31.6%,60.0%,82
2024 Paris QF,W vsTsitsipas,41.0%,52.5%,64.7%,47.0%,48.8%,60.5%,59.1%,57.4%,45.5%,38.1%,-,25.0%,37.5%,75.0%,89
2024 Vienna R16,W vsGiron,56.8%,75.0%,78.9%,65.0%,63.9%,80.6%,69.2%,73.9%,50.0%,45.0%,-,25.0%,50.0%,100.0%,-79
2024 US Open QF,L vsFritz,29.7%,38.6%,55.1%,36.0%,38.8%,48.5%,58.7%,47.8%,51.1%,39.7%,12.5%,7.9%,15.8%,48.6%,-39
2024 Cincinnati SF,L vsSinner,31.5%,41.7%,52.4%,36.4%,39.0%,51.2%,54.0%,46.6%,66.7%,47.8%,50.0%,20.0%,27.5%,50.0%,77
2024 Cincinnati QF,W vsShelton,44.9%,49.4%,68.3%,48.5%,56.6%,64.2%,56.5%,62.6%,57.1%,37.5%,50.0%,35.7%,35.7%,83.3%,187
2024 Canada QF,L vsKorda,32.7%,41.8%,54.5%,38.6%,43.1%,55.4%,62.2%,52.0%,58.3%,34.1%,14.3%,18.2%,22.7%,38.9%,15
2024 Canada R16,W vsRune,40.7%,54.2%,57.6%,44.9%,51.3%,64.1%,57.9%,57.7%,64.7%,36.4%,0.0%,22.2%,38.9%,57.1%,72
2024 Canada R32,W vsThompson,36.1%,41.7%,71.4%,42.2%,58.8%,70.6%,85.7%,71.8%,50.0%,42.9%,-,17.6%,17.6%,64.3%,56
2024 Paris Olympics QF,L vsMusetti,20.6%,41.2%,58.0%,31.3%,30.2%,55.8%,63.3%,47.2%,38.9%,28.0%,0.0%,4.8%,19.0%,50.0%,-74
2024 Paris Olympics R16,W vsPopyrin,54.9%,64.7%,59.1%,60.4%,59.4%,65.6%,61.5%,68.1%,44.4%,21.4%,-,50.0%,66.7%,55.6%,1
2024 Hamburg F,L vsFils,34.2%,44.1%,43.7%,38.3%,40.5%,52.7%,43.2%,46.6%,32.4%,35.0%,100.0%,22.9%,28.6%,44.4%,3
2024 Hamburg SF,W vsMartinez,47.1%,62.7%,62.5%,55.3%,60.0%,77.1%,71.4%,72.0%,43.8%,47.4%,0.0%,23.1%,38.5%,50.0%,88
2024 Hamburg QF,W vsZhang,53.3%,66.7%,63.2%,59.6%,68.8%,75.0%,60.0%,77.5%,60.0%,47.1%,-,18.2%,54.5%,66.7%,51
2024 Halle SF,L vsHurkacz,30.6%,41.9%,65.1%,42.3%,40.5%,54.8%,76.0%,57.6%,68.4%,43.5%,-,10.0%,15.0%,50.0%,-79
2024 Halle QF,W vsFils,48.4%,57.9%,52.1%,54.5%,56.1%,68.2%,62.1%,64.8%,40.0%,52.8%,0.0%,32.1%,35.7%,36.8%,-27
2024 Halle R16,W vsSonego,33.9%,55.4%,80.6%,46.3%,42.2%,62.2%,76.9%,57.6%,55.6%,51.9%,-,0.0%,30.0%,90.0%,-118
2024 Roland Garros F,L vsAlcaraz,21.1%,30.8%,45.5%,27.8%,24.5%,36.7%,51.4%,33.7%,65.3%,49.0%,37.5%,13.8%,17.2%,28.0%,8
2024 Roland Garros SF,W vsRuud,50.0%,61.0%,56.8%,56.5%,64.3%,76.8%,60.0%,73.8%,53.6%,50.0%,100.0%,22.7%,31.8%,52.9%,93
2024 Roland Garros R16,W vsRune,31.6%,46.3%,53.3%,41.4%,37.1%,54.6%,62.3%,50.8%,53.7%,32.1%,0.0%,19.4%,27.8%,34.5%,37
2024 Roland Garros R32,W vsGriekspoor,32.0%,43.8%,52.0%,39.2%,34.2%,48.2%,53.3%,43.9%,56.6%,41.0%,20.0%,30.3%,36.4%,47.8%,120
2024 Roland Garros R128,W vsNadal,23.7%,36.6%,58.8%,32.3%,30.6%,44.4%,60.0%,41.7%,65.6%,47.5%,28.6%,0.0%,11.1%,55.6%,-118
2024 Rome F,W vsJarry,44.9%,51.0%,84.6%,50.6%,53.8%,59.0%,88.9%,61.0%,52.6%,55.0%,-,11.1%,22.2%,75.0%,-8
2024 Rome SF,W vsTabilo,32.1%,40.7%,56.0%,38.6%,41.1%,53.6%,66.7%,50.5%,50.0%,46.9%,0.0%,15.0%,15.0%,35.3%,14
2024 Rome QF,W vsFritz,31.3%,37.5%,65.6%,40.6%,37.8%,45.9%,65.2%,50.0%,56.3%,42.9%,-,10.0%,10.0%,66.7%,-18
2024 Rome R16,W vsBorges,38.9%,51.9%,60.0%,45.6%,47.4%,63.2%,65.0%,56.8%,50.0%,55.0%,0.0%,23.1%,30.8%,50.0%,88
2024 Monte Carlo R16,L vsTsitsipas,31.6%,38.0%,47.1%,36.6%,37.7%,42.6%,42.1%,44.1%,40.7%,47.1%,50.0%,13.3%,26.7%,61.5%,4
2024 Miami SF,L vsDimitrov,35.9%,47.8%,53.4%,44.0%,43.5%,56.5%,61.5%,54.3%,51.9%,54.8%,-,13.6%,22.7%,36.8%,-13
2024 Miami QF,W vsMarozsan,43.5%,50.0%,48.6%,49.8%,54.3%,60.9%,57.1%,62.8%,57.7%,55.0%,100.0%,12.5%,18.8%,35.7%,-79
2024 Miami R16,W vsKhachanov,35.6%,51.1%,69.0%,46.4%,36.4%,51.5%,66.7%,51.2%,53.3%,50.0%,-,33.3%,50.0%,75.0%,-79
2024 Miami R32,W vsEubanks,37.8%,50.0%,54.3%,45.1%,36.8%,47.4%,50.0%,46.3%,50.0%,48.3%,33.3%,41.2%,58.8%,70.0%,-79
2024 Miami R64,W vsAuger Aliassime,47.4%,65.8%,90.0%,61.3%,42.9%,67.9%,87.5%,61.8%,46.2%,53.3%,-,60.0%,60.0%,100.0%,-79
2024 Indian Wells QF,L vsAlcaraz,15.9%,22.2%,43.1%,22.1%,18.4%,24.5%,40.0%,26.3%,50.0%,44.0%,33.3%,8.3%,16.7%,54.5%,-39
2024 Indian Wells R16,W vsDe Minaur,27.0%,33.0%,48.1%,32.7%,35.1%,42.9%,52.0%,43.6%,48.5%,34.1%,25.0%,11.4%,14.3%,41.9%,-2
2024 Indian Wells R32,W vsGriekspoor,28.4%,41.8%,57.4%,35.2%,32.7%,48.1%,62.9%,41.5%,45.0%,50.0%,100.0%,14.3%,21.4%,41.7%,22
2024 Australian Open SF,L vsMedvedev,26.5%,42.9%,57.3%,39.1%,31.8%,51.5%,57.8%,48.0%,58.6%,48.6%,37.5%,8.1%,13.5%,55.9%,-39
2024 Australian Open QF,W vsAlcaraz,32.4%,45.7%,54.3%,44.2%,33.7%,50.0%,61.4%,48.1%,51.4%,45.1%,33.3%,27.8%,27.8%,23.1%,1
2024 Australian Open R16,W vsNorrie,28.7%,44.0%,59.4%,39.3%,33.3%,50.9%,64.5%,47.4%,52.0%,37.5%,40.0%,16.7%,26.7%,44.0%,35
2024 United Cup F,W vsHurkacz,28.1%,44.8%,72.1%,38.0%,36.1%,54.2%,78.3%,49.3%,55.6%,40.0%,-,4.3%,17.4%,59.1%,-72
2023 Tour Finals RR,W vsAlcaraz,41.2%,55.7%,54.5%,49.7%,46.7%,65.3%,60.0%,57.6%,51.6%,40.9%,0.0%,25.0%,25.0%,40.0%,59
2023 Tour Finals RR,L vsMedvedev,26.9%,35.8%,53.1%,34.0%,35.3%,47.1%,48.5%,44.7%,52.2%,39.3%,100.0%,0.0%,0.0%,62.5%,-118
2023 Tour Finals RR,W vsRublev,40.9%,45.5%,44.7%,42.6%,46.8%,48.9%,44.0%,49.1%,42.9%,53.8%,0.0%,27.8%,38.9%,46.2%,1
2023 Vienna QF,L vsRublev,35.6%,44.4%,47.4%,40.8%,43.1%,53.8%,54.1%,50.3%,69.7%,59.4%,60.0%,16.7%,20.8%,35.0%,-19
2023 Beijing SF,L vsMedvedev,27.5%,43.1%,52.8%,36.5%,31.6%,52.6%,57.7%,43.7%,41.2%,57.1%,66.7%,16.7%,16.7%,40.0%,37
2023 Chengdu F,W vsSafiullin,34.9%,45.3%,55.9%,42.4%,37.0%,50.6%,62.7%,46.8%,54.5%,31.3%,0.0%,29.2%,29.2%,35.3%,-19
2023 US Open QF,L vsAlcaraz,29.9%,37.7%,44.0%,36.1%,40.4%,51.9%,54.8%,49.6%,48.0%,44.4%,50.0%,9.5%,9.5%,26.3%,-30
