Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2025 Miami R64,W vsKecmanovic,22.2%,39.4%,57.1%,33.3%,25.7%,47.3%,65.5%,40.5%,51.4%,51.3%,33.3%,12.0%,16.0%,36.4%,-79
2025 Indian Wells R64,L vsGiron,25.7%,39.6%,52.2%,34.6%,33.9%,54.8%,63.4%,48.2%,37.9%,60.6%,75.0%,16.1%,19.4%,34.6%,23
2025 Acapulco R32,W vsRinderknech,28.1%,47.4%,54.1%,37.9%,31.7%,56.1%,64.3%,45.4%,30.0%,52.4%,50.0%,25.0%,33.3%,22.2%,-79
2025 Dallas F,L vsShapovalov,24.7%,38.4%,53.7%,33.3%,23.6%,40.0%,52.4%,35.1%,46.2%,34.5%,60.0%,29.4%,35.3%,58.3%,5
2025 Dallas SF,W vsMunar,17.8%,28.9%,52.8%,26.9%,21.9%,34.4%,58.0%,34.7%,55.2%,40.0%,33.3%,8.3%,16.7%,40.9%,-33
2025 Australian Open R64,L vsMensik,24.8%,37.2%,45.9%,31.2%,33.3%,48.7%,46.2%,43.3%,60.6%,44.4%,54.5%,10.8%,18.9%,45.5%,-16
2025 Australian Open R128,W vsMunar,26.0%,39.8%,53.9%,38.0%,25.3%,42.2%,58.1%,43.1%,48.7%,40.9%,50.0%,28.9%,36.8%,44.4%,-3
2025 United Cup RR,W vsHurkacz,34.4%,45.9%,62.5%,42.1%,36.4%,52.3%,64.3%,47.0%,44.4%,53.8%,100.0%,29.4%,29.4%,58.3%,-79
2024 Tour Finals SF,L vsSinner,20.5%,28.2%,32.3%,27.7%,26.1%,34.8%,47.1%,38.3%,45.5%,25.0%,33.3%,12.5%,18.8%,14.3%,-79
2024 Tour Finals RR,L vsZverev,32.1%,46.4%,57.9%,39.3%,33.3%,51.1%,60.0%,42.2%,61.9%,29.2%,-,27.3%,27.3%,50.0%,-79
2024 Tour Finals RR,W vsAlcaraz,32.4%,45.9%,48.0%,40.1%,35.3%,52.9%,51.5%,46.5%,50.0%,48.0%,33.3%,26.1%,30.4%,41.2%,-79
2024 Tour Finals RR,W vsRublev,40.0%,54.1%,50.0%,47.9%,53.1%,70.3%,56.7%,63.6%,48.3%,54.3%,0.0%,0.0%,5.0%,40.0%,-118
2024 US Open R16,L vsFritz,22.1%,35.4%,61.3%,32.6%,30.0%,50.0%,71.4%,46.9%,37.1%,42.9%,50.0%,11.4%,14.3%,45.2%,-16
2024 US Open R128,W vsYunchaokete,38.0%,51.9%,65.1%,43.7%,55.8%,62.8%,68.4%,66.3%,52.6%,45.8%,100.0%,20.0%,46.7%,62.5%,65
2024 Cincinnati R32,L vsAuger Aliassime,18.8%,27.1%,38.2%,22.9%,12.0%,28.0%,36.4%,20.0%,58.3%,53.8%,0.0%,33.3%,33.3%,41.7%,169
2024 Paris Olympics R16,W vsCerundolo,22.6%,41.9%,72.7%,36.6%,27.9%,48.8%,71.0%,48.1%,47.8%,60.0%,50.0%,13.3%,33.3%,76.9%,-2
2024 Roland Garros SF,L vsZverev,12.3%,33.0%,53.8%,25.1%,14.1%,42.3%,63.9%,33.2%,63.6%,68.4%,60.0%,8.6%,14.3%,34.4%,-79
2024 Roland Garros R64,W vsDavidovich Fokina,27.4%,37.0%,48.0%,33.5%,32.3%,45.5%,52.2%,41.3%,51.1%,55.6%,40.0%,18.6%,20.9%,40.0%,20
2024 Geneva F,W vsMachac,14.9%,32.4%,57.1%,22.6%,22.9%,41.7%,59.5%,34.8%,55.6%,70.0%,-,0.0%,15.4%,53.8%,-118
2024 Rome R64,L vsKecmanovic,18.9%,32.2%,51.5%,27.0%,24.5%,46.9%,51.4%,39.4%,59.1%,74.1%,80.0%,13.9%,16.7%,51.6%,16
2024 Barcelona F,W vsTsitsipas,26.8%,35.7%,69.2%,34.5%,31.1%,42.2%,67.7%,40.7%,35.0%,76.0%,100.0%,11.1%,11.1%,75.0%,-18
2024 Barcelona QF,W vsArnaldi,16.4%,25.4%,55.4%,24.5%,14.3%,26.5%,52.4%,25.3%,45.8%,60.0%,75.0%,22.2%,22.2%,64.3%,-79
2024 Barcelona R16,W vsThompson,35.6%,55.6%,72.4%,44.9%,40.6%,59.4%,68.4%,53.8%,35.3%,60.0%,-,23.1%,46.2%,80.0%,-79
2024 Barcelona R32,W vsMuller,25.0%,39.3%,50.0%,34.6%,30.0%,50.0%,61.9%,48.0%,57.1%,56.3%,0.0%,20.8%,29.2%,36.8%,37
2024 Monte Carlo F,L vsTsitsipas,14.5%,25.5%,50.0%,24.5%,16.7%,30.6%,60.0%,31.9%,31.6%,88.2%,100.0%,11.1%,16.7%,31.3%,-2
2024 Monte Carlo SF,W vsDjokovic,16.7%,26.9%,50.8%,22.9%,22.7%,34.1%,52.9%,33.9%,41.2%,63.0%,100.0%,10.0%,20.0%,48.1%,-21
2024 Monte Carlo QF,W vsHumbert,17.9%,30.8%,61.7%,28.3%,19.6%,39.1%,67.6%,37.2%,50.0%,20.8%,0.0%,17.9%,21.4%,52.2%,54
2024 Monte Carlo R16,W vsHurkacz,36.7%,46.9%,64.5%,42.4%,40.0%,46.7%,61.1%,49.3%,53.8%,70.6%,-,31.6%,47.4%,69.2%,-79
2024 Monte Carlo R32,W vsTabilo,22.6%,35.8%,69.2%,30.6%,30.6%,47.2%,72.0%,42.2%,52.6%,35.3%,33.3%,6.7%,13.3%,64.3%,-53
2024 Estoril SF,L vsMartinez,22.2%,33.3%,51.3%,28.5%,32.2%,49.2%,60.0%,43.7%,40.9%,67.6%,50.0%,11.6%,16.3%,42.1%,-6
2024 Estoril QF,W vsFucsovics,25.5%,48.9%,73.5%,38.9%,29.4%,55.9%,75.0%,47.9%,28.6%,65.0%,-,16.7%,33.3%,70.0%,37
2024 Miami R16,L vsJarry,41.2%,48.5%,38.5%,44.1%,47.9%,56.3%,40.0%,52.1%,57.1%,44.4%,100.0%,26.3%,31.6%,35.7%,-3
2024 Miami R64,W vsVan Assche,34.2%,50.0%,51.0%,43.2%,46.0%,66.0%,51.9%,59.6%,41.7%,53.8%,-,12.0%,20.0%,50.0%,-21
2024 Indian Wells QF,L vsPaul,19.1%,31.9%,43.4%,27.7%,19.7%,34.8%,49.1%,31.8%,57.1%,42.1%,40.0%,17.9%,25.0%,30.4%,-79
2024 Indian Wells R32,W vsFils,44.2%,55.8%,73.9%,51.4%,58.1%,74.2%,69.2%,68.1%,46.7%,75.0%,-,9.1%,9.1%,80.0%,-26
2024 Acapulco F,L vsDe Minaur,22.2%,28.4%,42.9%,26.2%,25.0%,32.1%,38.1%,30.7%,52.0%,51.6%,50.0%,16.0%,20.0%,52.4%,-79
2024 Acapulco R16,W vsLajovic,24.6%,49.2%,72.7%,36.4%,33.3%,64.1%,84.6%,51.8%,31.6%,60.0%,100.0%,10.0%,25.0%,55.6%,-18
2024 Acapulco R32,W vsEubanks,35.6%,50.0%,66.1%,40.6%,43.9%,59.6%,68.8%,51.8%,32.0%,56.3%,-,22.6%,35.5%,62.5%,13
