Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2025 Indian Wells R32,L vsDe Minaur,27.9%,37.2%,30.0%,32.8%,36.0%,48.0%,31.3%,44.4%,66.7%,40.0%,-,17.6%,23.5%,28.6%,5
2025 Indian Wells R64,W vsGaston,39.5%,52.6%,46.7%,45.7%,52.2%,67.4%,54.5%,62.4%,52.6%,59.3%,66.7%,20.7%,31.0%,39.1%,-29
2025 Marseille R16,L vsZhang,38.9%,52.6%,50.9%,44.4%,57.7%,73.1%,63.6%,67.7%,47.1%,57.1%,100.0%,17.5%,30.0%,42.4%,27
2025 Rotterdam SF,L vsAlcaraz,32.3%,43.4%,48.5%,38.7%,37.1%,51.6%,56.4%,47.3%,53.8%,61.1%,100.0%,25.0%,30.6%,37.0%,-38
2025 Rotterdam QF,W vsRublev,46.8%,57.4%,46.9%,50.6%,60.0%,70.0%,50.0%,66.0%,60.7%,71.9%,100.0%,24.2%,36.4%,44.0%,-35
2025 Rotterdam R16,W vsLehecka,46.5%,60.5%,52.2%,52.8%,62.1%,72.4%,54.5%,71.4%,38.5%,43.8%,66.7%,14.3%,35.7%,50.0%,-79
2025 Rotterdam R32,W vsCobolli,41.7%,58.3%,63.0%,48.5%,63.0%,74.1%,60.0%,75.2%,41.7%,53.3%,100.0%,15.0%,40.0%,64.7%,-7
2025 Australian Open R64,L vsKecmanovic,37.8%,50.0%,46.7%,46.3%,49.1%,64.2%,55.6%,62.3%,48.3%,54.2%,25.0%,21.7%,30.4%,33.3%,72
2025 Australian Open R128,W vsGriekspoor,42.2%,48.2%,57.4%,48.3%,50.8%,55.6%,54.8%,58.9%,43.3%,45.5%,0.0%,15.8%,26.3%,62.5%,-3
2025 United Cup F,L vsFritz,36.5%,51.0%,59.0%,45.0%,46.9%,59.4%,61.8%,59.7%,48.4%,42.4%,100.0%,15.6%,34.4%,55.6%,-79
2025 United Cup SF,W vsShevchenko,45.7%,52.2%,60.0%,50.7%,51.4%,54.3%,58.8%,58.0%,52.9%,55.6%,-,27.3%,45.5%,62.5%,-79
2025 United Cup QF,W vsHarris,50.7%,68.7%,60.6%,60.0%,60.8%,80.4%,70.0%,72.9%,47.8%,60.7%,50.0%,18.8%,31.3%,46.2%,-79
2025 United Cup RR,L vsMachac,43.5%,52.9%,53.3%,46.0%,50.9%,56.4%,44.4%,54.7%,53.8%,55.2%,33.3%,33.3%,51.9%,66.7%,72
2025 United Cup RR,L vsRuud,25.9%,41.4%,48.8%,37.1%,32.5%,50.0%,55.6%,48.8%,50.0%,59.1%,66.7%,11.1%,22.2%,37.5%,-79
2024 Paris R64,L vsMichelsen,35.8%,43.4%,18.8%,40.8%,44.4%,55.6%,30.0%,51.7%,45.0%,62.5%,66.7%,20.0%,20.0%,0.0%,76
2024 Tokyo R16,L vsDraper,35.5%,50.0%,51.4%,42.3%,48.7%,64.1%,45.0%,59.5%,35.3%,72.7%,100.0%,16.7%,33.3%,60.0%,25
2024 Tokyo R32,W vsGiron,44.9%,58.4%,58.7%,52.1%,57.1%,71.4%,58.3%,68.6%,50.0%,53.1%,50.0%,26.7%,40.0%,59.1%,59
2024 US Open R64,L vsThompson,29.3%,42.4%,39.7%,33.3%,38.9%,50.0%,36.4%,45.6%,37.5%,50.0%,50.0%,16.7%,33.3%,43.3%,1
2024 US Open R128,W vsSkatov,51.9%,58.5%,41.3%,54.3%,73.2%,80.4%,46.7%,77.9%,61.9%,45.7%,50.0%,31.1%,37.8%,38.7%,72
2024 Cincinnati QF,L vsTiafoe,23.1%,38.5%,47.4%,27.3%,41.7%,50.0%,28.6%,50.8%,28.6%,20.0%,0.0%,7.7%,30.8%,58.3%,-39
2024 Cincinnati R16,W vsCobolli,42.9%,60.0%,51.3%,49.4%,48.9%,66.7%,52.2%,59.1%,50.0%,44.0%,100.0%,33.3%,50.0%,50.0%,-19
2024 Cincinnati R32,W vsNishioka,39.5%,51.8%,42.2%,44.0%,58.2%,70.1%,39.3%,66.0%,51.7%,39.5%,33.3%,14.3%,28.6%,44.4%,-10
2024 Canada QF,L vsPopyrin,25.5%,32.6%,47.1%,32.3%,31.3%,40.0%,54.5%,43.1%,56.8%,23.3%,20.0%,19.0%,24.1%,38.3%,-5
2024 Canada R16,W vsRinderknech,28.6%,42.9%,55.4%,34.5%,48.9%,62.2%,65.2%,60.9%,70.0%,48.0%,50.0%,8.7%,23.9%,50.0%,-79
2024 Canada R32,W vsKokkinakis,31.4%,44.1%,63.1%,37.6%,45.5%,60.0%,70.0%,57.1%,61.9%,50.0%,25.0%,16.7%,28.6%,57.1%,46
2024 Wimbledon R64,L vsFils,39.7%,52.2%,50.0%,44.0%,45.9%,54.1%,43.5%,52.8%,37.5%,51.1%,40.0%,30.6%,51.0%,58.8%,-20
2024 Wimbledon R128,W vsAlbot,40.2%,58.2%,52.9%,49.7%,51.3%,71.8%,68.4%,66.2%,51.4%,55.8%,0.0%,22.0%,36.6%,34.4%,24
