Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2025 Australian Open F,W vsZverev,27.4%,36.8%,68.7%,33.5%,42.1%,56.1%,72.7%,52.3%,42.3%,54.8%,-,5.6%,8.3%,64.7%,-60
2025 Australian Open SF,W vsShelton,30.3%,41.6%,56.5%,33.3%,42.0%,50.0%,55.2%,47.2%,61.5%,50.0%,50.0%,15.4%,30.8%,57.6%,-79
2025 Australian Open QF,W vsDe Minaur,33.9%,49.2%,74.4%,43.1%,43.6%,59.0%,72.7%,57.4%,35.3%,54.5%,0.0%,15.0%,30.0%,76.5%,-79
2025 Australian Open R16,W vsRune,35.2%,41.0%,62.9%,38.9%,49.2%,55.9%,66.7%,55.6%,41.4%,46.7%,33.3%,20.0%,25.0%,59.4%,73
2025 Australian Open R32,W vsGiron,31.3%,43.4%,57.4%,38.4%,44.9%,59.2%,66.7%,56.9%,47.6%,50.0%,33.3%,12.9%,22.6%,48.1%,13
2025 Australian Open R64,W vsSchoolkate,41.0%,51.0%,51.9%,47.3%,50.0%,64.5%,54.8%,60.2%,62.1%,45.5%,0.0%,30.3%,33.3%,47.8%,120
2025 Australian Open R128,W vsJarry,39.6%,50.5%,63.3%,45.0%,50.0%,60.3%,65.5%,59.3%,34.6%,56.3%,-,26.2%,38.1%,61.3%,-44
2024 Davis Cup RR,W vsGriekspoor,46.7%,55.0%,51.6%,52.0%,56.8%,65.9%,52.6%,64.1%,42.9%,52.2%,0.0%,20.0%,26.7%,50.0%,16
2024 Davis Cup RR,W vsDe Minaur,28.1%,45.6%,56.1%,38.2%,35.1%,56.8%,70.8%,50.8%,58.8%,50.0%,-,15.0%,25.0%,35.3%,-79
2024 Tour Finals SF,W vsRuud,34.8%,47.8%,60.0%,42.0%,48.1%,59.3%,64.3%,60.4%,33.3%,66.7%,-,15.8%,31.6%,56.3%,-79
2024 Tour Finals RR,W vsDe Minaur,30.6%,46.9%,72.7%,43.1%,43.8%,59.4%,66.7%,62.8%,43.8%,43.8%,0.0%,6.3%,25.0%,80.0%,-53
2024 Tour Finals RR,W vsFritz,28.8%,42.4%,57.4%,36.8%,38.5%,56.4%,62.5%,52.1%,47.1%,63.6%,0.0%,14.8%,22.2%,52.2%,-79
2024 Tour Finals RR,W vsMedvedev,34.7%,49.0%,65.6%,43.3%,42.9%,64.3%,68.8%,57.9%,60.0%,72.2%,100.0%,23.8%,28.6%,62.5%,-79
2024 Shanghai F,W vsDjokovic,32.8%,46.3%,57.8%,38.2%,43.9%,58.5%,56.5%,52.7%,45.5%,50.0%,-,15.4%,26.9%,59.1%,-79
2024 Shanghai SF,W vsMachac,30.4%,42.0%,57.4%,37.2%,40.0%,55.6%,55.6%,50.4%,38.1%,75.0%,100.0%,13.0%,17.4%,60.0%,-16
2024 Shanghai QF,W vsMedvedev,36.0%,40.0%,62.5%,39.2%,48.5%,54.5%,70.6%,53.3%,38.9%,46.7%,100.0%,11.8%,11.8%,53.3%,-79
2024 Shanghai R16,W vsShelton,42.4%,54.5%,65.8%,48.8%,47.8%,60.9%,75.0%,57.0%,50.0%,42.9%,0.0%,30.0%,40.0%,50.0%,-79
2024 Beijing F,L vsAlcaraz,20.2%,30.2%,52.5%,26.2%,25.4%,42.3%,54.7%,36.3%,48.5%,55.3%,71.4%,14.8%,16.7%,50.0%,25
2024 Beijing SF,W vsYunchaokete,31.2%,48.1%,58.5%,38.4%,42.3%,61.5%,53.3%,53.1%,68.4%,45.5%,-,8.0%,20.0%,65.2%,-79
2024 Beijing R16,W vsSafiullin,28.6%,41.6%,55.8%,38.2%,35.6%,57.8%,69.0%,52.0%,60.0%,48.0%,50.0%,20.7%,20.7%,39.1%,63
2024 Beijing R32,W vsJarry,40.9%,45.5%,63.2%,45.0%,42.2%,48.9%,69.2%,48.2%,30.0%,52.0%,0.0%,40.0%,40.0%,50.0%,-7
2024 US Open F,W vsFritz,27.1%,45.9%,60.7%,36.0%,34.9%,67.4%,82.1%,52.6%,45.0%,43.5%,25.0%,22.2%,27.8%,39.3%,96
2024 US Open SF,W vsDraper,33.3%,44.8%,66.1%,40.1%,43.5%,54.8%,60.0%,54.0%,68.2%,57.5%,0.0%,15.6%,28.1%,74.1%,10
2024 US Open QF,W vsMedvedev,26.8%,37.1%,58.6%,33.2%,31.4%,51.0%,65.7%,43.5%,41.4%,45.5%,0.0%,22.2%,22.2%,51.4%,-46
2024 US Open R16,W vsPaul,30.6%,45.9%,55.2%,37.6%,42.9%,63.3%,64.3%,56.7%,64.7%,53.1%,100.0%,18.8%,29.2%,48.7%,-48
2024 US Open R32,W vsOconnell,36.2%,43.5%,66.7%,41.6%,48.9%,60.0%,65.2%,57.1%,60.0%,50.0%,-,13.6%,13.6%,68.4%,19
2024 US Open R64,W vsMichelsen,38.5%,49.2%,52.6%,44.8%,48.6%,67.6%,63.2%,59.7%,33.3%,45.5%,0.0%,26.9%,26.9%,42.1%,29
2024 US Open R128,W vsMcdonald,33.0%,41.5%,50.0%,37.6%,50.0%,59.6%,50.0%,58.3%,62.5%,46.4%,0.0%,13.5%,21.6%,50.0%,13
2024 Cincinnati F,W vsTiafoe,50.0%,62.1%,66.7%,53.6%,66.7%,75.8%,54.5%,73.0%,73.3%,55.6%,0.0%,30.4%,47.8%,75.0%,42
2024 Cincinnati SF,W vsZverev,33.9%,45.8%,51.9%,39.5%,43.8%,60.3%,46.3%,52.9%,57.6%,50.0%,100.0%,18.2%,22.7%,58.3%,-45
2024 Cincinnati QF,W vsRublev,37.8%,48.9%,43.1%,43.7%,57.8%,73.3%,57.9%,69.6%,50.0%,73.7%,-,20.0%,27.5%,34.4%,77
2024 Cincinnati R32,W vsMichelsen,31.3%,43.4%,56.6%,37.0%,40.9%,56.8%,53.8%,51.6%,45.5%,54.5%,60.0%,22.9%,31.4%,59.3%,76
2024 Canada QF,L vsRublev,39.7%,47.9%,40.0%,42.6%,53.5%,60.5%,45.0%,58.4%,42.1%,75.0%,50.0%,23.1%,34.6%,35.0%,102
