Location;Surface;Local;Visitante;W_OR_L
Indian Wells;Hard;Munar J.;Nishikori K.;0
Indian Wells;Hard;Oconnell C.;Carballes Baena R.;1
Indian Wells;Hard;Kecmanovic M.;Griekspoor T.;0
Indian Wells;Hard;Yunchaokete B.;Basavareddy N.;1
Indian Wells;Hard;Marozsan F.;Martinez P.;1
Indian Wells;Hard;Dzumhur D.;Bautista Agut R.;1
Indian Wells;Hard;Opelka R.;Safiullin R.;0
Indian Wells;Hard;Moutet C.;Thompson J.;1
Indian Wells;Hard;Nardi L.;Norrie C.;0
Indian Wells;Hard;Hijikata R.;Shevchenko A.;1
Indian Wells;Hard;Fonseca J.;Fearnley J.;1
Indian Wells;Hard;Etcheverry T.;Mensik J.;0
Indian Wells;Hard;Mcdonald M.;Davidovich Fokina A.;1
Indian Wells;Hard;Diallo G.;Zhang Z.;1
Indian Wells;Hard;Kovacevic A.;Arnaldi M.;0
Indian Wells;Hard;Monfils G.;Struff J.L.;1
Indian Wells;Hard;Gaston H.;Darderi L.;1
Indian Wells;Hard;Rinderknech A.;Borges N.;0
Indian Wells;Hard;Goffin D.;Sonego L.;1
Indian Wells;Hard;Halys Q.;Carreno Busta P.;1
Indian Wells;Hard;Navone M.;Tien L.;1
Indian Wells;Hard;Nishikori K.;Humbert U.;0
Indian Wells;Hard;Zverev A.;Griekspoor T.;0
Indian Wells;Hard;Popyrin A.;Bergs Z.;1
Indian Wells;Hard;Norrie C.;Lehecka J.;1
Indian Wells;Hard;Ruud C.;Giron M.;0
Indian Wells;Hard;Oconnell C.;Berrettini M.;0
Indian Wells;Hard;Safiullin R.;Musetti L.;0
Indian Wells;Hard;Moutet C.;Rune H.;0
Indian Wells;Hard;Fils A.;Diallo G.;1
Indian Wells;Hard;Medvedev D.;Yunchaokete B.;1
Indian Wells;Hard;Tiafoe F.;Dzumhur D.;1
Indian Wells;Hard;Fonseca J.;Draper J.;0
Indian Wells;Hard;Rublev A.;Arnaldi M.;0
Indian Wells;Hard;Walton A.;Shapovalov D.;0
Indian Wells;Hard;Cerundolo F.;Mcdonald M.;1
Indian Wells;Hard;Alcaraz C.;Halys Q.;1
Indian Wells;Hard;Van De Zandschulp B.;Djokovic N.;1
Indian Wells;Hard;Gaston H.;Hurkacz H.;0
Indian Wells;Hard;Nakashima B.;Hijikata R.;1
Indian Wells;Hard;Khachanov K.;Mensik J.;1
Indian Wells;Hard;Dimitrov G.;Borges N.;1
Indian Wells;Hard;Shelton B.;Navone M.;1
Indian Wells;Hard;Goffin D.;De Minaur A.;0
Indian Wells;Hard;Korda S.;Monfils G.;0
Indian Wells;Hard;Norrie C.;Paul T.;0
Indian Wells;Hard;Giron M.;Popyrin A.;1
Indian Wells;Hard;Tsitsipas S.;Berrettini M.;1
Indian Wells;Hard;Medvedev D.;Michelsen A.;1
Indian Wells;Hard;Rune H.;Humbert U.;1
Indian Wells;Hard;Musetti L.;Fils A.;0
Indian Wells;Hard;Van De Zandschulp B.;Cerundolo F.;0
Indian Wells;Hard;De Minaur A.;Hurkacz H.;1
Indian Wells;Hard;Fritz T.;Tabilo A.;1
Indian Wells;Hard;Nakashima B.;Arnaldi M.;1
Indian Wells;Hard;Khachanov K.;Shelton B.;0
Indian Wells;Hard;Alcaraz C.;Shapovalov D.;1
Indian Wells;Hard;Dimitrov G.;Monfils G.;1
Indian Wells;Hard;Tsitsipas S.;Rune H.;0
Indian Wells;Hard;Fils A.;Giron M.;1
Indian Wells;Hard;Medvedev D.;Paul T.;1
Indian Wells;Hard;Nakashima B.;Shelton B.;0
Indian Wells;Hard;De Minaur A.;Cerundolo F.;0
Indian Wells;Hard;Fritz T.;Draper J.;0
Indian Wells;Hard;Dimitrov G.;Alcaraz C.;0
Indian Wells;Hard;Rune H.;Griekspoor T.;1
Indian Wells;Hard;Medvedev D.;Fils A.;1
Indian Wells;Hard;Draper J.;Shelton B.;1
Indian Wells;Hard;Alcaraz C.;Cerundolo F.;1
Indian Wells;Hard;Rune H.;Medvedev D.;1
Indian Wells;Hard;Draper J.;Alcaraz C.;1
Indian Wells;Hard;Rune H.;Draper J.;0
Miami;Hard;Vukic A.;Goffin D.;0
Miami;Hard;Baez S.;Bublik A.;0
Miami;Hard;Hijikata R.;Medjedovic H.;1
Miami;Hard;Monfils G.;Marozsan F.;1
Miami;Hard;Carballes Baena R.;Oconnell C.;1
Miami;Hard;Kecmanovic M.;Kovacevic A.;1
Miami;Hard;Rinderknech A.;Munar J.;0
Miami;Hard;Bergs Z.;Borges N.;1
Miami;Hard;Fearnley J.;Bonzi B.;1
Miami;Hard;Gaston H.;Nishioka Y.;1
Miami;Hard;Darderi L.;Martinez P.;1
Miami;Hard;Norrie C.;Yunchaokete B.;0
Miami;Hard;Giron M.;Thompson J.;0
Miami;Hard;Davidovich Fokina A.;Struff J.L.;1
Miami;Hard;Diallo G.;Etcheverry T.;1
Miami;Hard;Sonego L.;Navone M.;1
Miami;Hard;Tien L.;Fonseca J.;0
Miami;Hard;Mensik J.;Bautista Agut R.;1
Miami;Hard;Ruud C.;Kecmanovic M.;1
Miami;Hard;Musetti L.;Halys Q.;1
Miami;Hard;Ugo Carabelli C.;Michelsen A.;1
Miami;Hard;Medvedev D.;Munar J.;0
Miami;Hard;Lehecka J.;Monfils G.;0
Miami;Hard;Djokovic N.;Hijikata R.;1
Miami;Hard;Tabilo A.;Moutet C.;1
Miami;Hard;Nakashima B.;Carballes Baena R.;1
Miami;Hard;Paul T.;Bublik A.;1
Miami;Hard;Cerundolo F.;Muller A.;1
Miami;Hard;Alcaraz C.;Goffin D.;0
Miami;Hard;Darderi L.;Walton A.;0
Miami;Hard;Zverev A.;Fearnley J.;1
Miami;Hard;Fritz T.;Sonego L.;1
Miami;Hard;Machac T.;Arnaldi M.;1
Miami;Hard;Draper J.;Mensik J.;0
Miami;Hard;Popyrin A.;Safiullin R.;0
Miami;Hard;Rune H.;Opelka R.;0
Miami;Hard;Fonseca J.;Humbert U.;1
Miami;Hard;Bergs Z.;Rublev A.;1
Miami;Hard;Gaston H.;Berrettini M.;0
Miami;Hard;Tiafoe F.;Davidovich Fokina A.;1
