Elo Rank,Player,Age,Elo,Unnamed: 4,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Unnamed: 11,Peak Elo,Peak Month,Unnamed: 14,ATP Rank,Log diff
1,Jannik Sinner,23.4,2209.6,,1,2175.7,3,2036.3,3,1964.0,,2329.6,2025-01,,1.0,0.0
2,Carlos Alcaraz,21.9,2165.9,,3,2088.7,1,2126.0,1,2075.0,,2243.6,2023-08,,3.0,-0.41
3,Novak Djokovic,37.9,2147.8,,2,2107.8,2,2060.2,2,2030.4,,2463.2,2016-05,,6.0,-0.69
4,Jack Draper,23.3,2084.8,,4,2028.3,9,1931.1,5,1892.2,,2103.8,2025-04,,5.0,-0.22
5,Alexander Zverev,28.0,2069.7,,5,2025.8,4,2010.2,7,1883.5,,2176.5,2022-01,,2.0,0.92
6,Taylor Fritz,27.4,2017.2,,6,1967.5,10,1925.2,9,1875.9,,2054.0,2025-01,,4.0,0.41
7,Daniil Medvedev,29.1,2002.1,,7,1960.6,12,1922.5,4,1897.0,,2201.2,2022-01,,11.0,-0.45
8,Alex De Minaur,26.1,1999.3,,9,1935.2,16,1901.8,11,1834.6,,2053.1,2024-06,,8.0,0.0
9,Lorenzo Musetti,23.1,1999.0,,23,1867.7,6,1972.0,6,1890.8,,2007.8,2025-04,,9.0,0.0
10,Grigor Dimitrov,33.9,1989.5,,8,1942.7,15,1905.4,13,1815.6,,2111.5,2014-08,,15.0,-0.41
11,Casper Ruud,26.3,1988.1,,16,1896.2,5,1984.3,36,1717.3,,2071.9,2022-05,,7.0,0.45
12,Tommy Paul,27.9,1980.2,,10,1920.4,17,1879.9,8,1878.2,,2008.2,2024-08,,12.0,0.0
13,Holger Rune,21.9,1967.6,,12,1914.5,11,1922.9,14,1813.7,,2082.0,2023-05,,10.0,0.26
14,Stefanos Tsitsipas,26.6,1956.6,,18,1891.8,7,1966.6,18,1782.3,,2145.1,2021-05,,19.0,-0.31
15,Matteo Berrettini,29.0,1956.4,,21,1875.0,8,1940.1,10,1874.2,,2065.7,2022-07,,30.0,-0.69
16,Arthur Fils,20.8,1953.9,,19,1887.5,13,1913.0,15,1813.0,,1985.4,2025-04,,14.0,0.13
17,Jakub Mensik,19.6,1951.1,,11,1917.0,24,1821.8,52,1677.4,,1968.7,2025-04,,21.0,-0.21
18,Francisco Cerundolo,26.6,1949.9,,20,1876.8,14,1912.1,27,1733.6,,1961.6,2025-04,,18.0,0.0
19,Tomas Machac,24.5,1943.7,,13,1912.6,27,1805.6,26,1736.4,,1972.7,2025-04,,20.0,-0.05
20,Gael Monfils,38.6,1931.3,,17,1894.3,44,1753.6,31,1724.4,,2087.1,2016-10,,43.0,-0.77
21,Joao Fonseca,18.6,1926.9,,14,1910.3,28,1804.3,66,1644.0,,1992.5,2025-03,,65.0,-1.13
22,Ben Shelton,22.5,1925.7,,22,1874.6,23,1827.1,28,1733.4,,1975.5,2024-10,,13.0,0.53
23,Hubert Hurkacz,28.1,1914.6,,25,1862.3,19,1856.7,12,1825.0,,2022.5,2024-06,,31.0,-0.3
