Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
19,Daniil Medvedev[RUS],7,12,36.8%,11,4,7,36.4%,2016,2024,19,0.94,8.6%,3.7%,70.5%,71.3%,47.7%,64.3%,33.6%,62.3%,31.2%
16,Stefanos Tsitsipas[GRE],6,10,37.5%,6,2,4,33.3%,2018,2024,16,0.97,8.2%,5.4%,69.2%,71.0%,44.9%,62.9%,35.8%,55.2%,36.7%
13,Novak Djokovic[SRB],5,8,38.5%,7,4,3,57.1%,2017,2025,12,0.97,15.3%,5.7%,66.8%,75.0%,48.3%,66.1%,32.7%,46.9%,27.4%
12,Taylor Fritz[USA],5,7,41.7%,10,2,8,20.0%,2016,2024,12,1.03,10.5%,3.9%,71.2%,77.6%,50.2%,69.7%,31.3%,72.1%,35.3%
12,Dominic Thiem[AUT],4,8,33.3%,4,1,3,25.0%,2016,2023,12,0.93,8.1%,5.2%,65.6%,68.0%,48.6%,61.3%,36.0%,53.8%,33.0%
11,Carlos Alcaraz[ESP],6,5,54.5%,4,2,2,50.0%,2021,2024,11,0.98,9.2%,4.0%,74.0%,70.2%,44.3%,63.5%,35.8%,53.7%,35.0%
11,Rafael Nadal[ESP],4,7,36.4%,4,3,1,75.0%,2016,2024,11,0.91,9.4%,5.6%,67.0%,66.8%,42.2%,58.7%,37.7%,52.9%,37.6%
10,Andrey Rublev[RUS],7,3,70.0%,3,2,1,66.7%,2016,2024,10,1.25,14.7%,4.6%,69.7%,77.8%,50.0%,69.3%,38.3%,66.7%,48.2%
10,Alex De Minaur[AUS],8,2,80.0%,4,3,1,75.0%,2018,2024,10,1.15,10.4%,4.8%,65.2%,76.9%,49.0%,67.2%,37.6%,67.7%,50.0%
9,Frances Tiafoe[USA],8,1,88.9%,3,2,1,66.7%,2017,2024,9,1.15,13.2%,5.4%,63.9%,75.2%,48.9%,65.7%,39.4%,64.7%,38.4%
9,Denis Shapovalov[CAN],6,3,66.7%,5,3,2,60.0%,2017,2024,8,1.10,8.1%,6.7%,66.2%,75.9%,47.2%,66.2%,37.3%,63.4%,32.1%
9,Grigor Dimitrov[BUL],7,2,77.8%,6,4,2,66.7%,2014,2024,9,1.20,11.8%,3.1%,69.7%,74.6%,54.1%,68.4%,38.0%,75.4%,37.5%
9,Adrian Mannarino[FRA],9,0,100.0%,4,1,3,25.0%,2016,2024,9,1.42,15.4%,4.9%,68.6%,78.6%,53.0%,70.6%,41.7%,74.4%,52.0%
9,John Isner[USA],7,2,77.8%,10,7,3,70.0%,2016,2021,6,1.29,13.3%,4.0%,66.6%,81.6%,64.6%,75.9%,31.2%,84.6%,47.8%
8,Tallon Griekspoor[NED],6,2,75.0%,8,6,2,75.0%,2021,2025,8,1.17,11.5%,2.8%,71.1%,73.9%,55.3%,68.5%,36.7%,61.9%,31.2%
