Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
12,Stefanos Tsitsipas[GRE],6,6,50.0%,5,3,2,60.0%,2017,2022,12,0.97,7.5%,2.6%,60.5%,77.5%,46.4%,65.2%,33.8%,66.3%,36.5%
11,Fabio Fognini[ITA],6,5,54.5%,6,3,3,50.0%,2015,2022,10,1.21,9.5%,3.3%,56.7%,74.7%,54.4%,65.9%,41.2%,51.0%,37.5%
10,Alexander Zverev[GER],3,7,30.0%,3,1,2,33.3%,2016,2024,10,0.80,6.6%,3.2%,62.1%,70.6%,46.9%,61.7%,30.7%,51.8%,33.3%
10,Daniil Medvedev[RUS],2,8,20.0%,4,1,3,25.0%,2016,2023,10,0.80,5.9%,3.4%,60.0%,69.1%,42.6%,58.5%,33.2%,57.3%,33.3%
9,Jannik Sinner[ITA],3,6,33.3%,3,0,3,0.0%,2020,2024,9,0.86,5.4%,3.4%,64.2%,70.3%,39.9%,59.4%,34.9%,57.6%,36.7%
9,Roberto Bautista Agut[ESP],5,4,55.6%,2,2,0,100.0%,2015,2023,9,0.98,11.3%,3.5%,57.7%,73.6%,39.9%,59.3%,39.9%,55.4%,38.9%
9,Daniel Evans[GBR],5,4,55.6%,2,1,1,50.0%,2016,2023,9,1.15,8.4%,3.2%,59.8%,76.8%,47.1%,64.8%,40.4%,64.5%,34.6%
8,Alexander Bublik[KAZ],5,3,62.5%,7,2,5,28.6%,2016,2025,8,1.10,8.5%,2.8%,64.4%,77.1%,52.7%,68.4%,34.8%,68.3%,40.7%
8,Alex De Minaur[AUS],4,4,50.0%,5,1,4,20.0%,2018,2025,8,1.03,5.7%,4.2%,63.6%,69.7%,48.1%,61.9%,39.4%,71.8%,37.9%
8,Casper Ruud[NOR],5,3,62.5%,3,2,1,66.7%,2019,2024,8,1.22,10.8%,2.6%,61.5%,77.9%,49.3%,66.9%,40.5%,37.5%,50.0%
8,Grigor Dimitrov[BUL],4,4,50.0%,3,2,1,66.7%,2017,2024,8,1.07,8.5%,4.5%,62.8%,72.2%,51.0%,64.3%,38.1%,66.7%,38.5%
8,Taylor Fritz[USA],4,4,50.0%,3,1,2,33.3%,2018,2024,8,1.07,9.2%,4.1%,60.7%,74.5%,47.8%,64.0%,38.5%,62.3%,33.3%
8,Marton Fucsovics[HUN],5,3,62.5%,5,3,2,60.0%,2016,2022,8,1.14,2.7%,2.2%,64.0%,73.7%,51.5%,65.7%,39.1%,63.3%,39.7%
7,Felix Auger Aliassime[CAN],6,1,85.7%,7,5,2,71.4%,2018,2025,7,1.07,7.6%,3.2%,66.0%,73.0%,56.4%,67.4%,35.0%,72.0%,23.9%
7,Nikoloz Basilashvili[GEO],4,3,57.1%,2,0,2,0.0%,2018,2025,7,1.11,12.3%,2.9%,55.5%,76.6%,52.0%,65.6%,38.0%,58.6%,54.3%
