Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
11,Alexander Zverev[GER],5,6,45.5%,4,2,2,50.0%,2021,2024,11,1.02,4.3%,2.1%,63.3%,71.1%,52.4%,64.2%,36.5%,65.0%,46.3%
11,Jannik Sinner[ITA],7,4,63.6%,10,6,4,60.0%,2019,2024,11,1.00,4.2%,3.4%,64.4%,66.3%,51.5%,61.0%,38.9%,50.6%,31.5%
8,Novak Djokovic[SRB],3,5,37.5%,8,3,5,37.5%,2022,2025,8,0.96,5.9%,3.5%,67.4%,69.4%,47.3%,62.2%,36.3%,67.1%,25.0%
8,Daniil Medvedev[RUS],6,2,75.0%,3,1,2,33.3%,2021,2024,8,1.12,3.5%,2.1%,67.3%,72.0%,53.7%,66.0%,38.1%,48.6%,40.0%
7,Tallon Griekspoor[NED],6,1,85.7%,4,4,0,100.0%,2021,2024,7,1.41,7.7%,2.6%,62.7%,78.1%,60.6%,71.6%,40.1%,65.0%,37.5%
7,Felix Auger Aliassime[CAN],4,3,57.1%,1,1,0,100.0%,2021,2024,6,1.28,2.9%,3.5%,65.4%,73.3%,54.1%,66.7%,42.5%,72.0%,37.5%
6,Grigor Dimitrov[BUL],4,2,66.7%,0,0,0,-,2022,2025,6,1.26,6.6%,2.9%,67.6%,70.3%,56.6%,65.9%,43.0%,60.0%,48.8%
6,Tommy Paul[USA],4,2,66.7%,5,3,2,60.0%,2022,2024,6,1.13,5.2%,3.6%,65.6%,69.3%,53.5%,63.9%,40.9%,66.7%,29.9%
6,Stefanos Tsitsipas[GRE],6,0,100.0%,4,4,0,100.0%,2021,2024,6,1.30,3.0%,1.7%,70.3%,71.1%,61.4%,68.2%,41.3%,59.5%,50.9%
6,Cameron Norrie[GBR],4,2,66.7%,3,1,2,33.3%,2021,2023,6,1.14,4.7%,3.2%,66.1%,69.8%,51.1%,63.5%,41.6%,61.7%,52.8%
5,Jack Draper[GBR],3,2,60.0%,1,0,1,0.0%,2022,2025,5,1.13,6.2%,3.7%,68.0%,72.6%,46.6%,64.3%,40.4%,59.1%,41.7%
5,Marin Cilic[CRO],4,1,80.0%,1,1,0,100.0%,2021,2025,5,1.17,4.3%,3.4%,66.5%,68.1%,56.8%,64.3%,41.6%,63.6%,35.2%
5,Casper Ruud[NOR],4,1,80.0%,1,1,0,100.0%,2021,2024,5,1.22,9.3%,2.3%,66.1%,72.8%,53.0%,66.1%,41.3%,57.1%,34.7%
5,Sebastian Korda[USA],4,1,80.0%,3,2,1,66.7%,2021,2024,5,1.27,2.8%,2.3%,67.8%,72.3%,54.3%,66.5%,42.7%,65.5%,31.1%
5,Lorenzo Musetti[ITA],4,1,80.0%,1,1,0,100.0%,2020,2024,5,1.24,3.3%,3.8%,69.3%,68.2%,55.8%,64.4%,44.3%,52.0%,44.2%
