Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
60,Rafael Nadal[ESP],31,29,51.7%,19,9,10,47.4%,2006,2024,59,1.04,6.2%,2.1%,65.8%,67.6%,51.9%,62.3%,39.4%,56.7%,40.6%
50,Roger Federer[SUI],27,23,54.0%,28,16,12,57.1%,2006,2020,49,0.98,5.6%,3.2%,64.4%,68.8%,54.6%,63.7%,35.4%,63.7%,39.0%
36,Andy Murray[GBR],25,11,69.4%,16,8,8,50.0%,2006,2017,36,1.13,4.8%,2.5%,63.4%,67.8%,54.3%,62.8%,42.0%,61.5%,43.0%
29,Stan Wawrinka[SUI],23,6,79.3%,11,10,1,90.9%,2004,2023,26,1.23,4.8%,2.1%,65.1%,72.9%,55.8%,66.9%,40.6%,61.4%,37.9%
28,Tomas Berdych[CZE],25,3,89.3%,12,9,3,75.0%,2008,2017,26,1.29,7.4%,2.9%,65.3%,74.6%,54.5%,67.6%,41.6%,63.6%,49.5%
23,Jo Wilfried Tsonga[FRA],17,6,73.9%,13,9,4,69.2%,2008,2019,23,1.30,6.0%,2.0%,65.6%,73.7%,60.4%,69.1%,40.2%,56.8%,38.6%
21,Gael Monfils[FRA],20,1,95.2%,11,9,2,81.8%,2004,2024,19,1.25,3.1%,4.2%,65.3%,72.1%,53.7%,65.7%,42.8%,72.4%,48.5%
21,Marin Cilic[CRO],19,2,90.5%,8,3,5,37.5%,2008,2022,20,1.35,6.5%,2.9%,66.3%,75.3%,56.4%,68.9%,41.9%,74.7%,42.0%
21,David Ferrer[ESP],16,5,76.2%,3,2,1,66.7%,2004,2015,20,1.25,5.7%,2.1%,62.5%,71.7%,53.4%,64.8%,44.0%,56.4%,50.3%
20,Kei Nishikori[JPN],18,2,90.0%,5,2,3,40.0%,2010,2021,19,1.36,7.1%,3.6%,65.7%,76.1%,48.3%,66.6%,45.4%,63.6%,45.8%
20,Juan Martin Del Potro[ARG],16,4,80.0%,10,6,4,60.0%,2007,2019,18,1.23,8.2%,1.9%,64.3%,74.1%,55.6%,67.5%,39.8%,69.8%,40.1%
15,Daniil Medvedev[RUS],10,5,66.7%,5,3,2,60.0%,2017,2023,15,1.08,5.5%,3.5%,62.8%,74.0%,47.7%,64.2%,38.6%,61.6%,48.5%
15,Richard Gasquet[FRA],14,1,93.3%,4,4,0,100.0%,2005,2018,14,1.39,8.4%,2.0%,66.6%,75.7%,54.9%,68.7%,43.5%,70.4%,45.0%
15,Fernando Verdasco[ESP],11,4,73.3%,8,6,2,75.0%,2005,2018,15,1.11,4.8%,2.9%,66.4%,69.3%,51.3%,63.2%,40.8%,65.9%,36.8%
14,Grigor Dimitrov[BUL],13,1,92.9%,7,6,1,85.7%,2012,2025,14,1.32,7.3%,2.6%,68.9%,76.0%,52.7%,68.8%,41.3%,66.2%,48.1%
