Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2025 Indian Wells R64,L vsGriekspoor,35% (6/17),83% (5/6),2/3,35% (6/17),33% (2/6),3/4,1/2,2/2,0/1,0/0
2025 Rio de Janeiro QF,L vsComesana,27% (4/15),75% (3/4),0/4,36% (5/14),20% (1/5),3/3,1/1,1/1,0/0,0/0
2025 Buenos Aires QF,L vsCerundolo,31% (4/13),50% (2/4),0/4,38% (5/13),20% (1/5),1/2,1/1,2/2,0/0,1/1
2025 Australian Open F,L vsSinner,0% (0/16),- (0/0),0/2,29% (4/14),50% (2/4),0/0,0/0,1/1,0/0,1/1
2025 Australian Open QF,W vsPaul,32% (6/19),67% (4/6),1/4,35% (7/20),43% (3/7),3/3,1/1,3/3,1/1,0/0
2025 Australian Open R16,W vsHumbert,50% (8/16),75% (6/8),0/2,19% (3/16),33% (1/3),5/5,2/2,0/0,1/1,0/0
2025 Australian Open R64,W vsMartinez,67% (8/12),75% (6/8),0/0,17% (2/12),100% (2/2),5/5,2/2,0/0,0/0,0/0
2025 United Cup RR,W vsMonteiro,30% (3/10),67% (2/3),0/0,0% (0/10),- (0/0),2/2,2/2,0/0,1/1,0/0
2024 Tour Finals SF,L vsFritz,20% (3/15),33% (1/3),0/1,20% (3/15),67% (2/3),1/1,1/1,3/3,0/0,2/2
2024 Tour Finals RR,W vsRublev,20% (2/10),100% (2/2),0/0,0% (0/10),- (0/0),2/2,2/2,0/0,1/1,0/0
2024 Tour Finals RR,W vsRuud,10% (1/10),100% (1/1),0/0,0% (0/11),- (0/0),1/1,1/1,2/2,1/1,0/0
2024 Tour Finals RR,W vsAlcaraz,36% (4/11),25% (1/4),0/0,9% (1/11),100% (1/1),1/1,1/1,0/0,1/1,0/0
2024 Paris F,W vsHumbert,50% (4/8),100% (4/4),0/0,0% (0/8),- (0/0),4/4,2/2,0/0,1/1,0/0
2024 Paris SF,W vsRune,40% (4/10),50% (2/4),0/1,18% (2/11),50% (1/2),2/2,1/2,1/1,0/1,0/0
2024 Paris QF,W vsTsitsipas,18% (2/11),100% (2/2),0/0,9% (1/11),100% (1/1),2/2,2/2,1/1,1/1,0/0
2024 Vienna R16,W vsGiron,30% (3/10),100% (3/3),0/0,0% (0/10),- (0/0),1/1,0/0,0/0,0/0,0/0
2024 US Open QF,L vsFritz,19% (4/21),50% (2/4),0/1,23% (5/22),60% (3/5),2/2,1/1,4/5,0/0,2/2
2024 US Open R16,W vsNakashima,56% (9/16),67% (6/9),0/1,6% (1/16),0% (0/1),6/6,3/3,0/0,1/1,0/0
2024 US Open R32,W vsEtcheverry,40% (8/20),100% (8/8),1/4,40% (8/20),50% (4/8),5/6,1/1,0/0,0/0,0/0
2024 US Open R64,W vsMuller,43% (6/14),67% (4/6),0/1,7% (1/15),0% (0/1),4/4,2/2,2/2,1/1,0/0
2024 US Open R128,W vsMarterer,56% (10/18),60% (6/10),1/1,21% (4/19),75% (3/4),6/6,3/3,2/2,1/1,0/0
2024 Cincinnati SF,L vsSinner,22% (4/18),75% (3/4),0/2,17% (3/18),33% (1/3),1/2,0/1,1/1,0/0,0/0
2024 Cincinnati QF,W vsShelton,29% (5/17),20% (1/5),0/1,19% (3/16),67% (2/3),1/1,1/1,1/1,1/1,1/1
2024 Canada QF,L vsKorda,40% (6/15),67% (4/6),0/2,29% (4/14),50% (2/4),3/3,0/0,0/0,0/0,0/0
2024 Canada R16,W vsRune,36% (4/11),75% (3/4),0/1,20% (2/10),50% (1/2),1/2,0/1,0/0,0/1,0/0
2024 Canada R32,W vsThompson,71% (5/7),100% (5/5),0/0,0% (0/7),- (0/0),4/4,1/1,0/0,0/0,0/0
2024 Paris Olympics QF,L vsMusetti,17% (2/12),50% (1/2),0/3,25% (3/12),0% (0/3),0/1,0/0,1/1,0/0,0/0
2024 Paris Olympics R16,W vsPopyrin,40% (4/10),75% (3/4),0/1,9% (1/11),0% (0/1),2/2,1/1,1/1,1/1,0/0
2024 Hamburg F,L vsFils,60% (9/15),11% (1/9),0/1,27% (4/15),75% (3/4),1/1,1/1,3/3,0/0,2/2
2024 Hamburg SF,W vsMartinez,56% (5/9),60% (3/5),0/0,11% (1/9),100% (1/1),3/3,2/2,0/0,1/1,0/0
2024 Hamburg QF,W vsZhang,40% (4/10),75% (3/4),0/0,0% (0/9),- (0/0),2/2,1/1,0/0,0/0,0/0
2024 Wimbledon R16,L vsFritz,4% (1/27),100% (1/1),0/2,12% (3/26),33% (1/3),1/1,1/1,3/3,0/0,1/1
2024 Wimbledon R32,W vsNorrie,25% (4/16),50% (2/4),0/0,0% (0/16),- (0/0),2/2,2/2,2/2,0/0,0/0
2024 Wimbledon R64,W vsGiron,46% (6/13),100% (6/6),0/0,0% (0/12),- (0/0),4/4,1/1,0/0,0/0,0/0
2024 Wimbledon R128,W vsCarballes Baena,69% (9/13),56% (5/9),0/0,23% (3/13),100% (3/3),5/5,3/3,0/0,1/1,0/0
2024 Halle SF,L vsHurkacz,9% (1/11),0% (0/1),0/1,9% (1/11),0% (0/1),0/0,0/0,3/3,0/0,1/1
2024 Halle QF,W vsFils,27% (4/15),50% (2/4),0/0,6% (1/16),100% (1/1),2/2,2/2,2/2,1/1,0/0
2024 Halle R16,W vsSonego,18% (2/11),50% (1/2),0/0,0% (0/11),- (0/0),1/1,1/1,2/2,0/0,0/0
2024 Roland Garros F,L vsAlcaraz,50% (11/22),55% (6/11),2/8,55% (12/22),25% (3/12),5/6,2/2,2/3,0/0,0/0
2024 Roland Garros SF,W vsRuud,47% (8/17),63% (5/8),0/1,18% (3/17),33% (1/3),5/5,3/3,0/1,1/1,0/0
2024 Roland Garros R16,W vsRune,54% (13/24),62% (8/13),2/5,24% (6/25),0% (0/6),5/7,1/2,3/4,0/0,1/1
2024 Roland Garros R128,W vsNadal,56% (9/16),67% (6/9),1/2,43% (6/14),67% (4/6),4/4,0/0,1/1,0/0,0/0
2024 Rome F,W vsJarry,45% (5/11),40% (2/5),0/0,0% (0/11),- (0/0),0/0,0/0,0/0,0/0,0/0
2024 Rome SF,W vsTabilo,21% (3/14),67% (2/3),0/2,23% (3/13),33% (1/3),2/2,1/1,0/0,1/1,0/0
2024 Rome QF,W vsFritz,30% (3/10),100% (3/3),0/0,0% (0/9),- (0/0),2/2,1/1,0/0,0/0,0/0
2024 Rome R16,W vsBorges,40% (4/10),100% (4/4),1/1,20% (2/10),50% (1/2),4/4,2/2,1/1,1/1,0/0
2024 Monte Carlo R16,L vsTsitsipas,42% (5/12),40% (2/5),0/2,42% (5/12),40% (2/5),2/2,0/0,5/6,0/0,4/4
2024 Miami SF,L vsDimitrov,13% (2/16),0% (0/2),0/1,13% (2/16),0% (0/2),0/0,0/0,3/4,0/0,3/3
2024 Miami QF,W vsMarozsan,36% (4/11),75% (3/4),0/0,20% (2/10),100% (2/2),1/1,0/0,0/0,0/0,0/0
2024 Miami R16,W vsKhachanov,38% (3/8),100% (3/3),0/0,0% (0/9),- (0/0),3/3,2/2,0/0,1/1,0/0
2024 Miami R32,W vsEubanks,20% (2/10),100% (2/2),1/1,27% (3/11),67% (2/3),2/2,1/1,2/2,1/1,0/0
2024 Miami R64,W vsAuger Aliassime,44% (4/9),75% (3/4),0/0,0% (0/9),- (0/0),3/3,2/2,0/0,1/1,0/0
2024 Indian Wells QF,L vsAlcaraz,0% (0/8),- (0/0),0/3,50% (4/8),0% (0/4),0/0,0/0,1/2,0/0,0/1
2024 Indian Wells R16,W vsDe Minaur,36% (5/14),100% (5/5),1/3,40% (6/15),50% (3/6),3/4,1/1,1/1,1/1,0/0
2024 Indian Wells R32,W vsGriekspoor,36% (4/11),75% (3/4),0/1,20% (2/10),50% (1/2),2/2,0/0,1/1,0/0,0/0
2024 Australian Open SF,L vsMedvedev,22% (6/27),83% (5/6),1/3,30% (8/27),50% (4/8),3/4,1/2,2/3,0/0,0/1
2024 United Cup F,W vsHurkacz,24% (4/17),25% (1/4),0/0,0% (0/17),- (0/0),1/1,1/1,2/2,1/1,0/0
2023 Tour Finals RR,L vsMedvedev,18% (2/11),50% (1/2),0/1,18% (2/11),0% (0/2),1/1,0/0,0/1,0/0,0/1
