Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2025 Indian Wells F,L vsDraper,0% (0/8),- (0/0),0/4,63% (5/8),20% (1/5),0/0,0/0,1/1,0/0,0/0
2025 Indian Wells SF,W vsMedvedev,36% (4/11),75% (3/4),0/1,18% (2/11),50% (1/2),2/3,2/2,1/1,1/1,0/0
2025 Indian Wells QF,W vsGriekspoor,69% (9/13),67% (6/9),0/3,21% (3/14),0% (0/3),4/5,1/1,0/0,1/1,0/0
2025 Indian Wells R16,W vsTsitsipas,40% (4/10),75% (3/4),1/1,30% (3/10),67% (2/3),2/3,2/2,0/0,1/1,0/0
2025 Rotterdam R32,W vsSonego,64% (7/11),29% (2/7),0/1,18% (2/11),50% (1/2),1/1,0/0,2/2,0/0,0/0
2025 Australian Open R16,L vsSinner,17% (3/18),33% (1/3),0/4,29% (5/17),20% (1/5),1/1,1/1,1/1,0/0,0/0
2025 Australian Open R32,W vsKecmanovic,32% (8/25),88% (7/8),1/4,23% (6/26),17% (1/6),4/7,3/3,2/3,1/1,0/0
2025 Brisbane R32,L vsLehecka,40% (4/10),50% (2/4),1/4,45% (5/11),0% (0/5),2/2,0/0,0/1,0/0,0/1
2024 Paris SF,L vsZverev,18% (2/11),50% (1/2),0/2,40% (4/10),50% (2/4),1/1,0/0,2/2,0/0,1/1
2024 Basel SF,L vsMpetshi Perricard,0% (0/11),- (0/0),0/1,9% (1/11),0% (0/1),0/0,0/0,3/3,0/0,1/1
2024 Shanghai R16,L vsFritz,13% (1/8),0% (0/1),0/4,57% (4/7),0% (0/4),0/0,0/0,1/1,0/0,0/0
2024 Tokyo SF,L vsFils,17% (2/12),50% (1/2),1/1,8% (1/12),0% (0/1),1/1,0/0,2/2,0/0,2/2
2024 US Open R128,L vsNakashima,23% (3/13),0% (0/3),0/4,75% (9/12),44% (4/9),0/0,0/0,1/2,0/0,1/1
2024 Cincinnati SF,L vsTiafoe,27% (4/15),50% (2/4),0/3,29% (4/14),25% (1/4),2/2,1/2,0/0,0/1,0/0
2024 Canada R16,L vsZverev,20% (2/10),50% (1/2),1/2,36% (4/11),25% (1/4),1/1,0/0,2/3,0/0,2/2
2024 Wimbledon R16,L vsDjokovic,14% (2/14),0% (0/2),0/4,46% (6/13),33% (2/6),0/0,0/0,2/2,0/0,0/0
2024 Wimbledon R32,W vsHalys,21% (5/24),60% (3/5),0/2,17% (4/24),50% (2/4),3/3,2/2,3/3,1/1,2/2
2024 Wimbledon R128,W vsKwon,54% (7/13),57% (4/7),0/0,0% (0/14),- (0/0),4/4,3/3,0/0,1/1,0/0
2024 Roland Garros R16,L vsZverev,24% (6/25),100% (6/6),2/7,54% (13/24),38% (5/13),3/5,1/1,1/2,0/0,0/1
2024 Madrid R32,L vsGriekspoor,20% (3/15),33% (1/3),0/1,43% (6/14),67% (4/6),1/1,1/1,1/2,0/0,1/1
2024 Munich SF,L vsStruff,14% (1/7),0% (0/1),0/3,71% (5/7),0% (0/5),0/0,0/0,0/2,0/0,0/1
2024 Monte Carlo QF,L vsSinner,13% (2/16),0% (0/2),0/2,27% (4/15),50% (2/4),0/0,0/0,1/1,0/0,0/0
2024 Monte Carlo R16,W vsDimitrov,13% (2/16),50% (1/2),0/2,41% (7/17),57% (4/7),1/1,0/1,3/4,0/0,2/2
2024 Miami R64,L vsMarozsan,29% (2/7),0% (0/2),0/4,71% (5/7),0% (0/5),0/0,0/0,0/1,0/0,0/1
2024 Indian Wells R16,W vsFritz,14% (2/14),50% (1/2),0/1,33% (5/15),60% (3/5),1/1,1/1,2/3,1/1,2/2
2024 Rotterdam R16,L vsShevchenko,23% (3/13),67% (2/3),0/2,15% (2/13),0% (0/2),2/2,1/1,0/0,0/0,0/0
2024 Australian Open R64,L vsCazaux,15% (3/20),33% (1/3),0/2,29% (6/21),50% (3/6),0/0,0/0,3/4,0/0,0/1
2024 Brisbane F,L vsDimitrov,18% (2/11),0% (0/2),0/1,45% (5/11),80% (4/5),0/0,0/0,3/3,0/0,1/1
2024 Brisbane R16,W vsShevchenko,47% (7/15),43% (3/7),0/0,33% (5/15),80% (4/5),3/3,2/2,1/2,1/1,0/0
2023 Tour Finals RR,L vsDjokovic,24% (4/17),75% (3/4),1/4,25% (4/16),0% (0/4),1/3,0/0,3/3,0/0,1/1
2023 Paris QF,L vsDjokovic,6% (1/17),100% (1/1),0/2,24% (4/17),25% (1/4),0/1,0/0,4/5,0/0,3/3
2023 Paris R32,W vsThiem,33% (3/9),100% (3/3),0/0,33% (3/9),100% (3/3),3/3,2/2,0/0,1/1,0/0
2023 Beijing R16,L vsDimitrov,20% (2/10),50% (1/2),0/2,36% (4/11),0% (0/4),1/1,0/0,1/3,0/0,1/2
2023 Beijing R32,W vsAuger Aliassime,30% (3/10),67% (2/3),0/0,0% (0/10),- (0/0),2/2,2/2,0/0,1/1,0/0
2023 US Open R128,L vsCarballes Baena,17% (3/18),100% (3/3),1/6,44% (8/18),13% (1/8),1/3,1/1,0/1,0/0,0/0
2023 Wimbledon QF,L vsAlcaraz,6% (1/16),0% (0/1),0/2,19% (3/16),33% (1/3),0/0,0/0,3/3,0/0,1/1
2023 Wimbledon R16,W vsDimitrov,29% (6/21),33% (2/6),0/2,10% (2/21),0% (0/2),2/2,1/1,2/2,1/1,0/0
2023 Wimbledon R64,W vsCarballes Baena,47% (7/15),71% (5/7),2/3,38% (6/16),50% (3/6),3/4,1/1,2/2,0/0,0/0
2023 Wimbledon R128,W vsLoffhagen,43% (6/14),50% (3/6),0/0,13% (2/15),100% (2/2),3/3,2/2,2/2,1/1,0/0
2023 Queen's Club QF,W vsMusetti,36% (4/11),75% (3/4),0/1,18% (2/11),50% (1/2),3/3,2/2,1/1,1/1,0/0
2023 Queen's Club R32,W vsCressy,25% (3/12),33% (1/3),0/1,25% (3/12),67% (2/3),1/1,0/0,3/3,0/0,0/0
2023 Roland Garros QF,L vsRuud,18% (3/17),33% (1/3),0/5,50% (8/16),38% (3/8),1/1,1/1,2/2,0/0,1/1
2023 Roland Garros R16,W vsCerundolo,20% (5/25),80% (4/5),0/6,40% (10/25),30% (3/10),2/3,0/2,2/3,0/1,1/1
2023 Rome F,L vsMedvedev,33% (4/12),50% (2/4),0/2,33% (4/12),0% (0/4),2/2,0/1,1/3,0/0,0/1
2023 Rome SF,W vsRuud,27% (4/15),100% (4/4),0/1,20% (3/15),67% (2/3),2/2,0/0,2/2,0/0,0/0
2023 Rome QF,W vsDjokovic,54% (7/13),71% (5/7),0/1,31% (4/13),50% (2/4),4/5,2/2,1/2,1/1,0/0
