Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2025 Indian Wells R32,L vsDe Minaur,13% (1/8),0% (0/1),0/4,50% (4/8),0% (0/4),0/0,0/0,1/1,0/0,0/0
2025 Indian Wells R64,W vsGaston,20% (2/10),100% (2/2),0/0,27% (3/11),100% (3/3),1/1,1/1,0/0,1/1,0/0
2025 Marseille R16,L vsZhang,13% (2/16),0% (0/2),0/2,33% (5/15),60% (3/5),0/0,0/0,1/1,0/0,0/0
2025 Rotterdam SF,L vsAlcaraz,25% (4/16),25% (1/4),0/3,27% (4/15),25% (1/4),1/1,0/0,1/1,0/0,1/1
2025 Rotterdam QF,W vsRublev,33% (5/15),60% (3/5),0/1,13% (2/16),50% (1/2),3/3,2/2,2/2,1/1,0/0
2025 Rotterdam R32,W vsCobolli,50% (4/8),75% (3/4),0/0,11% (1/9),100% (1/1),3/3,2/2,0/0,1/1,0/0
2025 Australian Open R64,L vsKecmanovic,7% (1/14),0% (0/1),0/4,36% (5/14),20% (1/5),0/0,0/0,2/2,0/0,0/0
2025 Australian Open R128,W vsGriekspoor,50% (8/16),50% (4/8),0/1,6% (1/16),0% (0/1),1/1,0/0,0/0,0/0,0/0
2025 United Cup F,L vsFritz,6% (1/17),100% (1/1),0/1,12% (2/17),50% (1/2),0/0,0/0,1/1,0/0,0/0
2025 United Cup SF,W vsShevchenko,38% (3/8),100% (3/3),0/0,0% (0/9),- (0/0),3/3,2/2,0/0,1/1,0/0
2025 United Cup QF,W vsHarris,17% (2/12),50% (1/2),0/0,8% (1/12),100% (1/1),1/1,1/1,1/1,1/1,0/0
2025 United Cup RR,L vsRuud,18% (2/11),0% (0/2),0/1,30% (3/10),33% (1/3),0/0,0/0,2/3,0/0,1/1
2025 United Cup RR,L vsMachac,13% (2/15),50% (1/2),0/1,25% (4/16),50% (2/4),1/1,1/1,0/1,0/0,0/1
2024 Paris R64,L vsMichelsen,0% (0/8),- (0/0),0/3,75% (6/8),33% (2/6),0/0,0/0,0/1,0/0,0/0
2024 Tokyo R16,L vsDraper,20% (2/10),0% (0/2),0/2,30% (3/10),33% (1/3),0/0,0/0,2/2,0/0,1/1
