Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2025 Australian Open F,W vsZverev,29% (4/14),50% (2/4),0/0,0% (0/16),- (0/0),2/2,2/2,2/2,1/1,0/0
2025 Australian Open SF,W vsShelton,64% (9/14),67% (6/9),1/2,36% (5/14),60% (3/5),5/5,2/2,0/0,1/1,0/0
2025 Australian Open QF,W vsDe Minaur,50% (6/12),100% (6/6),0/0,8% (1/12),100% (1/1),5/5,2/2,0/0,0/0,0/0
2025 Australian Open R16,W vsRune,29% (5/17),80% (4/5),0/1,17% (3/18),67% (2/3),4/4,3/3,0/0,1/1,0/0
2025 Australian Open R32,W vsGiron,54% (7/13),71% (5/7),1/1,29% (4/14),75% (3/4),5/5,3/3,0/0,1/1,0/0
2025 Australian Open R64,W vsSchoolkate,33% (6/18),83% (5/6),0/0,6% (1/18),0% (0/1),4/4,2/2,0/1,1/1,0/0
2025 Australian Open R128,W vsJarry,27% (4/15),50% (2/4),0/0,6% (1/16),100% (1/1),2/2,1/1,2/2,1/1,0/0
2024 Davis Cup RR,W vsGriekspoor,30% (3/10),100% (3/3),1/1,20% (2/10),50% (1/2),2/3,1/1,0/0,1/1,0/0
2024 Davis Cup RR,W vsDe Minaur,33% (3/9),100% (3/3),0/1,10% (1/10),0% (0/1),2/3,2/2,0/0,1/1,0/0
2024 Tour Finals SF,W vsRuud,57% (4/7),100% (4/4),0/0,13% (1/8),100% (1/1),4/4,2/2,0/0,1/1,0/0
2024 Tour Finals RR,W vsDe Minaur,33% (3/9),100% (3/3),1/1,10% (1/10),0% (0/1),3/3,2/2,0/0,1/1,0/0
2024 Tour Finals RR,W vsFritz,40% (4/10),50% (2/4),0/0,10% (1/10),100% (1/1),0/0,0/0,0/0,0/0,0/0
