Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2025 Miami F,L vsMensik,8% (1/12),100% (1/1),0/1,17% (2/12),50% (1/2),1/1,0/0,2/2,0/0,0/0
2025 Miami SF,W vsDimitrov,63% (5/8),80% (4/5),1/1,11% (1/9),0% (0/1),3/3,1/1,0/0,1/1,0/0
2025 Miami QF,W vsKorda,20% (2/10),100% (2/2),0/1,9% (1/11),0% (0/1),2/2,1/1,3/3,0/0,0/0
2025 Miami R16,W vsMusetti,75% (6/8),83% (5/6),0/1,13% (1/8),0% (0/1),3/3,0/0,0/0,0/0,0/0
2025 Miami R64,W vsHijikata,44% (4/9),75% (3/4),0/0,11% (1/9),100% (1/1),2/2,0/0,0/0,0/0,0/0
2025 Indian Wells R64,L vsVan De Zandschulp,17% (2/12),100% (2/2),0/5,42% (5/12),0% (0/5),1/2,1/2,1/1,0/0,0/0
2025 Doha R32,L vsBerrettini,10% (1/10),0% (0/1),0/1,30% (3/10),33% (1/3),0/0,0/0,0/1,0/0,0/1
2025 Australian Open QF,W vsAlcaraz,53% (10/19),60% (6/10),1/4,30% (6/20),33% (2/6),3/5,2/2,0/0,1/1,0/0
2025 Australian Open R16,W vsLehecka,53% (8/15),38% (3/8),0/1,13% (2/16),50% (1/2),2/3,2/2,2/2,0/0,0/0
2025 Australian Open R32,W vsMachac,69% (9/13),56% (5/9),1/1,21% (3/14),67% (2/3),5/5,3/3,0/0,1/1,0/0
2025 Australian Open R128,W vsBasavareddy,50% (9/18),44% (4/9),0/1,11% (2/19),50% (1/2),4/4,3/3,1/1,1/1,0/0
2025 Brisbane QF,L vsOpelka,9% (1/11),0% (0/1),0/1,20% (2/10),50% (1/2),0/0,0/0,1/1,0/0,1/1
2025 Brisbane R16,W vsMonfils,33% (3/9),100% (3/3),0/0,11% (1/9),100% (1/1),2/2,1/1,0/0,0/0,0/0
2025 Brisbane R32,W vsHijikata,33% (3/9),100% (3/3),0/0,0% (0/9),- (0/0),2/2,1/1,0/0,0/0,0/0
2024 Shanghai F,L vsSinner,0% (0/11),- (0/0),0/1,10% (1/10),0% (0/1),0/0,0/0,1/1,0/0,1/1
2024 Shanghai SF,W vsFritz,36% (4/11),25% (1/4),0/0,9% (1/11),100% (1/1),1/1,1/1,2/2,0/0,0/0
2024 Shanghai QF,W vsMensik,43% (6/14),67% (4/6),0/1,7% (1/15),0% (0/1),3/4,2/3,1/1,1/1,0/0
2024 Shanghai R16,W vsSafiullin,50% (4/8),75% (3/4),0/0,22% (2/9),100% (2/2),3/3,2/2,0/0,1/1,0/0
2024 Shanghai R32,W vsCobolli,57% (4/7),100% (4/4),0/0,0% (0/8),- (0/0),4/4,2/2,0/0,1/1,0/0
2024 US Open R32,L vsPopyrin,37% (7/19),57% (4/7),2/5,26% (5/19),0% (0/5),3/3,0/0,2/2,0/0,1/1
2024 US Open R128,W vsAlbot,69% (9/13),67% (6/9),1/1,15% (2/13),50% (1/2),5/6,3/3,0/0,1/1,0/0
2024 Paris Olympics F,W vsAlcaraz,33% (4/12),0% (0/4),0/0,17% (2/12),100% (2/2),0/0,0/0,2/2,0/0,0/0
2024 Paris Olympics SF,W vsMusetti,67% (6/9),83% (5/6),2/2,33% (3/9),33% (1/3),2/3,0/0,0/0,0/0,0/0
