Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2025 Miami R64,L vsGoffin,75% (12/16),40% (2/5),1/2,0/0,43% (3/7),1/3,1/2,- (0/0),- (0/0)
2025 Indian Wells SF,L vsDraper,44% (7/16),44% (4/9),1/3,0/0,20% (1/5),0/2,0/1,- (0/0),- (0/0)
2025 Indian Wells QF,W vsCerundolo,67% (10/15),67% (2/3),2/2,1/1,89% (8/9),0/0,0/0,83% (5/6),40% (2/5)
2025 Indian Wells R16,W vsDimitrov,70% (7/10),36% (5/14),2/3,1/1,100% (3/3),0/0,0/0,- (0/0),- (0/0)
2025 Indian Wells R32,W vsShapovalov,42% (8/19),50% (4/8),2/4,1/1,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2025 Indian Wells R64,W vsHalys,64% (9/14),60% (3/5),2/3,1/2,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2025 Doha QF,L vsLehecka,71% (10/14),43% (3/7),1/2,0/0,50% (4/8),3/5,0/1,- (0/0),- (0/0)
2025 Doha R32,W vsCilic,90% (9/10),30% (3/10),2/2,1/1,83% (5/6),0/0,0/0,- (0/0),- (0/0)
2025 Rotterdam F,W vsDe Minaur,79% (11/14),50% (4/8),2/3,1/2,60% (3/5),0/1,0/0,- (0/0),- (0/0)
2025 Rotterdam SF,W vsHurkacz,88% (15/17),33% (3/9),2/3,1/2,83% (5/6),0/1,0/0,67% (4/6),17% (1/6)
2025 Rotterdam QF,W vsMartinez,70% (7/10),50% (5/10),2/3,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2025 Rotterdam R16,W vsVavassori,100% (7/7),63% (5/8),2/2,1/1,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2025 Rotterdam R32,W vsVan De Zandschulp,58% (11/19),44% (4/9),2/3,1/1,57% (4/7),2/3,0/0,60% (3/5),80% (4/5)
2025 Australian Open QF,L vsDjokovic,57% (13/23),36% (4/11),1/1,0/0,54% (7/13),0/3,0/1,- (0/0),- (0/0)
2025 Australian Open R32,W vsBorges,76% (19/25),38% (5/13),3/4,1/1,100% (3/3),2/3,0/0,20% (1/5),40% (2/5)
2025 Australian Open R64,W vsNishioka,71% (12/17),60% (6/10),3/4,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2025 Australian Open R128,W vsShevchenko,65% (11/17),42% (8/19),3/10,1/5,50% (2/4),0/0,0/0,- (0/0),- (0/0)
2024 Davis Cup RR,W vsGriekspoor,100% (10/10),40% (2/5),2/2,1/1,0% (0/1),0/0,0/0,100% (4/4),100% (3/3)
2024 Tour Finals RR,L vsRuud,83% (5/6),17% (1/6),0/0,0/0,0% (0/4),2/4,2/3,- (0/0),- (0/0)
2024 Tour Finals RR,L vsZverev,56% (10/18),0% (0/2),0/0,0/0,88% (7/8),2/4,0/1,50% (3/6),33% (2/6)
2024 Tour Finals RR,W vsRublev,71% (10/14),50% (2/4),2/3,1/2,- (0/0),2/2,0/0,89% (8/9),22% (2/9)
2024 Paris R16,L vsHumbert,69% (11/16),25% (1/4),1/1,0/0,50% (3/6),1/3,1/2,- (0/0),- (0/0)
2024 Paris R32,W vsJarry,100% (9/9),80% (4/5),2/3,1/1,83% (5/6),0/0,0/0,- (0/0),- (0/0)
2024 Shanghai QF,L vsMachac,71% (10/14),13% (1/8),0/0,0/0,50% (2/4),1/3,0/1,33% (2/6),50% (3/6)
2024 Shanghai R16,W vsMonfils,65% (11/17),33% (2/6),2/3,1/1,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2024 Shanghai R64,W vsShang,47% (8/17),57% (4/7),2/4,1/2,100% (1/1),0/0,0/0,- (0/0),- (0/0)
