Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2025 Miami R64,W vsKecmanovic,57% (13/23),40% (2/5),2/3,1/1,78% (7/9),1/2,0/0,- (0/0),- (0/0)
2025 Indian Wells R64,L vsGiron,46% (11/24),27% (3/11),1/6,0/0,57% (4/7),1/3,1/2,60% (3/5),17% (1/6)
2025 Dallas F,L vsShapovalov,64% (9/14),0% (0/1),0/0,0/0,80% (4/5),1/3,0/1,50% (3/6),33% (2/6)
2025 Dallas SF,W vsMunar,65% (11/17),50% (3/6),2/3,1/2,50% (3/6),0/1,0/0,60% (3/5),67% (4/6)
2025 Australian Open R64,L vsMensik,57% (12/21),13% (1/8),1/1,0/0,69% (11/16),1/4,0/1,- (0/0),- (0/0)
2025 Australian Open R128,W vsMunar,65% (17/26),42% (5/12),3/3,1/1,38% (3/8),1/3,0/0,- (0/0),- (0/0)
2025 United Cup RR,W vsHurkacz,69% (11/16),33% (2/6),2/6,1/4,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2024 Tour Finals SF,L vsSinner,100% (3/3),0% (0/2),0/0,0/0,43% (3/7),0/2,0/1,- (0/0),- (0/0)
2024 Tour Finals RR,L vsZverev,75% (9/12),- (0/0),0/0,0/0,0% (0/1),2/4,0/1,60% (3/5),0% (0/5)
2024 Tour Finals RR,W vsAlcaraz,56% (9/16),100% (4/4),2/4,1/3,83% (5/6),0/0,0/0,- (0/0),- (0/0)
2024 Tour Finals RR,W vsRublev,74% (14/19),75% (3/4),2/3,1/1,75% (3/4),3/4,0/0,- (0/0),- (0/0)
2024 US Open R16,L vsFritz,64% (14/22),17% (1/6),1/1,0/0,60% (6/10),2/5,0/1,- (0/0),- (0/0)
2024 US Open R32,W vsShang,69% (18/26),39% (9/23),3/5,1/1,82% (14/17),1/3,0/0,25% (1/4),0% (0/4)
2024 US Open R64,W vsMonfils,63% (15/24),50% (5/10),3/5,1/3,0% (0/4),0/1,0/0,100% (5/5),40% (2/5)
2024 US Open R128,W vsYunchaokete,71% (12/17),67% (6/9),3/4,1/2,33% (1/3),0/0,0/0,100% (5/5),50% (2/4)
2024 Cincinnati R32,L vsAuger Aliassime,60% (3/5),100% (1/1),0/0,0/0,50% (5/10),2/4,0/1,- (0/0),- (0/0)
2024 Paris Olympics R16,W vsCerundolo,67% (10/15),50% (2/4),2/2,1/1,100% (3/3),0/0,0/0,- (0/0),- (0/0)
2024 Wimbledon R64,L vsFognini,62% (16/26),15% (2/13),1/1,0/0,38% (3/8),7/10,4/5,100% (4/4),75% (3/4)
2024 Wimbledon R128,W vsBolt,75% (15/20),23% (3/13),3/9,1/6,90% (9/10),0/0,0/0,80% (4/5),75% (3/4)
2024 Roland Garros SF,L vsZverev,67% (12/18),67% (2/3),1/1,0/0,58% (7/12),0/3,0/1,- (0/0),- (0/0)
2024 Roland Garros R64,W vsDavidovich Fokina,69% (18/26),36% (5/14),3/4,1/1,64% (9/14),1/3,0/0,67% (4/6),50% (3/6)
2024 Geneva F,W vsMachac,48% (10/21),75% (3/4),2/2,1/1,0% (0/1),1/1,0/0,- (0/0),- (0/0)
2024 Rome R64,L vsKecmanovic,60% (9/15),56% (5/9),1/1,0/0,71% (10/14),0/2,0/1,- (0/0),- (0/0)
2024 Barcelona F,W vsTsitsipas,91% (10/11),50% (3/6),2/2,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2024 Barcelona QF,W vsArnaldi,67% (8/12),67% (4/6),2/2,1/1,75% (6/8),0/0,0/0,- (0/0),- (0/0)
2024 Barcelona R16,W vsThompson,90% (9/10),50% (3/6),2/2,1/1,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2024 Barcelona R32,W vsMuller,67% (6/9),38% (6/16),2/3,1/1,63% (5/8),0/0,0/0,- (0/0),- (0/0)
2024 Monte Carlo F,L vsTsitsipas,71% (5/7),0% (0/8),0/0,0/0,50% (4/8),1/3,0/1,- (0/0),- (0/0)
2024 Monte Carlo SF,W vsDjokovic,56% (9/16),57% (4/7),2/4,1/3,20% (1/5),0/1,0/0,- (0/0),- (0/0)
2024 Monte Carlo QF,W vsHumbert,79% (11/14),63% (5/8),2/3,1/2,71% (5/7),1/2,0/0,- (0/0),- (0/0)
2024 Monte Carlo R16,W vsHurkacz,69% (9/13),30% (3/10),2/8,1/5,- (0/0),0/0,0/0,- (0/0),- (0/0)
2024 Monte Carlo R32,W vsTabilo,73% (8/11),40% (4/10),2/2,1/1,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2024 Estoril SF,L vsMartinez,42% (11/26),25% (3/12),1/3,0/0,60% (6/10),4/6,3/4,- (0/0),- (0/0)
2024 Estoril QF,W vsFucsovics,90% (9/10),60% (3/5),2/3,1/2,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2024 Miami R16,L vsJarry,53% (8/15),50% (1/2),0/0,0/0,67% (4/6),0/2,0/1,60% (3/5),0% (0/5)
2024 Miami R64,W vsVan Assche,92% (11/12),29% (2/7),2/3,1/1,0% (0/2),0/1,0/0,83% (5/6),33% (2/6)
2024 Indian Wells QF,L vsPaul,41% (7/17),36% (4/11),1/2,0/0,67% (10/15),1/3,1/2,- (0/0),- (0/0)
2024 Indian Wells R32,W vsFils,90% (9/10),43% (3/7),2/2,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2024 Acapulco F,L vsDe Minaur,33% (7/21),25% (1/4),0/0,0/0,25% (1/4),0/2,0/1,- (0/0),- (0/0)
2024 Acapulco R16,W vsLajovic,79% (11/14),40% (2/5),2/5,1/2,100% (1/1),0/0,0/0,- (0/0),- (0/0)
