Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2025 Indian Wells F,L vsDraper,67% (4/6),- (0/0),0/0,0/0,43% (3/7),1/3,1/2,- (0/0),- (0/0)
2025 Indian Wells SF,W vsMedvedev,56% (10/18),75% (3/4),2/3,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2025 Indian Wells QF,W vsGriekspoor,85% (11/13),40% (6/15),2/3,1/1,25% (1/4),0/1,0/0,- (0/0),- (0/0)
2025 Indian Wells R16,W vsTsitsipas,82% (9/11),60% (3/5),2/2,1/1,83% (5/6),0/0,0/0,- (0/0),- (0/0)
2025 Rotterdam R32,W vsSonego,63% (10/16),15% (2/13),2/4,1/2,50% (1/2),0/0,0/0,67% (4/6),60% (3/5)
2025 Australian Open R16,L vsSinner,50% (13/26),20% (1/5),1/2,0/0,50% (4/8),0/3,0/1,- (0/0),- (0/0)
2025 Australian Open R32,W vsKecmanovic,68% (21/31),47% (7/15),3/3,1/1,38% (3/8),4/6,0/0,50% (3/6),33% (2/6)
2025 Brisbane R32,L vsLehecka,60% (6/10),22% (2/9),0/0,0/0,17% (1/6),0/2,0/1,- (0/0),- (0/0)
2024 Paris SF,L vsZverev,47% (8/17),33% (1/3),0/0,0/0,60% (3/5),2/4,1/2,60% (3/5),17% (1/6)
2024 Basel SF,L vsMpetshi Perricard,91% (10/11),- (0/0),0/1,0/0,50% (1/2),1/3,1/2,86% (6/7),0% (0/7)
2024 Shanghai R16,L vsFritz,50% (3/6),0% (0/1),0/0,0/0,0% (0/4),3/5,3/4,- (0/0),- (0/0)
2024 Tokyo SF,L vsFils,65% (11/17),25% (1/4),0/3,0/0,67% (2/3),7/9,5/6,50% (10/20),40% (8/20)
2024 US Open R128,L vsNakashima,58% (7/12),0% (0/6),0/0,0/0,62% (8/13),1/4,1/2,- (0/0),- (0/0)
2024 Cincinnati SF,L vsTiafoe,69% (11/16),33% (2/6),1/3,0/2,50% (3/6),1/3,1/2,40% (2/5),33% (2/6)
2024 Canada R16,L vsZverev,67% (8/12),33% (1/3),0/0,0/0,57% (4/7),5/7,5/6,67% (4/6),17% (1/6)
2024 Wimbledon R16,L vsDjokovic,75% (9/12),0% (0/2),0/0,0/0,71% (10/14),6/9,0/1,- (0/0),- (0/0)
2024 Wimbledon R32,W vsHalys,76% (22/29),33% (3/9),3/5,1/1,67% (4/6),2/4,0/0,73% (8/11),27% (3/11)
2024 Wimbledon R128,W vsKwon,82% (14/17),31% (4/13),3/7,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2024 Roland Garros R16,L vsZverev,70% (16/23),60% (6/10),2/3,0/0,65% (15/23),3/6,1/2,40% (2/5),0% (0/4)
2024 Madrid R32,L vsGriekspoor,71% (12/17),33% (1/3),1/2,0/0,83% (10/12),0/2,0/1,- (0/0),- (0/0)
2024 Munich SF,L vsStruff,50% (2/4),0% (0/1),0/0,0/0,29% (2/7),1/3,1/2,- (0/0),- (0/0)
2024 Monte Carlo QF,L vsSinner,72% (13/18),0% (0/2),1/1,0/0,75% (6/8),2/4,2/3,86% (6/7),29% (2/7)
2024 Monte Carlo R16,W vsDimitrov,56% (14/25),25% (1/4),2/7,1/2,70% (7/10),3/4,2/2,50% (7/14),73% (11/15)
2024 Miami R64,L vsMarozsan,67% (2/3),0% (0/3),0/0,0/0,0% (0/5),0/2,0/1,- (0/0),- (0/0)
2024 Indian Wells R16,W vsFritz,62% (13/21),33% (1/3),2/3,1/1,67% (4/6),2/3,1/1,100% (4/4),60% (3/5)
2024 Rotterdam R16,L vsShevchenko,85% (11/13),33% (2/6),1/2,0/0,33% (1/3),0/2,0/1,- (0/0),- (0/0)
2024 Australian Open R64,L vsCazaux,58% (18/31),25% (1/4),1/2,0/0,63% (5/8),3/6,0/1,33% (2/6),40% (2/5)
2024 Brisbane F,L vsDimitrov,56% (10/18),0% (0/3),0/0,0/0,89% (8/9),4/6,2/3,67% (4/6),17% (1/6)
2024 Brisbane R16,W vsShevchenko,78% (14/18),30% (3/10),2/3,1/1,83% (5/6),0/1,0/0,- (0/0),- (0/0)
2023 Tour Finals RR,L vsDjokovic,60% (12/20),50% (3/6),1/3,0/0,50% (4/8),1/3,0/1,60% (6/10),56% (5/9)
2023 Paris QF,L vsDjokovic,78% (14/18),100% (1/1),1/2,0/0,25% (1/4),1/3,1/2,80% (4/5),60% (3/5)
2023 Paris R32,W vsThiem,82% (9/11),50% (3/6),2/2,1/1,100% (5/5),0/0,0/0,- (0/0),- (0/0)
2023 Beijing R16,L vsDimitrov,58% (7/12),50% (1/2),0/0,0/0,64% (7/11),4/6,2/3,- (0/0),- (0/0)
2023 Beijing R32,W vsAuger Aliassime,77% (10/13),50% (2/4),2/5,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2023 US Open R128,L vsCarballes Baena,69% (11/16),50% (3/6),1/1,0/0,50% (7/14),1/4,0/1,- (0/0),- (0/0)
2023 Wimbledon QF,L vsAlcaraz,67% (14/21),0% (0/1),0/0,0/0,33% (1/3),4/7,3/4,40% (2/5),20% (1/5)
2023 Wimbledon R16,W vsDimitrov,70% (19/27),22% (2/9),3/7,1/1,33% (1/3),2/3,0/0,77% (10/13),42% (5/12)
2023 Wimbledon R64,W vsCarballes Baena,59% (13/22),50% (5/10),3/3,1/1,73% (8/11),0/0,0/0,80% (4/5),60% (3/5)
2023 Wimbledon R128,W vsLoffhagen,94% (15/16),27% (3/11),3/4,1/2,100% (5/5),0/0,0/0,67% (4/6),60% (3/5)
2023 Queen's Club QF,W vsMusetti,53% (10/19),60% (3/5),2/5,1/2,75% (3/4),2/2,0/0,- (0/0),- (0/0)
2023 Queen's Club R32,W vsCressy,55% (11/20),33% (1/3),2/4,1/3,75% (3/4),0/0,0/0,82% (9/11),50% (5/10)
2023 Roland Garros QF,L vsRuud,52% (11/21),14% (1/7),1/2,0/0,62% (8/13),7/10,4/5,- (0/0),- (0/0)
2023 Roland Garros R16,W vsCerundolo,62% (18/29),50% (4/8),3/3,1/1,65% (13/20),2/4,2/2,85% (11/13),38% (5/13)
2023 Rome F,L vsMedvedev,73% (8/11),40% (2/5),0/0,0/0,33% (2/6),1/3,1/2,- (0/0),- (0/0)
2023 Rome SF,W vsRuud,50% (14/28),100% (4/4),2/2,1/1,83% (5/6),1/2,0/0,25% (1/4),20% (1/5)
2023 Rome QF,W vsDjokovic,61% (11/18),50% (5/10),2/3,1/1,60% (3/5),0/1,0/0,- (0/0),- (0/0)
2023 Rome R32,W vsFognini,80% (8/10),50% (4/8),2/2,1/1,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2023 Munich SF,W vsOconnell,75% (9/12),75% (3/4),2/2,1/1,100% (8/8),0/0,0/0,- (0/0),- (0/0)
2023 Monte Carlo F,L vsRublev,59% (10/17),50% (4/8),1/1,0/0,68% (13/19),2/4,1/2,- (0/0),- (0/0)
2023 Monte Carlo SF,W vsSinner,71% (12/17),21% (3/14),2/5,1/1,57% (4/7),0/1,0/0,- (0/0),- (0/0)
