Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2025 Miami F,L vsMensik,79% (11/14),100% (1/1),0/0,0/0,67% (2/3),3/5,1/2,36% (4/11),36% (4/11)
2025 Miami SF,W vsDimitrov,100% (8/8),67% (4/6),2/3,1/2,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2025 Miami QF,W vsKorda,100% (10/10),100% (2/2),2/2,1/1,0% (0/1),0/0,0/0,100% (6/6),20% (1/5)
2025 Miami R16,W vsMusetti,54% (7/13),42% (5/12),2/2,1/1,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2025 Miami R64,W vsHijikata,90% (9/10),30% (3/10),2/4,1/1,100% (2/2),0/0,0/0,100% (4/4),75% (3/4)
2025 Indian Wells R64,L vsVan De Zandschulp,58% (7/12),50% (2/4),1/1,0/0,38% (3/8),0/2,0/1,- (0/0),- (0/0)
2025 Doha R32,L vsBerrettini,67% (8/12),0% (0/3),0/0,0/0,67% (4/6),1/3,1/2,60% (3/5),17% (1/6)
2025 Australian Open QF,W vsAlcaraz,50% (16/32),46% (6/13),3/3,1/1,64% (7/11),0/1,0/0,- (0/0),- (0/0)
2025 Australian Open R16,W vsLehecka,71% (15/21),27% (3/11),3/3,1/1,67% (2/3),0/0,0/0,83% (5/6),40% (2/5)
2025 Australian Open R32,W vsMachac,72% (13/18),33% (5/15),3/4,1/2,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2025 Australian Open R128,W vsBasavareddy,64% (18/28),36% (4/11),3/6,1/4,67% (2/3),0/1,0/0,- (0/0),- (0/0)
2025 Brisbane QF,L vsOpelka,56% (9/16),0% (0/1),0/0,0/0,80% (4/5),1/3,0/1,71% (5/7),14% (1/7)
2025 Brisbane R16,W vsMonfils,90% (9/10),100% (3/3),2/2,1/1,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2025 Brisbane R32,W vsHijikata,90% (9/10),60% (3/5),2/4,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2024 Shanghai F,L vsSinner,64% (9/14),- (0/0),0/0,0/0,50% (1/2),1/3,0/1,40% (2/5),33% (2/6)
2024 Shanghai SF,W vsFritz,69% (11/16),11% (1/9),2/3,1/1,100% (2/2),1/1,0/0,71% (5/7),43% (3/7)
2024 Shanghai QF,W vsMensik,88% (14/16),44% (4/9),2/2,1/1,0% (0/1),0/1,0/0,33% (2/6),40% (2/5)
2024 Shanghai R16,W vsSafiullin,75% (9/12),60% (3/5),2/3,1/2,100% (3/3),0/0,0/0,- (0/0),- (0/0)
