Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2025 Indian Wells R16,L vsRune,70% (7/10),17% (1/6),0/0,0/0,40% (2/5),0/2,0/1,- (0/0),- (0/0)
2025 Indian Wells R64,W vsSeyboth Wild,75% (9/12),38% (3/8),2/7,1/6,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2025 Dubai F,W vsAuger Aliassime,69% (9/13),50% (3/6),2/3,1/1,100% (7/7),0/0,0/0,- (0/0),- (0/0)
2025 Dubai SF,W vsGriekspoor,91% (10/11),50% (2/4),2/2,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2025 Dubai QF,W vsBerrettini,67% (12/18),25% (1/4),2/5,1/2,67% (4/6),0/1,0/0,83% (5/6),33% (2/6)
2025 Doha R32,L vsMedjedovic,74% (17/23),100% (2/2),1/1,0/0,50% (1/2),4/6,2/3,54% (7/13),31% (4/13)
2025 Rotterdam QF,L vsBellucci,67% (6/9),0% (0/4),0/0,0/0,70% (7/10),1/3,1/2,- (0/0),- (0/0)
2025 Rotterdam R16,W vsGriekspoor,73% (16/22),33% (3/9),2/3,1/2,60% (3/5),3/4,1/1,85% (11/13),15% (2/13)
2025 Australian Open R128,L vsMichelsen,78% (14/18),57% (4/7),1/1,0/0,58% (7/12),0/3,0/1,- (0/0),- (0/0)
2025 United Cup RR,W vsCarreno Busta,76% (13/17),33% (3/9),2/2,1/1,33% (1/3),1/2,0/0,- (0/0),- (0/0)
2024 Paris QF,L vsZverev,82% (9/11),0% (0/1),0/0,0/0,71% (5/7),2/4,0/1,- (0/0),- (0/0)
2024 Paris R32,W vsTabilo,69% (9/13),75% (3/4),2/3,1/2,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2024 Basel QF,L vsFils,75% (9/12),- (0/0),0/0,0/0,67% (4/6),3/5,0/1,67% (4/6),17% (1/6)
2024 Antwerp QF,L vsLehecka,62% (8/13),- (0/0),0/0,0/0,71% (5/7),0/2,0/1,- (0/0),- (0/0)
2024 Shanghai R16,L vsMedvedev,67% (8/12),100% (1/1),0/0,0/0,82% (9/11),0/2,0/1,60% (3/5),0% (0/5)
2024 Tokyo R32,L vsMichelsen,54% (7/13),67% (2/3),1/2,0/0,0% (0/5),0/2,0/1,- (0/0),- (0/0)
2024 US Open R128,L vsKokkinakis,59% (17/29),33% (3/9),1/2,0/0,50% (4/8),4/7,0/1,50% (3/6),33% (2/6)
2024 Canada R32,L vsNishikori,88% (7/8),33% (1/3),0/0,0/0,25% (1/4),0/2,0/1,- (0/0),- (0/0)
2024 Paris Olympics QF,L vsDjokovic,50% (7/14),33% (2/6),0/3,0/0,50% (3/6),1/3,0/1,20% (1/5),40% (2/5)
2024 Paris Olympics R16,W vsBaez,62% (8/13),71% (5/7),2/2,1/1,60% (3/5),0/0,0/0,- (0/0),- (0/0)
2024 Gstaad QF,W vsFognini,89% (8/9),67% (4/6),2/2,1/1,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2024 Wimbledon R64,L vsRuusuvuori,65% (20/31),50% (1/2),1/4,0/0,67% (4/6),3/6,0/1,56% (10/18),33% (6/18)
2024 Wimbledon R128,W vsDaniel,73% (16/22),30% (3/10),3/7,1/1,86% (6/7),0/0,0/0,83% (5/6),33% (2/6)
2024 Halle R16,L vsStruff,62% (8/13),- (0/0),0/0,0/0,33% (1/3),0/2,0/1,- (0/0),- (0/0)
2024 Roland Garros QF,L vsAlcaraz,71% (12/17),50% (1/2),0/0,0/0,33% (2/6),1/4,0/1,40% (2/5),20% (1/5)
2024 Roland Garros R32,W vsZhang,87% (13/15),83% (5/6),3/3,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2024 Roland Garros R128,W vsFucsovics,87% (13/15),45% (5/11),3/6,1/2,80% (4/5),1/1,0/0,63% (5/8),50% (4/8)
2024 Rome QF,L vsJarry,59% (13/22),15% (2/13),1/2,0/0,67% (6/9),3/5,3/4,- (0/0),- (0/0)
2024 Rome R16,W vsDe Minaur,88% (7/8),63% (5/8),2/2,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2024 Barcelona F,L vsRuud,70% (7/10),50% (1/2),0/0,0/0,50% (3/6),0/2,0/1,- (0/0),- (0/0)
2024 Barcelona R32,W vsOfner,62% (8/13),63% (5/8),2/4,1/3,63% (5/8),0/0,0/0,- (0/0),- (0/0)
2024 Monte Carlo F,W vsRuud,44% (8/18),50% (4/8),2/3,1/1,100% (8/8),0/0,0/0,- (0/0),- (0/0)
2024 Monte Carlo SF,W vsSinner,71% (12/17),20% (3/15),2/3,1/1,60% (3/5),1/2,0/0,- (0/0),- (0/0)
2024 Monte Carlo QF,W vsKhachanov,80% (8/10),50% (4/8),2/3,1/2,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2024 Monte Carlo R16,W vsZverev,77% (10/13),38% (3/8),2/7,1/3,80% (8/10),0/0,0/0,80% (4/5),60% (3/5)
2024 Monte Carlo R32,W vsEtcheverry,50% (6/12),60% (6/10),2/2,1/1,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2024 Indian Wells R16,L vsLehecka,67% (6/9),0% (0/4),0/0,0/0,70% (7/10),0/2,0/1,- (0/0),- (0/0)
2024 Indian Wells R32,W vsTiafoe,57% (8/14),67% (4/6),2/2,1/1,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2024 Acapulco QF,L vsDe Minaur,78% (7/9),71% (5/7),1/1,0/0,50% (6/12),3/5,0/1,- (0/0),- (0/0)
2024 Acapulco R32,W vsSafiullin,83% (10/12),50% (2/4),2/2,1/1,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2024 Los Cabos SF,L vsRuud,63% (10/16),0% (0/5),0/5,0/0,0% (0/1),0/2,0/1,60% (3/5),17% (1/6)
2024 Los Cabos QF,W vsKovacevic,91% (10/11),33% (2/6),2/2,1/1,80% (4/5),0/0,0/0,75% (3/4),100% (4/4)
2024 Australian Open R16,L vsFritz,74% (17/23),50% (2/4),1/1,0/0,64% (7/11),2/5,1/2,60% (3/5),0% (0/5)
2024 Australian Open R128,W vsBergs,55% (16/29),44% (7/16),3/3,1/1,60% (3/5),3/4,0/0,- (0/0),- (0/0)
2023 Tour Finals RR,L vsSinner,67% (8/12),- (0/0),0/0,0/0,60% (3/5),1/3,0/1,- (0/0),- (0/0)
2023 Paris SF,L vsDimitrov,79% (15/19),0% (0/4),1/2,0/0,80% (4/5),3/5,1/2,67% (6/9),44% (4/9)
2023 Vienna SF,L vsMedvedev,83% (10/12),0% (0/3),0/0,0/0,80% (4/5),1/3,1/2,71% (5/7),14% (1/7)
2023 Vienna QF,W vsGojo,55% (11/20),50% (2/4),2/3,1/2,83% (5/6),0/0,0/0,80% (4/5),50% (3/6)
2023 Vienna R32,W vsThiem,55% (11/20),25% (1/4),2/2,1/1,100% (3/3),0/0,0/0,67% (4/6),50% (3/6)
2023 Beijing R32,L vsJarry,89% (8/9),0% (0/2),0/0,0/0,50% (2/4),2/4,2/3,- (0/0),- (0/0)
2023 US Open R64,L vsStricker,61% (22/36),50% (4/8),2/4,0/0,54% (7/13),2/5,0/1,78% (14/18),35% (6/17)
2023 US Open R128,W vsRaonic,72% (13/18),36% (5/14),3/3,1/1,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2023 Cincinnati R16,L vsHurkacz,64% (7/11),0% (0/3),0/0,0/0,0% (0/2),0/2,0/1,- (0/0),- (0/0)
2023 Los Cabos F,W vsDe Minaur,73% (8/11),44% (4/9),2/3,1/2,0% (0/2),0/0,0/0,- (0/0),- (0/0)
2023 Wimbledon R16,L vsEubanks,81% (21/26),38% (5/13),2/5,0/0,57% (4/7),1/4,0/1,80% (4/5),0% (0/6)
2023 Wimbledon R32,W vsDjere,65% (15/23),75% (3/4),3/5,1/1,75% (3/4),0/0,0/0,83% (5/6),33% (2/6)
2023 Wimbledon R64,W vsMurray,71% (27/38),17% (1/6),3/6,1/3,0% (0/1),2/4,0/0,86% (12/14),27% (4/15)
2023 Mallorca R16,L vsHanfmann,69% (11/16),100% (1/1),1/2,0/0,50% (3/6),0/2,0/1,- (0/0),- (0/0)
2023 Halle R16,L vsJarry,73% (11/15),0% (0/5),0/1,0/0,86% (6/7),3/5,0/1,75% (6/8),13% (1/8)
