Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
51,Tomas Martin Etcheverry[ARG],58,28-30,48.3%,64.2%,62.5%,395,8.3%,105,2.2%,6.1%,63.8%,72.6%,49.5%,52.7%,81.3%,6.5,2.3
52,Quentin Halys[FRA],30,15-15,50.0%,67.5%,65.1%,406,15.7%,123,4.8%,11.4%,58.1%,79.9%,50.3%,56.7%,86.4%,6.3,2.0
53,Nicolas Jarry[CHI],28,7-21,25.0%,65.2%,63.5%,250,10.8%,82,3.5%,9.4%,62.3%,74.1%,50.5%,55.8%,80.5%,6.4,2.2
54,Gabriel Diallo[CAN],32,16-16,50.0%,63.1%,61.6%,251,9.1%,86,3.1%,9.5%,67.3%,70.1%,48.7%,53.8%,80.6%,6.6,2.4
55,Zhizhen Zhang[CHN],41,17-24,41.5%,66.5%,63.9%,346,11.2%,71,2.3%,6.6%,65.0%,74.2%,52.2%,55.9%,83.4%,6.2,2.1
56,Roberto Bautista Agut[ESP],42,20-22,47.6%,61.6%,62.1%,112,3.2%,99,2.8%,8.3%,66.3%,66.6%,51.8%,56.4%,77.1%,6.6,2.5
57,Jacob Fearnley[GBR],18,9-9,50.0%,63.4%,64.1%,106,8.0%,74,5.6%,14.0%,60.2%,71.1%,51.7%,60.1%,79.0%,6.5,2.4
58,Benjamin Bonzi[FRA],19,11-8,57.9%,66.1%,64.8%,104,7.0%,26,1.7%,4.9%,64.7%,71.2%,56.7%,59.7%,82.8%,6.4,2.2
59,Roberto Carballes Baena[ESP],46,21-25,45.7%,61.0%,61.0%,176,4.8%,113,3.1%,8.4%,63.4%,67.6%,49.6%,54.2%,73.7%,6.5,2.5
60,Camilo Ugo Carabelli[ARG],22,10-12,45.5%,59.3%,59.9%,69,3.9%,63,3.6%,9.6%,62.8%,69.4%,42.3%,46.8%,70.1%,6.5,2.6
61,Fabian Marozsan[HUN],48,21-27,43.8%,63.1%,62.4%,264,6.8%,118,3.0%,8.3%,63.4%,70.4%,50.5%,55.1%,78.2%,6.5,2.4
62,Kei Nishikori[JPN],33,17-16,51.5%,61.2%,61.2%,82,3.4%,52,2.1%,6.7%,68.0%,65.5%,52.0%,55.7%,76.6%,6.4,2.5
63,Francisco Comesana[ARG],24,12-12,50.0%,64.4%,63.0%,213,9.0%,73,3.1%,8.2%,62.3%,72.4%,51.1%,55.6%,80.5%,6.5,2.3
64,Laslo Djere[SRB],29,17-12,58.6%,64.0%,63.2%,193,8.2%,84,3.6%,9.3%,61.9%,71.9%,51.1%,56.3%,81.5%,6.4,2.3
65,Joao Fonseca[BRA],25,17-8,68.0%,66.5%,65.0%,153,8.1%,38,2.0%,6.0%,66.7%,73.4%,52.8%,56.2%,84.5%,6.4,2.1
66,Jaume Munar[ESP],34,13-21,38.2%,62.0%,62.9%,146,5.0%,124,4.3%,11.8%,63.6%,69.7%,48.6%,55.1%,76.4%,6.3,2.4
67,Juncheng Shang[CHN],35,20-15,57.1%,65.7%,65.3%,191,7.2%,86,3.2%,8.5%,62.1%,73.3%,53.2%,58.1%,83.3%,6.4,2.2
68,Mattia Bellucci[ITA],26,12-14,46.2%,65.1%,63.6%,221,10.7%,78,3.8%,9.8%,61.5%,74.0%,50.9%,56.4%,83.0%,6.5,2.3
69,Damir Dzumhur[BIH],24,12-12,50.0%,57.5%,58.8%,19,1.2%,49,3.1%,9.2%,66.0%,59.8%,53.1%,58.4%,69.4%,6.9,2.9
