Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
51,Tomas Martin Etcheverry[ARG],4,1-3,25.0%,70.3%,69.3%,38,9.2%,11,2.7%,8.7%,69.1%,77.5%,54.3%,59.5%,89.7%,6.0,1.8,51,Tomas Martin Etcheverry[ARG],4,32.0%,33.5%,11.3%,3.4%,24.5%,48.0%,15.2%,5.9,1.9,89.5,97.0,51,Tomas Martin Etcheverry[ARG],4,40.0%,10,25,0.38,1.8,6.3,0.71,2.5,66.7%,14,21,0.31,1.5,5.3,0.50,1.8,51,Tomas Martin Etcheverry[ARG],4,1.08,799,51.7%,1,0-1,0.0%,7.1%,14,7-7,50.0%,134,71-63,53.0%,2:30,42.9,45.1
52,Quentin Halys[FRA],3,2-1,66.7%,74.0%,70.5%,70,20.0%,12,3.4%,9.3%,63.1%,86.9%,51.9%,57.3%,91.9%,5.6,1.5,52,Quentin Halys[FRA],3,32.3%,33.1%,9.8%,3.7%,27.3%,41.6%,14.8%,5.8,1.9,22.0,33.0,52,Quentin Halys[FRA],3,47.4%,9,19,0.31,1.5,6.3,0.69,3.0,75.0%,15,20,0.32,1.5,6.7,0.38,1.7,52,Quentin Halys[FRA],3,1.24,706,53.0%,2,1-1,50.0%,15.4%,13,8-5,61.5%,123,66-57,53.7%,2:21,32.5,35.9
53,Nicolas Jarry[CHI],1,0-1,0.0%,59.3%,58.9%,5,6.2%,3,3.7%,9.1%,59.3%,66.7%,48.5%,53.3%,71.4%,5.8,2.4,53,Nicolas Jarry[CHI],1,19.8%,18.8%,11.1%,3.7%,17.3%,24.1%,0.0%,5.4,1.1,121.0,121.0,53,Nicolas Jarry[CHI],1,0.0%,0,2,0.13,0.7,2.0,0.00,0.0,60.0%,6,10,0.71,3.3,10.0,1.33,4.0,53,Nicolas Jarry[CHI],1,0.48,162,39.5%,0,0-0,-,0.0%,3,0-3,0.0%,29,10-19,34.5%,1:53,37.7,41.9
54,Gabriel Diallo[CAN],1,0-1,0.0%,60.2%,61.2%,7,7.1%,6,6.1%,13.0%,53.1%,69.2%,50.0%,57.5%,83.3%,8.2,3.3,54,Gabriel Diallo[CAN],1,33.7%,33.7%,4.5%,2.2%,30.4%,39.4%,8.3%,7.4,2.5,116.0,116.0,54,Gabriel Diallo[CAN],1,12.5%,1,8,0.67,4.0,8.0,0.50,1.0,75.0%,6,8,0.67,4.0,8.0,1.00,2.0,54,Gabriel Diallo[CAN],1,0.85,187,47.6%,1,0-1,0.0%,50.0%,2,0-2,0.0%,24,11-13,45.8%,2:25,72.5,46.5
55,Zhizhen Zhang[CHN],8,4-4,50.0%,68.1%,64.9%,109,13.8%,20,2.5%,7.4%,65.6%,76.8%,51.5%,55.6%,89.4%,6.4,2.0,55,Zhizhen Zhang[CHN],8,31.4%,33.6%,13.6%,3.6%,24.2%,43.6%,12.3%,6.4,2.0,48.0,60.8,55,Zhizhen Zhang[CHN],8,34.9%,15,43,0.35,1.9,5.4,0.65,1.9,59.4%,19,32,0.26,1.4,4.0,0.57,1.6,55,Zhizhen Zhang[CHN],8,0.99,1576,49.8%,10,3-7,30.0%,43.5%,23,11-12,47.8%,245,125-120,51.0%,2:06,43.8,38.3
56,Roberto Bautista Agut[ESP],9,6-3,66.7%,64.7%,64.8%,31,3.7%,19,2.3%,7.3%,69.3%,68.0%,57.1%,61.7%,83.5%,6.3,2.2,56,Roberto Bautista Agut[ESP],9,36.9%,40.4%,15.1%,4.4%,25.1%,54.9%,21.8%,6.4,2.4,83.0,87.0,56,Roberto Bautista Agut[ESP],9,39.2%,29,74,0.56,2.6,8.2,1.04,3.2,65.1%,41,63,0.47,2.3,7.0,0.79,2.4,56,Roberto Bautista Agut[ESP],9,1.04,1692,50.7%,4,3-1,75.0%,14.3%,28,17-11,60.7%,266,140-126,52.6%,2:16,43.7,43.4
57,Jacob Fearnley[GBR],3,1-2,33.3%,70.2%,71.1%,23,7.7%,13,4.3%,11.5%,62.2%,77.4%,58.4%,66.0%,89.8%,6.1,1.8,57,Jacob Fearnley[GBR],3,29.7%,30.8%,7.8%,1.9%,22.3%,46.0%,8.0%,6.4,1.9,139.0,109.7,57,Jacob Fearnley[GBR],3,23.5%,4,17,0.34,1.9,5.7,0.44,1.3,54.5%,6,11,0.22,1.2,3.7,0.56,1.7,57,Jacob Fearnley[GBR],3,1.00,619,49.3%,2,1-1,50.0%,22.2%,9,4-5,44.4%,99,48-51,48.5%,2:28,49.3,43.0
59,Roberto Carballes Baena[ESP],3,1-2,33.3%,63.1%,61.7%,17,6.8%,5,2.0%,4.4%,54.6%,67.6%,57.5%,60.2%,74.4%,6.4,2.4,59,Roberto Carballes Baena[ESP],3,27.9%,29.7%,11.9%,2.5%,20.5%,45.2%,5.0%,6.1,1.7,40.0,280.0,59,Roberto Carballes Baena[ESP],3,15.4%,2,13,0.33,1.6,4.3,0.25,0.7,58.3%,14,24,0.62,3.0,8.0,1.25,3.3,59,Roberto Carballes Baena[ESP],3,0.75,493,45.6%,2,2-0,100.0%,25.0%,8,2-6,25.0%,79,31-48,39.2%,1:59,44.8,43.6
61,Fabian Marozsan[HUN],5,1-4,20.0%,63.8%,60.9%,48,10.7%,10,2.2%,5.8%,61.7%,71.0%,52.0%,55.3%,76.4%,6.2,2.3,61,Fabian Marozsan[HUN],5,30.5%,33.6%,18.8%,4.9%,19.8%,49.4%,9.5%,6.1,1.9,41.0,58.8,61,Fabian Marozsan[HUN],5,33.3%,7,21,0.28,1.4,4.2,0.47,1.4,60.5%,26,43,0.60,2.9,8.6,1.13,3.4,61,Fabian Marozsan[HUN],5,0.84,899,47.1%,3,3-0,100.0%,20.0%,15,5-10,33.3%,146,62-84,42.5%,1:49,36.5,36.5
62,Kei Nishikori[JPN],1,0-1,0.0%,61.1%,61.8%,5,2.9%,5,2.9%,9.8%,70.9%,61.3%,60.8%,67.4%,76.0%,7.0,2.7,62,Kei Nishikori[JPN],1,27.9%,35.2%,23.6%,1.4%,24.7%,34.9%,11.5%,5.4,1.5,76.0,76.0,62,Kei Nishikori[JPN],1,37.5%,3,8,0.31,1.6,8.0,0.60,3.0,70.0%,14,20,0.80,4.0,20.0,1.20,6.0,62,Kei Nishikori[JPN],1,0.72,315,46.3%,1,1-0,100.0%,20.0%,5,2-3,40.0%,51,22-29,43.1%,3:30,42.0,40.0
63,Francisco Comesana[ARG],3,2-1,66.7%,65.9%,63.9%,45,9.8%,11,2.4%,6.6%,63.9%,71.8%,55.4%,59.4%,86.4%,7.0,2.4,63,Francisco Comesana[ARG],3,33.1%,33.0%,4.3%,2.3%,28.0%,42.6%,11.9%,6.6,2.2,25.0,44.0,63,Francisco Comesana[ARG],3,40.0%,8,20,0.30,1.5,6.7,0.62,2.7,74.3%,26,35,0.53,2.7,11.7,0.69,3.0,63,Francisco Comesana[ARG],3,0.97,904,49.8%,5,3-2,60.0%,38.5%,13,7-6,53.8%,133,65-68,48.9%,3:32,48.9,42.2
64,Laslo Djere[SRB],2,0-2,0.0%,58.7%,57.7%,16,7.1%,8,3.6%,8.7%,59.1%,63.2%,52.2%,57.1%,68.6%,6.4,2.7,64,Laslo Djere[SRB],2,34.9%,37.1%,9.9%,2.4%,26.9%,47.6%,21.6%,5.7,2.0,153.0,153.0,64,Laslo Djere[SRB],2,38.1%,8,21,0.57,2.6,10.5,1.00,4.0,59.3%,16,27,0.77,3.4,13.5,1.38,5.5,64,Laslo Djere[SRB],2,0.84,437,47.1%,1,0-1,0.0%,12.5%,8,3-5,37.5%,72,32-40,44.4%,2:25,36.1,39.7
65,Joao Fonseca[BRA],1,0-1,0.0%,58.8%,52.2%,14,16.5%,2,2.4%,5.9%,60.0%,68.6%,44.1%,46.9%,80.0%,8.5,3.5,65,Joao Fonseca[BRA],1,27.9%,29.4%,13.1%,3.3%,28.6%,26.9%,0.0%,6.1,1.7,88.0,88.0,65,Joao Fonseca[BRA],1,0.0%,0,2,0.20,1.0,2.0,0.00,0.0,83.3%,10,12,1.20,6.0,12.0,1.00,2.0,65,Joao Fonseca[BRA],1,0.68,146,45.9%,0,0-0,-,0.0%,2,0-2,0.0%,20,8-12,40.0%,1:30,45.0,37.0
66,Jaume Munar[ESP],3,1-2,33.3%,63.4%,64.9%,23,7.9%,19,6.6%,16.5%,60.3%,76.0%,44.3%,53.1%,75.5%,5.9,2.2,66,Jaume Munar[ESP],3,36.8%,39.2%,10.1%,2.5%,27.5%,51.2%,18.8%,6.6,2.4,54.0,59.7,66,Jaume Munar[ESP],3,27.3%,9,33,0.69,3.3,11.0,0.90,3.0,55.6%,15,27,0.55,2.7,9.0,1.20,4.0,66,Jaume Munar[ESP],3,1.01,608,49.5%,1,0-1,0.0%,10.0%,10,4-6,40.0%,97,46-51,47.4%,2:18,41.5,41.0
67,Juncheng Shang[CHN],5,3-2,60.0%,70.1%,68.8%,58,10.8%,16,3.0%,8.4%,64.7%,76.2%,58.9%,64.4%,91.8%,6.3,1.9,67,Juncheng Shang[CHN],5,27.0%,28.6%,15.1%,3.7%,16.0%,48.2%,9.4%,5.7,1.5,31.0,49.6,67,Juncheng Shang[CHN],5,33.3%,8,24,0.28,1.5,4.8,0.50,1.6,76.7%,23,30,0.35,1.9,6.0,0.44,1.4,67,Juncheng Shang[CHN],5,0.90,1021,49.8%,4,2-2,50.0%,25.0%,16,9-7,56.3%,170,86-84,50.6%,2:21,44.1,41.5
68,Mattia Bellucci[ITA],1,0-1,0.0%,68.0%,68.5%,11,7.5%,6,4.1%,8.5%,51.7%,78.9%,56.3%,61.5%,87.0%,6.4,2.0,68,Mattia Bellucci[ITA],1,31.5%,33.6%,12.8%,3.4%,25.9%,46.3%,8.3%,6.2,2.0,14.0,14.0,68,Mattia Bellucci[ITA],1,14.3%,2,14,0.58,2.8,14.0,0.40,2.0,75.0%,9,12,0.52,2.4,12.0,0.60,3.0,68,Mattia Bellucci[ITA],1,0.99,296,49.7%,0,0-0,-,0.0%,5,2-3,40.0%,47,22-25,46.8%,3:29,41.8,42.4
71,Daniel Altmaier[GER],2,1-1,50.0%,65.2%,65.5%,18,6.2%,11,3.8%,8.7%,56.2%,79.8%,46.5%,50.9%,76.6%,6.2,2.1,71,Daniel Altmaier[GER],2,37.7%,35.2%,4.7%,6.3%,31.8%,46.8%,25.0%,6.6,2.5,184.0,184.0,71,Daniel Altmaier[GER],2,41.4%,12,29,0.60,2.9,14.5,1.20,6.0,52.2%,12,23,0.49,2.3,11.5,1.10,5.5,71,Daniel Altmaier[GER],2,1.08,606,50.8%,3,2-1,66.7%,30.0%,10,5-5,50.0%,95,48-47,50.5%,3:36,43.2,42.8
72,Hamad Medjedovic[SRB],2,1-1,50.0%,68.9%,64.9%,39,24.2%,11,6.8%,23.9%,71.4%,79.1%,43.5%,57.1%,91.7%,6.7,2.1,72,Hamad Medjedovic[SRB],2,31.4%,33.3%,17.3%,5.8%,20.4%,50.0%,12.5%,6.5,2.0,29.5,29.5,72,Hamad Medjedovic[SRB],2,42.9%,3,7,0.29,1.4,3.5,0.60,1.5,84.6%,11,13,0.54,2.6,6.5,0.40,1.0,72,Hamad Medjedovic[SRB],2,1.01,317,50.5%,2,0-2,0.0%,40.0%,5,2-3,40.0%,48,25-23,52.1%,1:33,37.2,35.2
