Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
51,Tomas Martin Etcheverry[ARG],24,13-11,54.2%,62.3%,61.1%,114,6.1%,37,2.0%,5.4%,63.1%,69.7%,49.6%,52.4%,78.6%,6.6,2.5
52,Quentin Halys[FRA],6,4-2,66.7%,67.5%,68.2%,56,13.2%,31,7.3%,14.1%,48.1%,81.9%,54.1%,63.0%,86.6%,6.3,2.1
53,Nicolas Jarry[CHI],11,2-9,18.2%,64.0%,63.3%,76,7.8%,34,3.5%,9.1%,61.4%,71.0%,52.8%,58.1%,78.8%,6.7,2.4
54,Gabriel Diallo[CAN],8,5-3,62.5%,63.6%,62.3%,54,7.2%,18,2.4%,7.8%,69.2%,68.1%,53.2%,57.7%,82.1%,6.4,2.3
55,Zhizhen Zhang[CHN],7,4-3,57.1%,65.1%,62.8%,50,8.9%,9,1.6%,4.7%,66.0%,72.8%,50.0%,52.5%,77.4%,6.1,2.1
56,Roberto Bautista Agut[ESP],8,3-5,37.5%,56.5%,56.9%,8,1.2%,11,1.7%,4.4%,62.7%,59.1%,52.0%,54.4%,67.3%,6.8,2.9
57,Jacob Fearnley[GBR],5,3-2,60.0%,61.1%,61.2%,26,8.0%,17,5.2%,12.1%,56.5%,71.6%,47.5%,54.0%,75.5%,6.6,2.6
58,Benjamin Bonzi[FRA],3,2-1,66.7%,70.8%,69.5%,13,6.8%,2,1.0%,3.3%,68.2%,71.8%,68.9%,71.2%,93.5%,6.2,1.8
59,Roberto Carballes Baena[ESP],16,8-8,50.0%,57.7%,58.3%,29,2.3%,34,2.7%,7.9%,65.7%,62.7%,48.1%,52.3%,68.3%,6.6,2.8
60,Camilo Ugo Carabelli[ARG],16,8-8,50.0%,60.3%,60.8%,41,3.6%,36,3.1%,8.9%,64.8%,70.0%,42.5%,46.6%,72.4%,6.4,2.5
61,Fabian Marozsan[HUN],14,6-8,42.9%,61.8%,62.3%,40,3.9%,33,3.2%,8.4%,61.2%,69.2%,50.1%,54.7%,75.5%,6.4,2.4
62,Kei Nishikori[JPN],7,3-4,42.9%,56.2%,56.5%,10,1.8%,11,2.0%,7.1%,71.7%,58.8%,49.7%,53.5%,73.4%,6.9,3.0
63,Francisco Comesana[ARG],14,8-6,57.1%,64.3%,63.0%,103,8.3%,35,2.8%,7.5%,62.2%,71.8%,52.0%,56.2%,80.2%,6.5,2.3
64,Laslo Djere[SRB],18,12-6,66.7%,65.2%,65.4%,89,6.1%,51,3.5%,9.1%,61.9%,73.0%,52.5%,57.8%,82.9%,6.4,2.2
65,Joao Fonseca[BRA],8,6-2,75.0%,63.1%,62.4%,38,6.1%,16,2.6%,8.0%,67.9%,70.2%,48.0%,52.2%,81.7%,6.7,2.5
66,Jaume Munar[ESP],12,3-9,25.0%,58.2%,59.5%,38,4.0%,47,4.9%,12.9%,61.9%,66.0%,45.5%,52.2%,69.2%,6.5,2.7
68,Mattia Bellucci[ITA],5,2-3,40.0%,64.9%,65.3%,40,9.7%,24,5.8%,14.1%,58.8%,76.5%,48.2%,56.2%,82.4%,6.1,2.1
69,Damir Dzumhur[BIH],14,8-6,57.1%,57.9%,59.4%,11,1.1%,33,3.2%,9.8%,67.3%,59.5%,54.8%,60.7%,72.4%,7.1,3.0
70,Learner Tien[USA],3,0-3,0.0%,59.3%,60.4%,6,2.8%,8,3.7%,8.6%,56.9%,66.7%,49.5%,54.1%,67.7%,7.0,2.8
71,Daniel Altmaier[GER],12,4-8,33.3%,60.7%,59.5%,76,6.7%,29,2.6%,6.4%,59.7%,70.1%,46.7%,49.9%,73.2%,6.7,2.6
72,Hamad Medjedovic[SRB],7,2-5,28.6%,64.0%,62.9%,39,5.9%,11,1.7%,4.7%,64.6%,70.0%,53.2%,55.9%,79.4%,6.5,2.3
73,Bu Yunchaokete[CHN],4,0-4,0.0%,57.8%,56.6%,18,5.2%,6,1.7%,4.3%,59.0%,66.0%,46.1%,48.1%,70.6%,6.7,2.8
74,Yoshihito Nishioka[JPN],2,1-1,50.0%,61.9%,63.1%,2,1.4%,4,2.7%,7.4%,63.3%,66.7%,53.7%,58.0%,81.0%,7.0,2.7
75,Arthur Rinderknech[FRA],7,4-3,57.1%,65.6%,63.7%,57,10.0%,16,2.8%,7.7%,63.5%,76.0%,47.4%,51.3%,80.0%,6.4,2.2
76,Alexander Bublik[KAZ],11,6-5,54.5%,61.9%,61.8%,106,11.4%,64,6.9%,17.4%,60.4%,70.4%,48.9%,59.2%,77.2%,6.8,2.6
