Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
51,Tomas Martin Etcheverry[ARG],4,1-3,25.0%,70.3%,69.3%,38,9.2%,11,2.7%,8.7%,69.1%,77.5%,54.3%,59.5%,89.7%,6.0,1.8
52,Quentin Halys[FRA],3,2-1,66.7%,74.0%,70.5%,70,20.0%,12,3.4%,9.3%,63.1%,86.9%,51.9%,57.3%,91.9%,5.6,1.5
53,Nicolas Jarry[CHI],1,0-1,0.0%,59.3%,58.9%,5,6.2%,3,3.7%,9.1%,59.3%,66.7%,48.5%,53.3%,71.4%,5.8,2.4
54,Gabriel Diallo[CAN],1,0-1,0.0%,60.2%,61.2%,7,7.1%,6,6.1%,13.0%,53.1%,69.2%,50.0%,57.5%,83.3%,8.2,3.3
55,Zhizhen Zhang[CHN],8,4-4,50.0%,68.1%,64.9%,109,13.8%,20,2.5%,7.4%,65.6%,76.8%,51.5%,55.6%,89.4%,6.4,2.0
56,Roberto Bautista Agut[ESP],9,6-3,66.7%,64.7%,64.8%,31,3.7%,19,2.3%,7.3%,69.3%,68.0%,57.1%,61.7%,83.5%,6.3,2.2
57,Jacob Fearnley[GBR],3,1-2,33.3%,70.2%,71.1%,23,7.7%,13,4.3%,11.5%,62.2%,77.4%,58.4%,66.0%,89.8%,6.1,1.8
59,Roberto Carballes Baena[ESP],3,1-2,33.3%,63.1%,61.7%,17,6.8%,5,2.0%,4.4%,54.6%,67.6%,57.5%,60.2%,74.4%,6.4,2.4
61,Fabian Marozsan[HUN],5,1-4,20.0%,63.8%,60.9%,48,10.7%,10,2.2%,5.8%,61.7%,71.0%,52.0%,55.3%,76.4%,6.2,2.3
62,Kei Nishikori[JPN],1,0-1,0.0%,61.1%,61.8%,5,2.9%,5,2.9%,9.8%,70.9%,61.3%,60.8%,67.4%,76.0%,7.0,2.7
