Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA
6‑Apr‑2025,Monte-Carlo,Clay,SF,3,42,(2)AlcarazvsAlejandro Davidovich Fokina[ESP],Live Scores,,,,,,,,,,,,,,,,,,,,,,
6‑Apr‑2025,Monte-Carlo,Clay,QF,3,15,(2)Alcarazd.(12)Arthur Fils[FRA],4-6 7-5 6-3,,1.13,3.0%,6.9%,61.4%,69.4%,48.7%,7/11,2:23,52.5%,43.7%,0.0%,27.4%,68.3%,5/14,204,3,7,101,62,39,0
6‑Apr‑2025,Monte-Carlo,Clay,R16,3,84,(2)Alcarazd.(Q)Daniel Altmaier[GER],6-3 6-1,,1.33,0.0%,3.4%,59.3%,60.0%,62.5%,9/10,1:26,56.8%,51.9%,0.0%,50.0%,53.6%,5/7,111,0,2,59,35,24,0
6‑Apr‑2025,Monte-Carlo,Clay,R32,3,22,(2)Alcarazd.Francisco Cerundolo[ARG],3-6 6-0 6-1,,1.38,1.3%,3.9%,53.9%,68.3%,54.3%,5/7,1:38,58.0%,52.7%,3.6%,48.5%,59.1%,6/8,131,1,3,76,41,35,2
19‑Mar‑2025,Miami Masters,Hard,R64,3,55,David Goffin[BEL]d.(2)Alcaraz,5-7 6-4 6-3,(ch),0.92,8.0%,2.0%,67.0%,64.2%,54.5%,3/7,2:18,49.2%,36.0%,3.4%,31.0%,45.2%,2/5,189,8,2,100,67,33,3
5‑Mar‑2025,Indian Wells Masters,Hard,SF,3,14,(13)Jack Draper[GBR]d.(2)Alcaraz,6-1 0-6 6-4,(ch),0.92,4.3%,5.7%,55.7%,64.1%,45.2%,1/5,1:44,48.2%,40.6%,5.8%,36.2%,50.0%,4/9,139,3,4,70,39,31,4
5‑Mar‑2025,Indian Wells Masters,Hard,QF,3,26,(2)Alcarazd.(25)Francisco Cerundolo[ARG],6-3 7-6(4),(ch),1.36,6.8%,6.8%,65.8%,75.0%,60.0%,8/9,1:43,55.5%,41.1%,1.4%,33.3%,68.8%,2/3,146,5,5,73,48,25,1
5‑Mar‑2025,Indian Wells Masters,Hard,R16,3,15,(2)Alcarazd.(14)Grigor Dimitrov[BUL],6-1 6-1,(ch),2.22,15.0%,5.0%,75.0%,76.7%,70.0%,3/3,1:14,63.1%,55.6%,1.6%,50.0%,62.1%,5/14,103,6,2,40,30,10,1
5‑Mar‑2025,Indian Wells Masters,Hard,R32,3,28,(2)Alcarazd.(27)Denis Shapovalov[CAN],6-2 6-4,(ch),1.26,3.2%,7.9%,71.4%,68.9%,55.6%,3/4,1:23,54.9%,44.1%,3.4%,25.8%,64.3%,4/8,122,2,5,63,45,18,2
5‑Mar‑2025,Indian Wells Masters,Hard,R64,3,59,(2)Alcarazd.Quentin Halys[FRA],6-4 6-2,(ch),1.51,14.6%,6.3%,43.8%,95.2%,63.0%,1/1,1:07,55.7%,34.7%,4.1%,25.8%,50.0%,3/5,97,7,3,48,21,27,2
