Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA
6‑Apr‑2025,Monte-Carlo,Clay,R64,12,43,Nuno Borges[POR]d.(10)Rune,6-2 3-0 RET,,0.56,0.0%,6.7%,53.3%,68.8%,21.4%,1/4,0:42,37.3%,29.7%,16.2%,18.5%,60.0%,0/2,67,0,2,30,16,14,6
19‑Mar‑2025,Miami Masters,Hard,R64,12,114,(PR)Reilly Opelka[USA]d.(11)Rune,4-6 6-3 7-6(5),,0.89,1.1%,5.4%,63.4%,76.3%,58.8%,2/3,2:03,48.4%,26.9%,22.6%,23.8%,33.3%,1/2,186,1,5,93,59,34,21
5‑Mar‑2025,Indian Wells Masters,Hard,F,13,14,(13)Jack Draper[GBR]d.(12)Rune,6-2 6-2,(ch),0.54,1.9%,3.8%,65.4%,58.8%,38.9%,3/7,1:09,39.8%,26.1%,21.7%,7.7%,50.0%,0/0,98,1,2,52,34,18,10
5‑Mar‑2025,Indian Wells Masters,Hard,SF,13,6,(12)Runed.(5)Daniil Medvedev[RUS],7-5 6-4,(ch),1.27,1.4%,2.9%,67.1%,72.3%,60.9%,1/2,1:39,55.4%,40.0%,3.3%,33.3%,46.7%,3/4,130,1,2,70,47,23,2
5‑Mar‑2025,Indian Wells Masters,Hard,QF,13,43,(12)Runed.Tallon Griekspoor[NED],5-7 6-0 6-3,(ch),1.53,8.1%,0.0%,68.9%,76.5%,47.8%,1/4,2:08,57.4%,49.5%,3.2%,36.7%,71.4%,6/15,169,6,0,74,51,23,3
5‑Mar‑2025,Indian Wells Masters,Hard,R16,13,9,(12)Runed.(8)Stefanos Tsitsipas[GRE],6-4 6-4,(ch),1.45,5.2%,0.0%,70.7%,73.2%,64.7%,5/6,1:28,56.3%,42.6%,3.3%,40.5%,45.8%,3/5,119,3,0,58,41,17,2
5‑Mar‑2025,Indian Wells Masters,Hard,R32,13,19,(12)Runed.(18)Ugo Humbert[FRA],5-7 6-4 7-5,,1.08,5.5%,8.2%,50.9%,75.0%,51.9%,7/10,2:35,51.9%,39.4%,9.6%,29.1%,51.0%,4/10,214,6,9,110,56,54,10
5‑Mar‑2025,Indian Wells Masters,Hard,R64,13,79,(12)Runed.Corentin Moutet[FRA],6-2 6-4,,1.49,4.0%,2.0%,68.0%,70.6%,56.3%,3/5,1:46,57.5%,50.8%,3.2%,51.2%,50.0%,5/11,113,2,1,50,34,16,2
24‑Feb‑2025,Acapulco,Hard,R16,13,42,Brandon Nakashima[USA]d.(4)Rune,3-0 RET,,0.30,0.0%,0.0%,50.0%,33.3%,33.3%,0/1,0:10,25.0%,20.0%,20.0%,0.0%,40.0%,0/0,16,0,0,6,3,3,2
24‑Feb‑2025,Acapulco,Hard,R32,13,50,(4)Runed.Roberto Carballes Baena[ESP],7-6(4) 6-3,,1.17,4.3%,0.0%,59.4%,78.0%,42.9%,2/4,1:58,53.3%,42.4%,1.5%,35.4%,61.1%,3/6,135,3,0,69,41,28,1
