Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2025 Miami R64,W vsKecmanovic,1.24,1.15,64.4,9.8,16.7%,74.1%,2.2%,57.8%,23.8%,38.5%
2025 Indian Wells R64,L vsGiron,0.88,0.85,53.0,3.4,3.8%,66.0%,0.0%,54.2%,36.7%,40.0%
2025 Dallas F,L vsShapovalov,0.84,0.71,54.2,2.5,10.8%,59.5%,2.8%,69.4%,31.6%,28.6%
2025 Dallas SF,W vsMunar,1.21,1.17,81.1,9.7,8.2%,61.2%,0.0%,58.5%,36.2%,40.9%
2025 Australian Open R64,L vsMensik,0.98,0.72,37.1,2.2,10.9%,51.6%,1.8%,63.2%,28.1%,35.3%
2025 Australian Open R128,W vsMunar,1.11,1.24,40.6,2.6,4.6%,66.2%,6.9%,63.8%,34.7%,43.9%
2025 United Cup RR,W vsHurkacz,1.16,1.79,40.6,2.3,6.3%,71.9%,6.9%,79.3%,50.0%,25.0%
2024 Tour Finals SF,L vsSinner,0.97,0.47,40.4,2.0,4.8%,47.6%,0.0%,44.4%,24.0%,28.6%
2024 Tour Finals RR,L vsZverev,0.76,0.48,43.6,2.5,6.7%,66.7%,3.8%,76.9%,19.4%,16.7%
2024 Tour Finals RR,W vsAlcaraz,1.37,1.69,47.0,2.3,5.4%,70.3%,8.1%,59.5%,40.0%,47.4%
2024 Tour Finals RR,W vsRublev,1.20,1.34,48.3,2.4,23.9%,73.9%,10.3%,64.1%,40.0%,27.8%
2024 US Open R16,L vsFritz,0.89,0.72,37.4,4.3,6.8%,69.5%,0.0%,61.1%,27.3%,28.6%
2024 US Open R32,W vsShang,1.01,1.19,48.3,9.2,6.3%,63.7%,7.0%,60.6%,38.0%,51.4%
2024 US Open R64,W vsMonfils,1.13,1.40,33.2,2.2,8.9%,73.2%,3.9%,62.7%,42.9%,35.1%
2024 US Open R128,W vsYunchaokete,0.95,1.78,28.7,2.6,16.7%,76.2%,18.9%,70.3%,50.0%,50.0%
2024 Cincinnati R32,L vsAuger Aliassime,0.70,0.35,25.1,2.0,0.0%,48.0%,0.0%,43.5%,36.4%,15.8%
2024 Paris Olympics R16,W vsCerundolo,1.18,1.68,45.3,2.4,3.2%,74.2%,6.5%,74.2%,42.9%,29.2%
2024 Wimbledon R64,L vsFognini,0.80,0.86,38.2,2.2,17.6%,67.6%,4.5%,62.1%,39.5%,36.1%
2024 Wimbledon R128,W vsBolt,1.05,1.56,32.3,2.4,19.2%,75.0%,17.4%,73.9%,37.3%,38.9%
2024 Roland Garros SF,L vsZverev,0.94,0.57,29.7,3.2,3.5%,64.9%,4.1%,53.1%,25.0%,23.7%
2024 Roland Garros R64,W vsDavidovich Fokina,1.09,1.14,54.6,2.4,7.9%,57.9%,5.7%,65.7%,36.1%,44.9%
2024 Geneva F,W vsMachac,1.25,1.45,41.8,3.7,2.6%,63.2%,2.8%,63.9%,38.9%,45.7%
2024 Rome R64,L vsKecmanovic,0.80,0.85,70.4,4.7,8.5%,55.3%,4.7%,60.5%,40.5%,50.0%
2024 Barcelona F,W vsTsitsipas,1.03,1.76,44.4,3.0,6.9%,75.9%,0.0%,74.1%,50.0%,34.5%
2024 Barcelona QF,W vsArnaldi,1.14,1.50,54.0,2.1,5.7%,71.4%,0.0%,53.1%,51.9%,45.8%
2024 Barcelona R16,W vsThompson,1.16,2.88,32.8,2.0,0.0%,87.5%,4.8%,76.2%,44.4%,43.5%
2024 Barcelona R32,W vsMuller,1.02,1.38,47.7,2.8,3.4%,62.1%,7.4%,59.3%,61.1%,44.1%
2024 Monte Carlo F,L vsTsitsipas,0.84,0.69,50.6,2.1,7.1%,46.4%,0.0%,66.7%,43.2%,27.8%
2024 Monte Carlo SF,W vsDjokovic,1.52,1.28,49.7,2.1,7.1%,59.5%,2.8%,52.8%,32.6%,41.7%
2024 Monte Carlo QF,W vsHumbert,1.07,1.36,49.8,2.3,7.5%,65.0%,2.6%,65.8%,45.2%,43.2%
2024 Monte Carlo R16,W vsHurkacz,1.11,2.13,38.4,2.3,7.4%,77.8%,0.0%,77.3%,40.6%,45.2%
2024 Monte Carlo R32,W vsTabilo,0.85,1.64,47.9,2.1,17.9%,71.4%,8.0%,76.0%,51.5%,50.0%
2024 Estoril SF,L vsMartinez,0.87,0.80,49.3,2.5,5.4%,58.9%,9.6%,59.6%,46.2%,28.6%
2024 Estoril QF,W vsFucsovics,1.40,2.90,27.6,2.0,4.0%,72.0%,0.0%,86.4%,38.5%,50.0%
2024 Miami R16,L vsJarry,1.01,0.59,52.6,2.8,13.5%,62.2%,6.5%,64.5%,24.2%,18.8%
2024 Miami R64,W vsVan Assche,1.52,1.25,52.6,2.9,10.0%,80.0%,8.3%,52.8%,23.1%,31.4%
2024 Indian Wells QF,L vsPaul,0.85,0.80,62.4,2.5,2.1%,56.3%,4.3%,52.2%,40.0%,46.3%
2024 Indian Wells R32,W vsFils,1.47,3.93,36.5,2.0,4.5%,81.8%,4.8%,85.7%,40.6%,46.7%
2024 Acapulco F,L vsDe Minaur,0.97,0.65,46.1,2.2,0.0%,65.9%,2.5%,45.0%,32.3%,26.9%
2024 Acapulco R16,W vsLajovic,1.35,1.68,48.0,2.2,9.4%,71.9%,6.9%,82.8%,25.8%,32.0%
2024 Acapulco R32,W vsEubanks,1.10,1.44,58.7,2.7,6.4%,74.5%,7.0%,79.1%,28.0%,33.3%
2024 Los Cabos F,L vsThompson,0.98,0.73,53.7,2.4,0.0%,64.7%,0.0%,51.6%,34.1%,28.2%
2024 Los Cabos SF,W vsTsitsipas,1.10,1.39,55.0,2.2,8.1%,78.4%,6.1%,69.7%,23.7%,42.4%
2024 Los Cabos QF,W vsBorges,1.38,2.37,34.7,2.0,3.6%,82.1%,12.5%,62.5%,33.3%,61.1%
2024 Australian Open R32,L vsNorrie,0.84,0.74,47.2,11.2,15.6%,68.8%,15.5%,63.8%,37.7%,20.0%
2024 United Cup QF,W vsMannarino,1.38,2.57,29.1,2.0,25.9%,81.5%,13.0%,69.6%,38.5%,52.2%
2024 United Cup RR,W vsGriekspoor,1.26,1.74,45.7,2.3,10.7%,71.4%,11.5%,73.1%,32.1%,45.8%
2023 Paris R32,L vsCerundolo,0.83,0.71,53.7,2.7,12.1%,60.6%,3.6%,60.7%,35.1%,32.4%
2023 Shanghai R16,L vsMarozsan,0.92,0.87,81.8,4.1,12.5%,60.9%,10.2%,64.4%,34.5%,36.4%
2023 Shanghai R32,W vsEubanks,1.10,2.36,40.4,2.2,0.0%,75.0%,4.5%,86.4%,42.9%,40.7%
2023 Shanghai R64,W vsNishioka,0.74,2.20,42.1,2.0,15.0%,80.0%,31.6%,84.2%,58.1%,48.3%
2023 Beijing QF,L vsAlcaraz,1.06,0.66,45.7,3.1,2.6%,43.6%,0.0%,57.9%,20.7%,42.3%
2023 Beijing R32,W vsStruff,1.11,1.35,58.1,2.4,12.8%,66.7%,8.3%,66.7%,36.4%,45.0%
2023 US Open R64,L vsZhang,0.92,0.76,37.0,2.1,6.5%,63.6%,2.9%,58.8%,25.0%,40.0%
2023 US Open R128,W vsNava,1.24,1.13,49.9,2.9,5.6%,65.3%,0.0%,71.2%,30.4%,27.1%
2023 Cincinnati R32,L vsPurcell,0.86,0.87,74.9,3.1,18.6%,62.8%,10.0%,75.0%,35.4%,27.9%
2023 Hamburg QF,L vsFils,0.96,0.52,41.4,2.0,3.6%,53.6%,3.6%,46.4%,28.0%,26.1%
2023 Bastad F,L vsRublev,1.06,0.62,49.0,2.3,13.5%,64.9%,0.0%,42.9%,16.1%,37.9%
2023 Bastad SF,W vsMusetti,1.21,1.55,47.1,2.1,2.7%,75.7%,11.4%,62.9%,38.2%,40.0%
2023 Bastad QF,W vsOfner,1.10,1.62,43.9,2.2,2.9%,77.1%,3.4%,65.5%,38.2%,45.2%
2023 Bastad R16,W vsShevchenko,0.98,1.60,46.9,2.1,6.5%,77.4%,0.0%,59.3%,46.4%,55.6%
2023 Wimbledon R64,L vsBroady,1.05,0.79,42.0,4.0,7.4%,65.4%,5.1%,48.7%,26.9%,38.3%
2023 Wimbledon R128,W vsLokoli,0.94,1.42,37.7,2.2,5.4%,80.4%,5.9%,62.7%,39.7%,44.8%
2023 Roland Garros F,L vsDjokovic,1.00,0.62,33.1,2.8,0.0%,60.0%,7.8%,60.8%,22.6%,27.1%
2023 Roland Garros SF,W vsZverev,1.28,1.71,29.9,2.0,6.7%,57.8%,6.8%,70.5%,50.0%,45.5%
2023 Roland Garros QF,W vsRune,1.16,1.53,27.2,2.2,5.2%,75.9%,3.8%,57.7%,42.4%,44.4%
2023 Rome SF,L vsRune,0.89,0.80,54.0,15.3,10.9%,60.9%,9.5%,61.9%,33.3%,36.0%
2023 Rome R16,W vsDjere,0.98,1.83,39.2,2.7,9.1%,68.2%,15.0%,75.0%,46.7%,60.7%
2023 Monte Carlo R32,W vsVan De Zandschulp,1.01,1.24,65.7,2.4,2.3%,58.1%,2.5%,60.0%,59.5%,40.0%
2023 Estoril F,W vsKecmanovic,1.07,1.59,53.7,2.2,9.1%,78.8%,0.0%,69.7%,36.1%,40.6%
2023 Estoril SF,W vsHalys,1.21,1.25,63.0,2.4,4.0%,86.0%,2.5%,60.0%,34.8%,17.1%
2023 Miami R32,L vsVan De Zandschulp,0.75,0.92,82.0,8.8,10.0%,74.0%,2.3%,60.5%,33.9%,45.8%
2023 Miami R64,W vsIvashka,1.15,1.82,36.5,2.0,15.4%,61.5%,4.3%,78.3%,40.6%,56.7%
2023 Indian Wells R32,L vsGarin,0.88,0.75,53.2,2.3,2.4%,64.3%,5.3%,60.5%,35.0%,28.9%
2023 Indian Wells R64,W vsSchwartzman,1.12,2.04,37.8,2.0,0.0%,76.9%,4.2%,75.0%,40.0%,48.1%
2023 Australian Open R64,L vsBrooksby,0.92,0.77,34.3,2.4,5.6%,59.2%,1.6%,46.8%,40.5%,37.7%
2023 Australian Open R128,W vsMachac,1.00,1.29,40.5,2.2,11.6%,75.4%,4.7%,64.1%,44.9%,32.4%
2023 Auckland R16,L vsDjere,0.87,0.87,60.9,5.0,10.4%,68.8%,11.6%,74.4%,27.5%,29.8%
2023 United Cup RR,L vsBerrettini,0.71,0.58,38.2,2.7,10.3%,79.3%,4.3%,52.2%,21.9%,32.1%
2022 Tour Finals F,L vsDjokovic,0.82,0.46,40.5,2.3,16.7%,66.7%,3.7%,63.0%,23.3%,16.0%
2022 Tour Finals SF,W vsRublev,1.57,2.75,27.3,2.2,33.3%,87.5%,9.1%,63.6%,38.5%,45.8%
2022 Tour Finals RR,W vsAuger Aliassime,1.44,1.53,51.6,2.2,5.7%,80.0%,12.5%,71.9%,28.1%,22.2%
2022 Tour Finals RR,L vsNadal,0.96,0.50,46.9,2.4,8.6%,74.3%,3.2%,54.8%,25.0%,10.3%
2022 Tour Finals RR,W vsFritz,1.19,1.36,76.6,2.7,20.4%,77.6%,9.1%,75.0%,34.0%,19.0%
2022 Paris R16,L vsMusetti,0.96,0.74,57.1,5.5,2.1%,64.6%,2.3%,65.1%,28.6%,25.0%
2022 Paris R32,W vsGasquet,1.03,1.71,56.6,2.0,9.7%,74.2%,10.7%,78.6%,35.7%,43.5%
2022 Basel R32,L vsWawrinka,0.64,0.64,39.6,2.2,9.1%,81.8%,14.3%,76.2%,17.9%,24.0%
2022 Seoul QF,L vsNishioka,0.93,0.73,53.2,2.6,11.9%,64.3%,12.5%,52.5%,37.5%,27.3%
2022 Seoul R16,W vsJarry,1.31,1.56,44.0,2.0,8.1%,78.4%,9.1%,66.7%,33.3%,31.3%
2022 US Open F,L vsAlcaraz,0.83,0.83,43.6,2.7,4.8%,64.5%,1.8%,67.3%,30.4%,38.1%
2022 US Open SF,W vsKhachanov,0.98,1.47,33.4,2.7,10.3%,74.1%,8.0%,74.0%,37.9%,39.7%
2022 US Open QF,W vsBerrettini,1.35,1.70,21.6,2.0,0.0%,64.2%,0.0%,68.2%,54.0%,31.3%
2022 US Open R16,W vsMoutet,1.03,1.37,33.9,2.2,3.3%,68.9%,5.0%,68.3%,38.7%,45.5%
2022 US Open R32,W vsPaul,1.00,1.17,51.1,3.9,2.3%,70.1%,2.7%,61.6%,37.1%,42.2%
2022 US Open R64,W vsVan Rijthoven,1.13,1.35,41.2,4.4,9.5%,79.4%,1.8%,70.9%,28.1%,30.9%
2022 US Open R128,W vsEdmund,1.00,1.48,37.5,2.5,10.6%,66.0%,12.2%,70.7%,53.2%,40.5%
2022 Cincinnati R32,L vsShelton,0.77,0.35,30.8,2.0,10.3%,65.5%,17.9%,53.6%,13.0%,23.8%
2022 Canada SF,L vsHurkacz,0.78,0.79,49.2,7.5,12.5%,65.0%,8.3%,61.1%,35.3%,39.6%
2022 Canada QF,W vsAuger Aliassime,1.13,1.83,34.3,2.6,13.0%,78.3%,0.0%,50.0%,48.0%,68.2%
2022 Gstaad F,W vsBerrettini,1.03,1.42,57.3,5.9,10.6%,83.0%,4.9%,65.9%,35.7%,32.7%
2022 Gstaad SF,W vsRamos,1.41,2.71,31.2,2.0,4.3%,78.3%,0.0%,60.0%,65.0%,50.0%
2022 Gstaad QF,W vsMunar,1.00,1.28,65.4,2.4,7.0%,65.1%,2.4%,73.2%,41.7%,37.0%
2022 Gstaad R16,W vsLehecka,0.90,1.70,56.5,2.3,6.9%,62.1%,7.1%,92.9%,50.0%,35.7%
2022 Wimbledon R64,L vsHumbert,0.89,0.80,43.1,3.5,7.9%,63.5%,1.7%,54.2%,36.5%,37.0%
2022 Wimbledon R128,W vsRamos,0.96,1.32,44.1,2.2,10.7%,67.9%,15.4%,71.2%,47.8%,35.5%
2022 Roland Garros F,L vsNadal,1.07,0.61,28.4,2.0,0.0%,48.8%,0.0%,41.0%,27.3%,35.7%
2022 Roland Garros SF,W vsCilic,1.13,1.45,30.9,3.5,15.5%,67.2%,13.7%,70.6%,40.0%,40.0%
2022 Roland Garros QF,W vsRune,0.92,1.30,47.1,2.4,9.5%,71.4%,14.5%,67.3%,41.1%,45.7%
2022 Roland Garros R16,W vsHurkacz,1.13,1.50,29.6,2.0,1.9%,73.6%,4.5%,61.4%,43.9%,40.7%
2022 Roland Garros R128,W vsTsonga,0.91,1.24,49.1,4.4,2.7%,68.9%,7.4%,72.1%,41.5%,38.9%
2022 Geneva F,W vsSousa,1.18,1.13,71.1,17.0,11.7%,66.7%,7.0%,64.9%,31.0%,34.6%
2022 Geneva SF,W vsOpelka,1.31,2.48,44.6,2.1,8.6%,88.6%,3.4%,79.3%,34.2%,24.2%
2022 Geneva R16,W vsPaire,1.03,1.81,41.7,2.7,16.0%,72.0%,4.3%,60.9%,63.6%,52.6%
2022 Rome SF,L vsDjokovic,0.70,0.52,35.1,2.1,3.1%,56.3%,3.1%,59.4%,33.3%,29.2%
2022 Rome QF,W vsShapovalov,1.24,1.70,73.5,2.5,6.8%,81.8%,5.4%,64.9%,48.1%,23.1%
2022 Rome R16,W vsBrooksby,1.13,1.56,46.7,2.0,6.1%,66.7%,9.7%,77.4%,39.4%,38.7%
2022 Rome R32,W vsVan De Zandschulp,1.10,1.40,54.9,4.2,0.0%,67.3%,2.2%,75.6%,36.0%,37.0%
2022 Munich QF,L vsVan De Zandschulp,1.06,0.56,54.0,2.3,5.4%,59.5%,0.0%,47.1%,19.2%,30.4%
2022 Munich R16,W vsMolcan,1.23,1.19,62.8,4.2,7.7%,69.2%,4.1%,53.1%,39.1%,35.7%
2022 Barcelona R32,W vsNakashima,1.30,1.61,43.8,2.3,10.8%,64.9%,11.4%,57.1%,44.4%,52.0%
2022 Monte Carlo R16,L vsDimitrov,0.77,0.43,36.1,2.1,5.7%,71.4%,0.0%,44.8%,34.6%,9.1%
2022 Monte Carlo R32,W vsRune,1.13,1.30,63.2,2.9,0.0%,59.5%,5.3%,65.8%,41.5%,44.4%
2022 Miami F,L vsAlcaraz,0.87,0.69,45.6,3.3,7.9%,60.5%,5.7%,54.3%,40.0%,27.3%
2022 Miami SF,W vsCerundolo,1.07,1.51,48.3,2.7,3.2%,64.5%,20.0%,63.3%,60.0%,40.7%
2022 Miami QF,W vsZverev,1.41,1.60,43.7,2.2,6.1%,72.7%,13.3%,76.7%,25.7%,32.3%
2022 Miami R32,W vsBublik,1.24,2.51,36.4,2.1,12.5%,83.3%,0.0%,72.7%,55.6%,30.4%
2022 Indian Wells R32,L vsKyrgios,0.73,0.45,31.6,2.0,16.7%,63.3%,8.3%,62.5%,20.7%,26.1%
2022 Buenos Aires F,W vsSchwartzman,0.91,1.40,55.5,4.6,14.3%,76.2%,14.3%,68.6%,44.9%,38.3%
2021 Tour Finals SF,L vsMedvedev,0.78,0.41,37.6,2.1,0.0%,56.3%,0.0%,63.3%,15.4%,28.6%
2021 Tour Finals RR,L vsDjokovic,1.19,0.60,50.0,3.0,16.7%,52.8%,9.1%,57.6%,21.4%,24.0%
