Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2025 Indian Wells SF,L vsRune,0.87,0.69,51.3,2.6,3.0%,51.5%,3.7%,70.4%,27.8%,35.3%
2025 Indian Wells QF,W vsFils,1.02,1.16,93.8,7.3,4.3%,66.0%,7.3%,68.3%,38.2%,37.3%
2025 Dubai QF,L vsGriekspoor,0.78,0.89,84.5,13.6,17.5%,73.7%,9.6%,61.5%,36.2%,37.0%
2025 Dubai R16,W vsMpetshi Perricard,1.14,2.68,58.7,2.2,11.5%,92.3%,13.6%,72.7%,39.5%,38.9%
2025 Doha R16,W vsBergs,1.37,3.37,27.9,2.1,15.0%,90.0%,6.3%,62.5%,47.8%,61.9%
2025 Marseille R16,W vsHerbert,1.04,2.34,35.2,2.1,0.0%,80.0%,25.0%,79.2%,48.1%,44.0%
2025 Rotterdam R16,L vsBellucci,0.82,0.91,75.7,2.5,8.2%,65.3%,11.4%,65.9%,43.3%,32.8%
2025 Rotterdam R32,W vsWawrinka,0.93,1.24,61.8,4.0,8.7%,60.9%,7.1%,69.0%,42.6%,51.9%
2025 Australian Open R128,W vsSamrej,0.78,1.52,43.0,5.2,21.4%,78.6%,25.0%,77.1%,50.6%,35.5%
2024 Tour Finals RR,L vsFritz,0.96,0.58,48.9,2.2,19.4%,74.2%,6.9%,44.8%,30.0%,17.9%
2024 Tour Finals RR,L vsSinner,0.99,0.58,47.6,2.0,10.7%,60.7%,12.5%,62.5%,15.4%,30.4%
2024 Tour Finals RR,W vsDe Minaur,1.14,2.41,39.2,2.2,12.0%,80.0%,4.5%,81.8%,32.3%,48.4%
2024 Shanghai QF,L vsSinner,0.96,0.49,39.2,2.0,6.5%,67.7%,3.7%,37.0%,14.8%,34.8%
2024 Shanghai R16,W vsTsitsipas,1.09,1.82,60.5,2.3,21.2%,78.8%,10.0%,73.3%,46.5%,32.5%
2024 Beijing SF,L vsAlcaraz,1.01,0.69,47.6,2.4,0.0%,45.7%,9.7%,61.3%,35.7%,28.0%
2024 Beijing R32,W vsMonfils,0.93,1.39,51.0,2.1,2.9%,70.6%,3.3%,56.7%,51.4%,56.3%
2024 US Open QF,L vsSinner,0.98,0.69,34.0,2.1,1.8%,48.2%,7.5%,64.2%,31.4%,30.4%
2024 US Open R16,W vsBorges,0.97,1.75,24.3,2.0,15.8%,78.9%,8.6%,57.1%,58.7%,54.5%
2024 US Open R32,W vsCobolli,1.06,1.53,31.3,2.5,8.9%,64.4%,12.5%,65.0%,55.1%,46.8%
2024 US Open R64,W vsMarozsan,1.23,1.49,28.9,2.0,6.1%,61.2%,10.9%,58.7%,50.0%,46.8%
2024 US Open R128,W vsLajovic,1.21,1.35,33.2,2.3,15.6%,64.1%,6.6%,62.3%,36.8%,46.0%
2024 Cincinnati R32,L vsLehecka,0.77,0.80,50.8,2.4,8.3%,63.9%,13.3%,76.7%,25.6%,37.5%
2024 Canada R32,L vsDavidovich Fokina,0.79,0.80,49.9,2.1,12.8%,56.4%,11.1%,61.1%,42.9%,40.0%
2024 Paris Olympics R32,W vsOfner,1.03,1.97,39.5,2.2,12.0%,84.0%,14.3%,61.9%,43.3%,57.1%
2024 Wimbledon SF,L vsAlcaraz,0.94,0.78,39.0,3.4,4.4%,67.6%,3.2%,55.6%,33.3%,30.2%
2024 Wimbledon QF,W vsSinner,1.20,1.06,51.9,3.7,6.7%,70.0%,10.7%,63.1%,21.3%,38.6%
2024 Wimbledon R32,W vsStruff,1.01,1.46,38.1,2.0,17.9%,83.9%,6.3%,60.4%,38.5%,39.3%
2024 Wimbledon R64,W vsMuller,0.96,1.21,49.5,5.8,10.5%,71.1%,8.3%,68.1%,34.9%,41.8%
2024 Wimbledon R128,W vsKovacevic,1.40,2.15,21.4,2.0,23.8%,81.0%,15.4%,64.1%,41.9%,41.5%
2024 Monte Carlo R32,W vsMonfils,0.89,1.60,48.4,2.3,0.0%,74.1%,0.0%,69.6%,47.1%,53.3%
2024 Miami SF,L vsSinner,0.86,0.46,32.0,2.1,3.8%,46.2%,4.2%,50.0%,32.0%,22.7%
2024 Miami QF,W vsJarry,1.07,1.47,60.5,2.0,11.8%,85.3%,6.7%,60.0%,41.2%,31.0%
2024 Miami R64,W vsFucsovics,1.52,2.25,32.2,2.2,13.3%,83.3%,4.0%,60.0%,33.3%,47.8%
2024 Indian Wells F,L vsAlcaraz,1.08,0.67,57.1,3.1,2.5%,60.0%,5.1%,51.3%,27.3%,27.6%
2024 Indian Wells SF,W vsPaul,1.29,1.22,50.6,6.2,1.9%,60.4%,2.0%,44.0%,44.0%,46.0%
2024 Indian Wells R16,W vsDimitrov,1.16,1.96,40.4,2.2,11.1%,77.8%,8.3%,75.0%,36.7%,42.9%
2024 Indian Wells R32,W vsKorda,0.85,0.98,73.2,2.3,2.2%,60.9%,2.4%,51.2%,45.9%,55.0%
2024 Indian Wells R64,W vsCarballes Baena,1.08,1.91,44.6,2.2,3.8%,73.1%,0.0%,72.7%,25.0%,72.7%
