Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2025 Indian Wells R32,L vsDe Minaur,0.87,0.49,38.5,2.2,16.7%,50.0%,15.8%,47.4%,16.0%,41.7%
2025 Indian Wells R64,W vsGaston,1.34,1.31,54.7,2.3,20.0%,65.0%,13.9%,69.4%,28.6%,35.7%
2025 Marseille R16,L vsZhang,0.90,0.78,66.2,2.5,12.0%,62.0%,17.8%,75.6%,25.5%,29.5%
2025 Rotterdam SF,L vsAlcaraz,0.93,0.79,60.6,3.7,15.4%,59.6%,4.3%,70.2%,29.4%,31.1%
2025 Rotterdam QF,W vsRublev,0.91,1.29,68.0,4.6,22.4%,71.4%,13.3%,71.1%,39.0%,41.8%
2025 Rotterdam R32,W vsCobolli,1.09,2.08,41.9,2.2,16.0%,80.0%,13.0%,73.9%,28.6%,59.3%
2025 Australian Open R64,L vsKecmanovic,0.79,0.56,27.6,2.0,20.9%,65.1%,12.8%,61.5%,26.7%,25.6%
2025 Australian Open R128,W vsGriekspoor,1.03,1.63,39.1,2.1,17.8%,71.1%,15.8%,78.9%,36.1%,44.1%
2025 United Cup F,L vsFritz,0.82,0.82,69.5,3.7,20.0%,72.0%,15.2%,76.1%,22.0%,30.4%
2025 United Cup SF,W vsShevchenko,1.22,2.53,32.8,2.2,24.0%,88.0%,19.0%,66.7%,42.3%,47.8%
2025 United Cup QF,W vsHarris,1.28,2.08,54.7,2.2,30.6%,83.3%,22.6%,77.4%,33.3%,29.7%
2025 United Cup RR,L vsRuud,0.86,0.56,40.6,2.3,16.7%,50.0%,14.3%,75.0%,28.1%,20.7%
2025 United Cup RR,L vsMachac,0.71,0.79,59.8,2.4,13.6%,70.5%,22.0%,73.2%,25.0%,38.5%
2024 Paris R64,L vsMichelsen,0.85,0.35,34.7,2.0,7.1%,42.9%,12.0%,52.0%,8.7%,38.9%
2024 Tokyo R16,L vsDraper,0.78,0.66,44.8,2.6,15.6%,62.5%,20.0%,66.7%,33.3%,25.8%
2024 Tokyo R32,W vsGiron,1.04,1.36,58.0,2.2,22.9%,77.1%,12.2%,73.2%,30.0%,34.9%
2024 US Open R64,L vsThompson,0.84,0.67,30.7,3.0,4.1%,55.1%,9.3%,58.1%,29.6%,40.0%
2024 US Open R128,W vsSkatov,1.01,1.37,40.8,2.0,24.6%,68.4%,26.5%,71.4%,36.2%,45.5%
2024 Cincinnati R16,W vsCobolli,1.13,1.49,48.7,2.1,13.2%,78.9%,15.6%,62.5%,43.9%,30.6%
2024 Cincinnati R32,W vsNishioka,1.14,1.18,59.7,9.2,18.6%,61.0%,20.0%,70.9%,43.2%,26.3%
2024 Canada QF,L vsPopyrin,0.99,0.86,86.6,11.4,6.9%,50.0%,4.3%,69.6%,40.7%,29.4%
2024 Canada R16,W vsRinderknech,1.23,1.29,58.3,4.1,2.1%,70.8%,4.7%,65.1%,28.6%,38.9%
2024 Canada R32,W vsKokkinakis,1.19,1.19,90.1,5.4,17.0%,69.8%,10.2%,73.5%,30.6%,25.6%
2024 Wimbledon R128,W vsAlbot,1.11,1.33,39.9,3.7,20.3%,70.3%,19.0%,70.7%,30.5%,40.4%
2024 Halle F,L vsSinner,1.04,0.50,63.2,2.5,13.0%,63.0%,14.0%,74.4%,5.3%,26.5%
2024 Halle SF,W vsZverev,1.31,1.25,49.3,2.5,27.0%,70.3%,20.6%,79.4%,18.2%,31.0%
2024 Halle QF,W vsGiron,1.25,1.34,55.1,2.3,10.0%,72.5%,18.9%,64.9%,42.1%,23.5%
2024 Halle R16,W vsDuckworth,1.05,2.35,48.9,2.1,34.4%,84.4%,22.2%,85.2%,30.0%,38.9%
2024 Halle R32,W vsCobolli,1.06,1.55,60.6,2.2,31.6%,78.9%,20.0%,70.0%,46.7%,26.2%
2024 Roland Garros R16,L vsDimitrov,0.93,0.75,37.4,2.6,20.6%,60.3%,12.3%,68.4%,23.7%,34.5%
2024 Roland Garros R32,W vsShapovalov,0.96,1.51,33.6,2.0,12.1%,77.6%,5.7%,69.8%,42.2%,39.3%
2024 Roland Garros R128,W vsMochizuki,0.95,1.26,46.4,4.1,17.8%,69.9%,12.3%,64.6%,48.1%,38.0%
2024 Rome QF,L vsPaul,0.88,0.82,83.2,5.8,10.4%,52.1%,7.0%,53.5%,45.5%,42.3%
2024 Rome R16,W vsBaez,1.15,1.26,55.3,13.3,16.4%,72.7%,17.0%,57.4%,36.2%,39.2%
2024 Rome R32,W vsEtcheverry,1.19,1.39,57.5,2.5,15.0%,67.5%,13.5%,70.3%,35.3%,37.5%
2024 Rome R64,W vsNadal,1.03,1.82,41.8,2.2,17.2%,65.5%,14.8%,81.5%,33.3%,61.5%
2024 Madrid R16,L vsFritz,0.91,0.47,42.1,2.2,18.9%,67.6%,11.4%,68.6%,21.2%,10.7%
2024 Madrid R32,W vsAltmaier,1.02,1.32,60.1,2.4,12.8%,69.2%,5.9%,58.8%,41.0%,51.4%
2024 Madrid R64,W vsDraper,1.20,2.18,39.1,2.0,23.3%,83.3%,8.7%,69.6%,45.5%,35.7%
2024 Monte Carlo R16,L vsRuud,0.90,0.47,38.4,2.3,12.5%,59.4%,6.5%,54.8%,22.2%,22.7%
2024 Monte Carlo R32,W vsBautista Agut,1.15,1.39,52.2,2.3,19.5%,61.0%,21.1%,76.3%,36.2%,40.5%
2024 Monte Carlo R64,W vsDraper,1.24,1.22,59.4,2.7,4.0%,62.0%,11.6%,65.1%,37.3%,34.0%
2024 Estoril F,W vsMartinez,1.15,2.28,32.6,2.0,35.7%,75.0%,21.7%,82.6%,44.1%,41.2%
2024 Estoril QF,W vsLlamas Ruiz,1.22,1.44,59.4,2.5,10.3%,66.7%,0.0%,74.3%,25.6%,45.7%
2024 Estoril R16,W vsChoinski,1.07,1.34,60.5,3.6,26.3%,68.4%,6.1%,69.7%,42.5%,35.1%
2024 Miami R16,L vsDimitrov,0.92,0.84,80.4,5.2,10.5%,68.4%,3.8%,62.3%,29.1%,34.7%
2024 Miami R32,W vsKorda,1.07,1.44,63.6,2.4,20.8%,84.9%,8.5%,76.6%,24.5%,26.5%
2024 Miami R64,W vsShevchenko,1.12,1.54,55.0,2.3,27.7%,78.7%,37.5%,75.0%,28.0%,35.7%
2024 Indian Wells R64,L vsMonfils,1.06,0.76,48.7,2.0,2.4%,47.6%,2.6%,56.4%,34.8%,34.2%
2024 Dubai QF,L vsHumbert,0.74,0.90,70.3,10.8,14.3%,71.4%,8.7%,65.2%,41.8%,34.6%
2024 Dubai R16,W vsOconnell,1.30,1.92,50.0,2.3,11.4%,85.7%,25.0%,71.4%,35.1%,25.0%
2024 Dubai R32,W vsStruff,1.14,0.92,89.5,8.6,18.3%,73.2%,16.7%,69.7%,22.6%,23.2%
2024 Rotterdam R16,L vsGriekspoor,0.85,1.01,77.4,5.5,24.1%,79.3%,25.5%,74.5%,31.7%,22.4%
