Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2025 Australian Open F,W vsZverev,1.06,1.61,37.2,2.1,10.2%,79.6%,2.2%,71.7%,27.5%,47.7%
2025 Australian Open SF,W vsShelton,0.91,1.43,32.6,3.0,10.9%,71.7%,7.0%,67.4%,41.7%,53.4%
2025 Australian Open QF,W vsDe Minaur,1.05,2.94,21.8,2.0,9.4%,84.4%,0.0%,81.5%,41.5%,54.1%
2025 Australian Open R16,W vsRune,1.01,1.46,37.3,2.4,12.5%,73.2%,14.3%,71.4%,45.6%,34.0%
2025 Australian Open R32,W vsGiron,1.17,1.80,26.9,2.0,4.5%,72.7%,15.4%,66.7%,48.8%,43.6%
2025 Australian Open R64,W vsSchoolkate,1.05,1.47,33.7,3.8,9.4%,67.9%,19.1%,70.2%,42.3%,44.8%
2025 Australian Open R128,W vsJarry,1.13,1.67,38.6,2.2,7.5%,73.6%,6.3%,81.3%,28.8%,39.1%
2024 Davis Cup RR,W vsGriekspoor,1.22,1.70,45.4,2.4,33.3%,69.7%,18.5%,77.8%,41.9%,32.1%
2024 Davis Cup RR,W vsDe Minaur,1.11,1.56,50.2,2.1,6.5%,71.0%,7.7%,65.4%,36.7%,51.7%
2024 Tour Finals SF,W vsRuud,1.04,2.15,40.4,2.0,16.0%,76.0%,23.8%,71.4%,52.4%,55.6%
2024 Tour Finals RR,W vsDe Minaur,0.96,2.05,43.8,2.8,20.0%,80.0%,12.5%,79.2%,34.5%,53.8%
2024 Tour Finals RR,W vsFritz,1.18,1.45,54.7,2.3,8.6%,68.6%,9.7%,71.0%,42.4%,32.3%
2024 Tour Finals RR,W vsMedvedev,1.12,1.92,47.6,2.0,15.4%,84.6%,0.0%,69.6%,39.3%,37.5%
2024 Shanghai F,W vsDjokovic,1.52,1.57,42.1,2.8,11.1%,72.2%,12.9%,71.0%,26.7%,32.1%
2024 Shanghai SF,W vsMachac,1.06,1.41,56.5,2.8,14.3%,68.6%,17.6%,70.6%,44.4%,36.4%
2024 Shanghai QF,W vsMedvedev,1.05,2.03,39.2,2.0,22.2%,85.2%,13.0%,65.2%,32.3%,63.0%
2024 Shanghai R16,W vsShelton,1.23,1.62,53.1,2.4,8.8%,73.5%,12.5%,87.5%,25.8%,25.9%
2024 Beijing F,L vsAlcaraz,1.03,0.89,85.9,7.2,3.0%,56.1%,6.3%,65.1%,38.1%,30.0%
2024 Beijing SF,W vsYunchaokete,1.04,1.43,54.7,2.4,10.3%,74.4%,18.4%,68.4%,38.1%,40.5%
2024 Beijing R16,W vsSafiullin,1.02,1.30,59.0,4.1,10.0%,77.5%,2.7%,54.1%,42.9%,43.2%
2024 Beijing R32,W vsJarry,0.93,1.73,41.7,4.0,5.7%,74.3%,0.0%,80.6%,39.0%,45.9%
2024 US Open F,W vsFritz,1.15,1.53,32.6,2.3,13.0%,69.6%,0.0%,66.7%,41.7%,42.9%
2024 US Open SF,W vsDraper,0.89,1.60,38.4,2.2,4.0%,74.0%,19.6%,78.3%,47.0%,38.5%
2024 US Open QF,W vsMedvedev,1.02,1.46,34.0,2.1,5.9%,68.6%,2.2%,69.6%,51.8%,35.8%
2024 US Open R16,W vsPaul,1.00,1.40,39.3,3.1,7.8%,68.6%,12.8%,68.1%,38.6%,50.0%
2024 US Open R32,W vsOconnell,1.21,2.55,21.6,2.0,20.5%,89.7%,23.3%,60.0%,43.9%,53.8%
2024 US Open R64,W vsMichelsen,0.93,1.65,31.9,2.2,2.9%,61.8%,6.5%,77.4%,52.6%,57.1%
2024 US Open R128,W vsMcdonald,1.10,1.52,30.7,4.7,16.0%,66.0%,6.8%,61.4%,41.2%,59.6%
2024 Cincinnati F,W vsTiafoe,0.91,1.94,50.7,2.4,22.6%,77.4%,22.2%,85.2%,44.2%,36.6%
2024 Cincinnati SF,W vsZverev,1.14,1.23,82.6,3.4,9.8%,65.6%,12.3%,70.2%,30.3%,39.3%
2024 Cincinnati QF,W vsRublev,0.94,1.12,58.8,9.8,8.5%,63.8%,14.0%,60.5%,49.2%,40.7%
2024 Cincinnati R32,W vsMichelsen,1.11,1.34,53.8,2.0,4.7%,72.1%,17.5%,62.5%,43.6%,35.1%
2024 Canada QF,L vsRublev,0.77,0.74,50.4,2.8,15.8%,60.5%,11.4%,62.9%,39.0%,34.2%
2024 Canada R16,W vsTabilo,1.11,2.03,38.8,2.4,11.5%,73.1%,9.1%,81.8%,48.6%,34.4%
2024 Canada R32,W vsCoric,1.05,1.92,39.5,2.2,18.5%,81.5%,15.4%,69.2%,45.7%,44.1%
2024 Wimbledon QF,L vsMedvedev,0.84,0.96,51.9,3.7,16.3%,78.8%,5.7%,61.4%,30.0%,36.9%
2024 Wimbledon R16,W vsShelton,1.09,1.65,32.5,2.1,10.6%,78.7%,4.7%,69.8%,43.1%,33.3%
2024 Wimbledon R32,W vsKecmanovic,1.23,2.38,24.7,2.0,21.6%,81.1%,9.4%,75.0%,40.5%,44.1%
2024 Wimbledon R64,W vsBerrettini,1.01,1.31,45.4,2.2,8.3%,70.8%,6.3%,73.0%,37.3%,35.4%
2024 Wimbledon R128,W vsHanfmann,1.24,1.43,28.1,2.0,15.2%,72.7%,10.0%,60.0%,38.3%,38.9%
2024 Halle F,W vsHurkacz,0.98,2.02,63.2,2.5,21.1%,94.7%,5.9%,73.5%,37.0%,25.6%
2024 Halle SF,W vsZhang,1.12,1.54,55.9,2.4,12.1%,63.6%,12.1%,84.8%,41.0%,29.4%
2024 Roland Garros SF,L vsAlcaraz,0.81,0.86,49.5,5.2,4.3%,62.3%,6.1%,60.6%,40.2%,41.3%
2024 Roland Garros QF,W vsDimitrov,1.08,1.74,27.7,2.1,8.5%,76.6%,9.5%,71.4%,43.6%,39.2%
2024 Roland Garros R16,W vsMoutet,1.14,1.57,23.3,4.5,6.1%,63.3%,4.3%,60.9%,56.9%,47.9%
2024 Roland Garros R32,W vsKotov,1.22,1.75,30.1,2.1,4.5%,75.0%,5.1%,74.4%,37.7%,34.8%
2024 Roland Garros R64,W vsGasquet,1.11,1.88,25.0,2.3,15.0%,70.0%,5.6%,75.0%,36.7%,58.1%
2024 Madrid R16,W vsKhachanov,1.13,1.33,52.9,4.0,8.7%,69.6%,2.6%,74.4%,20.0%,48.7%
2024 Madrid R64,W vsSonego,1.33,3.23,29.2,2.0,9.1%,77.3%,0.0%,80.0%,59.1%,45.5%
2024 Monte Carlo SF,L vsTsitsipas,0.94,0.84,62.9,8.4,1.9%,60.4%,0.0%,65.3%,39.1%,26.3%
2024 Monte Carlo QF,W vsRune,0.93,1.48,67.9,2.6,4.3%,71.7%,6.8%,86.4%,38.8%,28.3%
