Local;Visitante;Surface;Real;Predicho;Probabilidad_Clase_1;Correcto
Arthur Fils;Frances Tiafoe;Hard;1;1;0.78;True
Lorenzo Musetti;Arthur Fils;Hard;0;1;0.5625;False
Brandon Nakashima;Matteo Arnaldi;Hard;1;1;0.565;True
Roberto Bautista Agut;Denis Shapovalov;Hard;0;0;0.4033333333333334;True
Jannik Sinner;Alexander Zverev;Hard;1;0;0.46;False
Gael Monfils;Taylor Fritz;Hard;1;1;0.66;True
Jaume Munar;Taylor Fritz;Hard;0;0;0.27;True
Jannik Sinner;Nicolas Jarry;Hard;1;1;0.85;True
Nuno Borges;Carlos Alcaraz;Hard;0;0;0.33;True
Carlos Alcaraz;Francisco Cerundolo;Hard;1;1;0.54;True
Miomir Kecmanovic;Tallon Griekspoor;Hard;0;1;0.654;False
Carlos Alcaraz;Jack Draper;Hard;1;0;0.2575;False
Francisco Cerundolo;Alexandre Muller;Hard;1;1;0.82;True
Jakub Mensik;Arthur Fils;Hard;1;1;0.640952380952381;True
Alexander Zverev;Tommy Paul;Hard;1;0;0.465;False
Aleksandar Kovacevic;Sebastian Korda;Hard;0;0;0.16;True
Flavio Cobolli;Sebastian Baez;Hard;1;1;0.66;True
Daniil Medvedev;Hugo Gaston;Hard;1;1;0.77;True
Aleksandar Vukic;David Goffin;Hard;0;1;0.51;False
Botic Van De Zandschulp;Francisco Cerundolo;Hard;0;1;0.52;False
Stefanos Tsitsipas;Holger Rune;Hard;0;0;0.5;True
Nuno Borges;Jordan Thompson;Hard;1;1;0.56;True
Tommy Paul;Alexander Bublik;Hard;1;1;0.725;True
Daniil Medvedev;Tommy Paul;Hard;1;0;0.4033333333333334;False
Reilly Opelka;Roman Safiullin;Hard;0;0;0.31;True
Alexei Popyrin;Zizou Bergs;Hard;1;1;0.6733333333333333;True
Andrey Rublev;Matteo Arnaldi;Hard;0;1;0.77;False
Hubert Hurkacz;Tallon Griekspoor;Hard;1;0;0.48;False
Zizou Bergs;Nuno Borges;Hard;1;0;0.46;False
Alexander Shevchenko;Carlos Alcaraz;Hard;0;0;0.3042857142857143;True
Alexander Shevchenko;Ugo Humbert;Hard;0;0;0.3842857142857143;True
Grigor Dimitrov;Karen Khachanov;Hard;1;1;0.77;True
Corentin Moutet;Learner Tien;Hard;0;1;0.68;False
Lorenzo Sonego;James Duckworth;Hard;1;1;0.77;True
Jordan Thompson;Yoshihito Nishioka;Hard;1;1;0.754;True
Alexandre Muller;Nuno Borges;Hard;0;1;0.67;False
Pablo Carreno Busta;Kamil Majchrzak;Hard;1;1;0.785;True
Kei Nishikori;Tommy Paul;Hard;0;0;0.1433333333333333;True
Jiri Lehecka;Jesper De Jong;Hard;1;1;0.85;True
Tomas Martin Etcheverry;Marcos Giron;Hard;0;0;0.39;True
Carlos Alcaraz;David Goffin;Hard;0;1;0.69;False
Corentin Moutet;Jordan Thompson;Hard;1;0;0.38;False
Matteo Berrettini;Cameron Norrie;Hard;1;1;0.68;True
David Goffin;Lorenzo Sonego;Hard;1;0;0.48;False
Stefanos Tsitsipas;Matteo Berrettini;Hard;1;1;0.71;True
Matteo Arnaldi;Roman Safiullin;Hard;1;1;0.6933333333333335;True
Grigor Dimitrov;Gael Monfils;Hard;1;1;0.7858333333333334;True
Luca Nardi;Gabriel Diallo;Hard;0;0;0.44166666666666665;True
Holger Rune;Daniil Medvedev;Hard;1;1;0.6;True
Alejandro Davidovich Fokina;Jan Lennard Struff;Hard;1;1;0.85;True
Jiri Lehecka;Benjamin Bonzi;Hard;1;1;0.75;True
Christopher Oconnell;Roberto Carballes Baena;Hard;1;1;0.63;True
Marcos Giron;Alexei Popyrin;Hard;1;0;0.47;False
Hugo Gaston;Jesper De Jong;Hard;1;1;0.7775;True
