Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2025-04-07),2,7645,5,2066,4,2024,4,2004,6,1882,,,,
2024,2,7915,4,2084,4,2029,4,2026,5,1885,90,960,,
2023,7,3985,5,2024,6,1959,6,1971,8,1822,,,,
2022,12,2700,2,2134,2,2074,1,2089,,,,,,
2021,3,7840,3,2153,3,2113,3,2077,4,1912,,,,
2020,7,5525,6,2042,5,2004,4,2000,,,167,450,,
2019,7,3345,7,1988,7,1950,6,1980,12,1814,99,860,65,1684
2018,4,6385,5,2092,5,2033,3,2080,6,1894,107,780,32,1767
2017,4,4610,10,2035,11,1964,7,2008,7,1904,103,865,64,1685
2016,24,1655,16,1978,16,1923,19,1881,13,1840,161,465,86,1608
2015,83,647,60,1772,66,1701,57,1732,62,1652,343,192,,
2014,136,389,172,1572,202,1490,116,1601,,,486,115,,
2013,809,21,,,,,,,,,,,,
2012,837,15,,,,,,,,,,,,
1988,,,,,,,,,,,478,0,,
1987,,,,,,,,,,,348,0,,
1986,,,,,,,,,,,695,0,,
1985,,,,,,,,,,,462,0,,
1984,,,,,,,,,,,339,0,,
