Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2025-04-07),9,3440,29,1911,25,1868,14,1893,16,1794,,,,
2024,8,3760,18,1917,15,1878,14,1889,16,1792,141,540,,
2023,5,4805,6,2020,5,1965,7,1970,5,1889,,,,
2022,8,3930,11,2000,9,1962,9,1922,11,1806,,,,
2021,5,5150,11,1961,11,1915,12,1894,9,1807,,,,
2020,8,4119,5,2058,6,2003,6,1940,,,92,960,,
2019,23,1584,10,1956,9,1920,21,1813,24,1737,75,1050,56,1700
2018,68,760,75,1735,74,1684,83,1656,,,127,600,114,1549
2017,39,1229,52,1801,51,1748,74,1684,48,1681,316,180,,
2016,156,395,147,1613,124,1595,158,1526,154,1494,419,135,,
2015,185,270,166,1582,154,1548,173,1510,158,1502,129,586,,
2014,437,92,,,,,,,,,446,131,,
2013,651,38,,,,,,,,,1202,16,,
