Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2025-04-07),7,3765,18,1934,24,1869,7,1948,43,1690,,,,
2024,6,4255,21,1902,24,1828,9,1927,49,1669,407,135,,
2023,11,2825,16,1895,24,1810,8,1918,49,1654,,,,
2022,3,5820,12,2000,11,1935,6,1983,31,1713,,,,
2021,8,4160,7,2025,8,1945,5,1988,24,1746,,,,
2020,27,1739,29,1827,62,1698,17,1822,,,200,355,,
2019,54,956,74,1746,98,1660,49,1730,112,1573,226,270,,
2018,112,518,145,1624,119,1616,144,1548,122,1523,356,90,,
2017,139,399,275,1444,235,1445,237,1426,,,1185,17,,
2016,225,231,203,1534,202,1482,150,1538,,,935,34,,
2015,1139,8,,,,,,,,,,,,
