Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2025-04-07),26,1855,20,1931,22,1870,15,1881,12,1833,,,,
2024,16,2640,9,1979,10,1915,12,1902,7,1874,539,90,,
2023,9,3245,8,1983,8,1944,13,1850,7,1853,,,,
2022,10,2905,15,1949,14,1901,17,1846,7,1851,,,,
2021,9,3706,16,1905,17,1864,48,1739,10,1797,,,,
2020,34,1518,47,1782,48,1731,55,1715,,,199,360,,
2019,37,1198,46,1811,43,1772,47,1732,46,1681,253,234,125,1508
2018,86,636,79,1727,88,1664,55,1703,90,1596,437,48,,
2017,238,220,223,1507,192,1493,266,1387,,,329,173,,
2016,383,115,260,1454,269,1385,229,1434,,,704,66,,
2015,620,49,,,,,,,,,1024,30,,
2014,1408,3,,,,,,,,,,,,
