Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
,,,,,,,,,,,,,,,,
13‑Jan‑2025,Australian Open,Hard,F,1,2,(1)Sinnerd.(2)Alexander Zverev[GER],6-3 7-6(4) 6-3,(ch),1.52,6.3%,2.1%,60.0%,84.2%,63.2%,0/0,2:42
13‑Jan‑2025,Australian Open,Hard,SF,1,20,(1)Sinnerd.(21)Ben Shelton[USA],7-6(2) 6-2 6-2,(ch),1.56,9.0%,0.0%,57.3%,74.5%,63.2%,5/7,2:36
13‑Jan‑2025,Australian Open,Hard,QF,1,8,(1)Sinnerd.(8)Alex De Minaur[AUS],6-3 6-2 6-1,(ch),2.80,3.4%,0.0%,64.4%,84.2%,81.0%,1/1,1:48
13‑Jan‑2025,Australian Open,Hard,R16,1,13,(1)Sinnerd.(13)Holger Rune[DEN],6-3 3-6 6-3 6-2,(ch),1.45,13.3%,5.7%,56.2%,83.1%,58.7%,4/5,3:13
13‑Jan‑2025,Australian Open,Hard,R32,1,46,(1)Sinnerd.Marcos Giron[USA],6-3 6-4 6-2,(ch),1.54,9.6%,2.4%,60.2%,82.0%,51.5%,6/7,2:01
13‑Jan‑2025,Australian Open,Hard,R64,1,173,(1)Sinnerd.(WC)Tristan Schoolkate[AUS],4-6 6-4 6-1 6-3,(ch),1.40,14.0%,5.0%,62.0%,77.4%,55.3%,0/1,2:46
13‑Jan‑2025,Australian Open,Hard,R128,1,36,(1)Sinnerd.Nicolas Jarry[CHI],7-6(2) 7-6(5) 6-1,(ch),1.48,6.9%,1.0%,57.4%,82.8%,69.8%,2/2,2:40
24‑Nov‑2024,Davis Cup Finals F: ITA vs NED,Hard,RR,1,40,Sinnerd.Tallon Griekspoor[NED],7-6(2) 6-2,(ch),1.40,25.0%,1.7%,73.3%,79.5%,56.3%,2/3,1:31
23‑Nov‑2024,Davis Cup Finals SF: ITA vs AUS,Hard,RR,1,9,Sinnerd.Alex De Minaur[AUS],6-3 6-4,,1.40,7.0%,0.0%,64.9%,81.1%,45.0%,0/1,1:28
21‑Nov‑2024,Davis Cup Finals QF: ITA vs ARG,Hard,RR,1,27,Sinnerd.Sebastian Baez[ARG],6-2 6-1,,1.74,12.1%,3.4%,53.4%,71.0%,63.0%,4/4,1:12
11‑Nov‑2024,Tour Finals,Hard,F,1,5,(1)Sinnerd.(5)Taylor Fritz[USA],6-4 6-4,(ch),1.41,25.0%,0.0%,71.4%,82.5%,62.5%,1/1,1:24
11‑Nov‑2024,Tour Finals,Hard,SF,1,7,(1)Sinnerd.(6)Casper Ruud[NOR],6-1 6-2,(ch),2.06,19.6%,0.0%,58.7%,81.5%,63.2%,2/2,1:09
