Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,390,249,141,63.8%,572-379,60.1%,4985-4361,53.3%,84-76,52.5%,379,83.6%,23.3%,9.9%,3.5%,60.9%,76.0%,50.8%,66.2%,38.2%,51.8%,1.13
Clay,120,79,41,65.8%,194-127,60.4%,1714-1489,53.5%,25-30,45.5%,120,81.0%,26.3%,6.4%,2.8%,60.9%,72.6%,51.7%,64.4%,40.0%,51.9%,1.13
Grass,29,19,10,65.5%,55-39,58.5%,499-449,52.6%,5-12,29.4%,29,84.2%,21.9%,9.0%,2.2%,61.1%,74.4%,52.8%,66.0%,37.1%,51.2%,1.09
Grand Slams,94,65,29,69.1%,213-133,61.6%,1848-1601,53.6%,28-36,43.8%,94,84.3%,23.4%,9.5%,3.3%,59.8%,75.6%,52.5%,66.3%,38.3%,51.9%,1.14
Masters,132,76,56,57.6%,171-136,55.7%,1602-1452,52.5%,22-24,47.8%,132,80.4%,24.6%,8.3%,3.3%,60.8%,74.1%,49.3%,64.4%,38.9%,51.4%,1.09
Other Tours,273,184,89,67.4%,385-234,62.2%,3304-2820,54.0%,58-52,52.7%,267,84.0%,24.4%,8.9%,3.2%,61.3%,75.1%,51.8%,66.1%,38.9%,52.1%,1.15
Best of 5,99,67,32,67.7%,221-142,60.9%,1926-1689,53.3%,30-37,44.8%,96,84.1%,23.4%,9.4%,3.3%,59.7%,75.5%,52.5%,66.2%,38.3%,51.8%,1.13
Best of 3,440,280,160,63.6%,600-403,59.8%,5272-4610,53.3%,84-81,50.9%,432,82.6%,24.1%,8.9%,3.2%,61.3%,75.0%,50.7%,65.6%,38.6%,51.8%,1.12
Finals,29,18,11,62.1%,41-26,61.2%,346-300,53.6%,5-3,62.5%,28,83.9%,23.5%,8.6%,2.3%,62.4%,75.0%,53.2%,66.8%,38.2%,52.3%,1.15
Semi-finals,46,29,17,63.0%,64-46,58.2%,580-516,52.9%,11-7,61.1%,46,82.7%,23.1%,8.6%,3.1%,62.4%,74.5%,49.8%,65.2%,37.9%,51.6%,1.09
Quarter-finals,78,42,36,53.8%,90-95,48.6%,930-901,50.8%,12-22,35.3%,76,81.5%,21.4%,7.8%,2.9%,60.8%,73.3%,49.6%,64.0%,37.9%,50.5%,1.05
vs Righties,474,299,175,63.1%,711-490,59.2%,6309-5591,53.0%,104-105,49.8%,465,82.7%,23.6%,9.0%,3.3%,60.5%,75.0%,51.1%,65.6%,38.5%,51.7%,1.12
vs Lefties,65,48,17,73.8%,110-55,66.7%,889-708,55.7%,10-13,43.5%,63,85.1%,25.7%,9.2%,3.2%,63.7%,75.6%,51.5%,66.8%,39.1%,52.6%,1.18
vs Top 10,69,27,42,39.1%,74-115,39.2%,877-985,47.1%,13-17,43.3%,69,77.1%,17.6%,7.9%,3.1%,62.2%,72.5%,46.1%,62.5%,34.9%,48.7%,0.93
