Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,203,116,87,57.1%,281-230,55.0%,2624-2384,52.4%,40-47,46.0%,193,83.9%,20.2%,7.8%,2.8%,65.5%,73.0%,53.3%,66.2%,35.5%,50.9%,1.05
Clay,197,145,52,73.6%,324-160,66.9%,2587-2036,56.0%,42-20,67.7%,193,83.0%,27.5%,5.4%,2.8%,64.9%,71.1%,55.4%,65.6%,39.8%,52.6%,1.16
Grass,12,5,7,41.7%,19-20,48.7%,199-202,49.6%,5-5,50.0%,12,82.9%,16.8%,8.4%,5.0%,64.1%,75.1%,50.1%,66.2%,35.1%,50.4%,1.04
Grand Slams,73,48,25,65.8%,158-113,58.3%,1392-1222,53.3%,24-20,54.5%,72,82.6%,23.5%,6.5%,3.2%,65.0%,71.1%,54.2%,65.2%,38.2%,51.6%,1.10
Masters,105,61,44,58.1%,136-104,56.7%,1235-1099,52.9%,20-18,52.6%,104,82.4%,22.8%,6.8%,2.6%,64.9%,72.7%,52.5%,65.6%,37.0%,51.3%,1.08
Other Tours,198,133,65,67.2%,280-161,63.5%,2367-1956,54.8%,38-32,54.3%,193,84.7%,24.1%,6.3%,3.1%,65.0%,72.6%,55.0%,66.4%,37.6%,52.1%,1.12
Best of 5,75,49,26,65.3%,161-117,57.9%,1423-1257,53.1%,24-20,54.5%,74,82.4%,23.4%,6.5%,3.2%,65.0%,71.0%,54.2%,65.1%,38.2%,51.5%,1.10
Best of 3,337,217,120,64.4%,463-293,61.2%,3987-3365,54.2%,63-52,54.8%,324,83.9%,23.4%,6.8%,2.8%,65.3%,72.7%,54.2%,66.2%,37.2%,51.7%,1.10
Finals,24,12,12,50.0%,27-31,46.6%,290-288,50.2%,5-6,45.5%,24,80.6%,20.1%,5.2%,2.3%,64.7%,67.7%,58.5%,64.5%,36.3%,50.0%,1.02
Semi-finals,39,24,15,61.5%,56-40,58.3%,475-438,52.0%,10-0,100.0%,39,78.4%,24.4%,5.8%,2.4%,62.9%,72.1%,51.3%,64.4%,37.4%,51.0%,1.05
Quarter-finals,55,37,18,67.3%,77-45,63.1%,635-533,54.4%,11-5,68.8%,52,82.9%,24.2%,5.2%,2.6%,65.2%,70.7%,54.4%,65.0%,38.3%,51.8%,1.10
vs Righties,353,229,124,64.9%,536-352,60.4%,4643-3976,53.9%,76-60,55.9%,342,83.3%,23.6%,6.5%,2.9%,65.1%,72.2%,54.3%,66.0%,37.5%,51.7%,1.10
vs Lefties,58,37,21,63.8%,88-56,61.1%,755-632,54.4%,11-10,52.4%,55,84.5%,22.9%,7.7%,3.1%,66.0%,72.0%,53.3%,65.7%,37.4%,51.6%,1.09
vs Top 10,47,17,30,36.2%,37-73,33.6%,479-587,44.9%,6-8,42.9%,45,75.5%,14.6%,5.9%,2.4%,66.5%,68.3%,50.1%,62.2%,31.2%,47.1%,0.82
